Swedish	Swedish	probability
ˈʏ	ˈɪ	1.0
ˈɛː_d	ˈe_ð	1.0
ˈɑː_ɡ	ˈeɪ̯	1.0
ˈœː	ˈɪ	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈyː_r	ə	1.0
ˈyː	-	1.0
ˈiː_#>	#>	1.0
ˈa_l	ˈɑː	1.0
ʊ	n	1.0
ʈː	t	1.0
ʈ	t	1.0
ʂ	ˈɜː_s	1.0
ɵ	-	1.0
ɳː	ˈɔː	1.0
ɳ	n	1.0
ɪ_ɡ	ɪ	1.0
ɡ_a_#>	ˈaɪ̯_#>	1.0
ɛ_r	ə	1.0
ɛ_#>	#>	1.0
ɖ	d	1.0
ɔ	ˈiː	1.0
ŋː	ŋ	1.0
v_ɛ	v	1.0
v_a	v	1.0
v_#>	f_#>	1.0
tː	t	1.0
tʰ_ˈœ	θ	1.0
t	t	1.0
sː	s	1.0
s_ˈɛ	s	1.0
s_k	ʃ	1.0
s_a	z	1.0
s	s	1.0
r_ˈɛ	ɜː	1.0
r_ɛ	ə	1.0
r_m	m	1.0
r_a	ə	1.0
pː	p	1.0
pʰ	pʰ	1.0
p	p	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	ɫ	1.0
l_#>	ɫ_#>	1.0
kʰ_n	n	1.0
kʰ	kʰ	1.0
k_t	t	1.0
k	k	1.0
jː	ˈeɪ̯	1.0
j_ˈʉː	ˈɪ	1.0
h	h	1.0
f	f	1.0
d_ˈøː	d_ˈe	1.0
d_r	d_ɹ	1.0
b	b	1.0
<#_ˈɛ	<#	1.0
<#_r	<#_ɹ	1.0
<#_j	<#	1.0
#>	θ_#>	1.0
a	-	0.953
n	n	0.932
d	d	0.889
ˈiː	ˈaɪ̯	0.833
v	w	0.833
<#	<#_w	0.75
l	l	0.711
ŋ	-	0.667
ˈʊ	ˈɐ	0.6
ˈøː	ˈiː	0.6
kː	k	0.6
tʰ	tʰ	0.588
ɡː	ʤ	0.571
ˈɪ	ˈɪ	0.562
ˈœ	-	0.556
ɡ	ɡ	0.538
ˈɛ	ˈe	0.5
ɧ	ʃ	0.5
ɧ	s	0.5
ɛ	-	0.5
ɕ	θ	0.5
ɕ	-	0.5
ˈeː	ˈəʊ̯	0.462
r	ɹ	0.452
ˈœ	ˈiː	0.444
ɡː	-	0.429
r	ə	0.419
tʰ	θ	0.412
ˈʊ	-	0.4
ˈɔ	-	0.4
ˈa	ˈæ	0.4
kː	ŋ_k	0.4
ˈɑː	ˈeɪ̯	0.385
ˈɑː	-	0.385
ˈɛː	ˈəʊ̯	0.375
ˈɛː	ˈiː	0.375
ˈʉː	ˈaʊ̯	0.368
ˈʉː	-	0.368
ˈɵ	ˈɐ	0.333
ŋ	ŋ	0.333
j	ɡ	0.333
ˈɪ	ˈaɪ̯	0.312
ˈeː	ˈɪ	0.308
ɡ	-	0.308
ˈɔ	ˈɔː	0.3
ˈɔ	ˈɐ	0.3
ˈɛː	-	0.25
ˈɛ	-	0.25
ɛ	ɡ	0.25
ɛ	ə	0.25
<#	<#_j	0.25
l	ɫ	0.237
ˈɑː	ˈɑː	0.231
ˈuː	ˈuː	0.231
ˈuː	ˈaʊ̯	0.231
ˈuː	-	0.231
ˈeː	ˈiː	0.231
ˈoː	ˈuː	0.222
j	əʊ̯	0.222
j	h	0.222
j	-	0.222
ˈøː	ˈe	0.2
ˈøː	-	0.2
ˈa	ˈɔː	0.2
ˈa	-	0.2
ˈɵ	ˈʊ	0.167
ˈɵ	ˈɪ	0.167
ˈɵ	ˈaʊ̯	0.167
ˈɵ	-	0.167
ˈoː	ˈəʊ̯	0.167
ˈoː	ˈɐ	0.167
ˈoː	ˈiː	0.167
ˈoː	-	0.167
ˈiː	ˈiː	0.167
ˈʉː	ˈiː	0.158
ˈuː	ˈɔː	0.154
ˈuː	ˈɐ_ð	0.154
ɡ	j	0.154
ˈɛ	ˈaɪ̯	0.15
r	-	0.129
ˈɪ	-	0.125
ˈoː	ˈɪ	0.111
d	θ	0.111
ˈʉː	ˈɒ	0.105
ˈɛ	ˈæ	0.1
ˈa	ˈɑː	0.1
ˈa	ˈaɪ̯	0.1
v	v	0.083
v	-	0.083
n	-	0.068
l	-	0.053
