Ligurian	Corsican	probability
a	a	0.94
a	-	0.051
b	b	1.0
d	d	0.913
e	e	0.804
e	i	0.07
e	u	0.054
f	f	1.0
i	i	0.796
i	-	0.09
i	ˈɛ	0.067
i	e	0.057
j	-	0.312
j	j	0.148
j	r	0.141
j	e_r	0.119
j	u_l	0.065
j_ˈaː	j	1.0
k	k	0.984
l	l	1.0
m	m	1.0
n	n	0.911
n	ŋ	0.056
o	u	1.0
p	p	1.0
r	r	0.835
r	-	0.104
r	l	0.06
s	s	0.685
s	ʧ	0.168
s	ʦ	0.07
t	t	0.972
u	u	0.945
v	v	0.75
v	p	0.149
v	-	0.071
w	w	0.325
w	ˈɔ	0.259
w	-	0.175
w	u	0.091
w	u_l	0.061
w	l	0.053
w	o	0.053
y	u	1.0
z	ɟ	0.575
z	z	0.243
z	ʣ	0.081
z	d	0.06
z	ʤ	0.057
ŋ	n	0.511
ŋ	n_u	0.17
ŋ	ŋ	0.139
ŋ	n_e	0.111
ɔː	o	0.561
ɔː	w	0.425
ɡ	k	0.459
ɡ	ɡ	0.444
ɥ	t	0.139
ɲ	ɲ	0.939
ɲ	-	0.064
ʃ	ʃ	0.433
ʃ	s_s	0.258
ʃ	f	0.153
ʃ	z	0.101
ʒ	ʧ	0.699
ʒ	ʒ	0.095
ʒ	m	0.078
ʒ	ɟ	0.078
ʒ	ʦ	0.064
ʤ	ɟ	0.271
ʤ	ʎ	0.271
ʤ	c	0.246
ʤ	b	0.134
ʤ	-	0.053
ʧ	j	0.457
ʧ	c	0.367
ʧ	ʧ	0.144
ˈa	ˈa	0.976
ˈaː	ˈa	0.79
ˈaː	ˈa_l	0.105
ˈaː	r_ˈa	0.052
ˈe	ˈɛ	0.715
ˈe	ˈe	0.207
ˈeː	ˈe	0.728
ˈeː	l	0.092
ˈeː	a	0.069
ˈeː	j	0.061
ˈeː	ˈɛ	0.052
ˈi	ˈi	0.81
ˈi	ˈɛ	0.103
ˈi	ˈu	0.078
ˈiː	ˈi	0.586
ˈiː	j	0.161
ˈiː	e	0.122
ˈiː	-	0.106
ˈu	ˈɔ	0.57
ˈu	ˈo	0.361
ˈu	ˈu	0.066
ˈuː	ˈɔ	0.537
ˈuː	ˈo	0.169
ˈuː	ˈu	0.153
ˈuː	ˈo_p	0.116
ˈy	ˈu	1.0
ˈyː	ˈu	0.901
ˈyː	ˈo	0.088
ˈø	ˈɔ	0.571
ˈø	ˈo	0.273
ˈø	a	0.144
ˈøː	ˈɔ	0.789
ˈøː	ˈo	0.2
ˈɔ	ˈɔ	0.575
ˈɔ	ˈo	0.187
ˈɔ	u	0.093
ˈɔ	ˈu	0.084
ˈɔː	ˈɔ	0.707
ˈɔː	ˈo	0.199
ˈɔː	u	0.081
ˈɛ	ˈɛ	0.579
ˈɛ	ˈe	0.233
ˈɛ	ˈi	0.11
ˈɛ	e	0.062
ˈɛː	ˈɛ	0.345
ˈɛː	ˈa_t	0.277
ˈɛː	ˈa	0.265
ˈɛː	a	0.061
ˈɛː	ˈe	0.053
