Proto-Balto-Slavic	Old Prussian	probability
́ˀ	-	1.0
́	-	1.0
ˀ	-	1.0
ʃ	s	1.0
ɡ	ɡ	1.0
ɛ	e	1.0
ŋ	ŋ	1.0
zʲ	z	1.0
z	ɡ_s	1.0
uː_́ˀ	u	1.0
uː	uː	1.0
t_a	t	1.0
t	t	1.0
sʲ	s	1.0
r	r	1.0
p	p	1.0
oː	-	1.0
m	m	1.0
l	l	1.0
k	k	1.0
e_́	e	1.0
e	a	1.0
d_u	d	1.0
d	d	1.0
b	b	1.0
aː_́ˀ	o	1.0
a_́	i	1.0
s	s	0.92
n	n	0.874
u	-	0.7
iː	eːi̯	0.648
ai̯	ai̯	0.644
eː	-	0.638
j	-	0.637
ei̯	-	0.62
i	i	0.615
a	a	0.578
w	v	0.562
au̯	u	0.507
au̯	au̯	0.493
aː	-	0.438
ei̯	o_n	0.38
j	j	0.363
eː	e	0.362
ai̯	aːi̯	0.356
iː	oːu̯	0.352
u	u	0.3
aː	e	0.296
aː	o	0.266
i	-	0.222
w	w	0.221
w	v_i	0.217
i	iː	0.163
a	o	0.156
a	u	0.131
n	n_a	0.126
a	i	0.108
s	n	0.08
