Ladin	Eastern Lombard	probability
ˈɛ_n	ˈe	1.0
ˈɔ_n	ˈu_n	1.0
ˈo_w	ˈu	1.0
ˈo_n	ˈu	1.0
ˈe_j	ˈi	1.0
ˈa_w	ˈo	1.0
ˈa	ˈa	1.0
ʧ	s	1.0
ʦ	s	1.0
ʤ	ʤ	1.0
ʒ	z	1.0
ʃ	s	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
z	-	1.0
v_e	f	1.0
r_t	r_t	1.0
r	r	1.0
p	p	1.0
m	m	1.0
l_ˈe	l_ˈɛ	1.0
k_l	ʧ	1.0
j_ˈɛ	ˈe	1.0
f_ˈɛ	f_ˈɛ	1.0
f	f	1.0
b	b	1.0
a	a	0.994
s	s	0.94
t	t	0.908
ˈi	ˈi	0.872
n	n	0.871
k	k	0.831
v	-	0.8
d	d	0.789
w_ˈɛ	ˈø	0.773
l	l	0.772
ʨ	k	0.704
e	e	0.693
o	o	0.69
u	o	0.667
ˈɔ	ˈɔ	0.633
d_l	ʧ	0.615
ˈɛ	ˈɛ	0.611
ˈɛ_r	ˈa_r	0.584
ʥ	ʤ	0.561
ˈu	ˈy	0.516
i	-	0.514
ˈo	ˈo	0.5
i	i	0.486
ˈu	ˈø	0.484
j	-	0.465
ˈe	ˈɛ	0.462
ˈe	ˈe	0.46
w	-	0.45
ʥ	-	0.439
ˈɛ_r	ˈa_d	0.416
j	j	0.416
d_l	ʤ	0.385
ˈo	ˈu	0.348
u	y	0.333
w	ˈɔ	0.309
ˈɔ	ˈo	0.296
w	ˈo	0.24
l	j	0.228
w_ˈɛ	ˈɔ	0.227
ʨ	s	0.222
o	-	0.201
v	ʋ	0.2
k	k_w	0.169
ˈo	-	0.152
ˈɛ	ˈa	0.15
n	-	0.129
ˈɛ	ˈe	0.128
ˈi	ˈe	0.128
e	o	0.122
d	t	0.113
ˈɛ	-	0.111
o	u	0.109
d	-	0.098
t	ʧ	0.092
e	i	0.082
ˈe	-	0.078
ʨ	-	0.074
ˈɔ	ˈø	0.072
j	ˈi_d	0.063
e	-	0.061
s	-	0.06
j	e	0.056
