Doculect,Classification
Old Chinese,Sinitic
Middle Chinese,Sinitic > Middle Sinitic > Middle Chinese
Standard Mandarin,Sinitic > Middle Sinitic > Middle Chinese > Modern Sinitic > Nothern Chinese > Mandarin
Sichuanese,Sinitic > Middle Sinitic > Middle Chinese > Modern Sinitic > Nothern Chinese > Mandarin > Southwest Mandarin
Jin,Sinitic > Middle Sinitic > Middle Chinese > Modern Sinitic > Nothern Chinese > Jin
Xiang,Sinitic > Middle Sinitic > Middle Chinese > Modern Sinitic > Xiang
Shanghainese,Sinitic > Middle Sinitic > Middle Chinese > Modern Sinitic > Wu
Gan,Sinitic > Middle Sinitic > Middle Chinese > Modern Sinitic > Gan
Cantonese,Sinitic > Middle Sinitic > Middle Chinese > Modern Sinitic > Yue
Hoisanese,Sinitic > Middle Sinitic > Middle Chinese > Modern Sinitic > Yue
Sixian,Sinitic > Middle Sinitic > Middle Chinese > Modern Sinitic > Hakka
Meixian,Sinitic > Middle Sinitic > Middle Chinese > Modern Sinitic > Hakka
Min Bei,Sinitic > Middle Sinitic > Min > Inland Min > Min Bei
Fuzhounese,Sinitic > Middle Sinitic > Min > Coastal Min > Min Dong
Teochew,Sinitic > Middle Sinitic > Min > Coastal Min > Min Nan
Taiwanese Hokkien,Sinitic > Middle Sinitic > Min > Coastal Min > Min Nan
Sino-Vietnamese,Sinitic > Middle Sinitic > Vietnamese
Sino-Korean,Sinitic > Middle Sinitic > Korean
Sino-Japanese,Sinitic > Middle Sinitic > Japanese
