Swedish	Bokmål Norwegian	probability
a	ə	0.91
a	-	0.09
b	b	1.0
d	d	0.739
d	-	0.261
e	-	1.0
f	f	0.972
h	h	0.907
h	-	0.093
j	j	0.636
j	ɡ	0.192
j	-	0.053
j	ˈæɪ̯	0.052
jː	ˈiː	1.0
k	k	0.948
k	kː	0.052
kʰ	kʰ	1.0
kː	kː	0.86
kː	k	0.106
l	l	0.792
l	lː	0.187
lː	lː	1.0
m	m	0.989
mː	mː	0.847
mː	m	0.153
n	n	0.644
n	nː	0.347
nː	nː	0.901
nː	n	0.099
p	p	1.0
pʰ	pʰ	1.0
pː	p	0.566
pː	pː	0.434
r	ɾ	0.988
rː	ɾ	1.0
s	s	0.953
sː	sː	0.528
sː	s	0.472
t	t	0.981
tʰ	tʰ	1.0
tː	tː	0.84
tː	d	0.12
v	ʋ	0.924
v	-	0.076
ŋ	ŋ	0.522
ŋ	ˈæɪ̯	0.34
ŋ	ŋː	0.109
ŋː	ŋː	1.0
ɔ	ə	1.0
ɕ	ɕ	0.93
ɕ	tʰ	0.07
ɖ	ɾ	1.0
ɛ	ə	0.891
ɛ	-	0.109
ɡ	ɡ	0.621
ɡ	j	0.228
ɡ	-	0.151
ɡː	ɡː	1.0
ɧ	s	0.404
ɧ	ʃ	0.367
ɧ	ʂ	0.229
ɪ	i	0.458
ɪ	ɪ	0.351
ɪ	ə	0.192
ɳ	ɳ	1.0
ɳː	ɳ	1.0
ɵ	ɪ	0.566
ɵ	ˈuː	0.434
ʈː	ʈ	0.673
ʈː	ʈː	0.327
ʊ	ə	1.0
ˈa	ˈɑ	1.0
ˈeː	ˈeː	0.355
ˈeː	ˈæɪ̯	0.342
ˈeː	ˈiː	0.239
ˈeː	ˈɛ	0.064
ˈiː	ˈiː	0.99
ˈoː	ˈoː	0.722
ˈoː	ˈɑ	0.068
ˈoː	ˈœ	0.068
ˈoː	ˈʊ	0.064
ˈuː	ˈuː	0.877
ˈuː	ˈʉː	0.123
ˈyː	ˈyː	0.677
ˈyː	ˈiː	0.287
ˈæ	ˈɛ	1.0
ˈæː	ˈæː	0.96
ˈøː	ˈøː	0.771
ˈøː	ˈœ	0.136
ˈøː	ˈœʏ̯	0.059
ˈœ	ˈœ	0.632
ˈœ	ˈuː	0.086
ˈœ	ˈɔ	0.079
ˈœ	ˈʏ	0.079
ˈœ	-	0.067
ˈœ	ˈʉː	0.057
ˈœː	ˈøː	0.742
ˈœː	ˈɔ	0.258
ˈɑː	ˈɑː	0.743
ˈɑː	ˈæ	0.118
ˈɑː	ˈɑ	0.054
ˈɔ	ˈɔ	0.636
ˈɔ	ˈuː	0.131
ˈɔ	ˈœ	0.081
ˈɔ	ˈɑ	0.076
ˈɔ	ˈʉ	0.076
ˈɛ	ˈɛ	0.628
ˈɛ	-	0.211
ˈɛ	ˈeː	0.054
ˈɛː	ˈeː	0.353
ˈɛː	ˈɛ	0.326
ˈɛː	ˈæː	0.218
ˈɛː	ˈæɪ̯	0.102
ˈɪ	ˈɪ	0.881
ˈɪ	ˈœ	0.08
ˈɵ	ˈʉ	0.68
ˈɵ	ˈʏ	0.187
ˈɵ	ˈɔ	0.089
ˈʉː	ˈʉː	0.566
ˈʉː	ˈyː	0.397
ˈʊ	ˈʉ	0.602
ˈʊ	ˈuː	0.291
ˈʊ	ˈʊ	0.107
ˈʏ	ˈʏ	0.766
ˈʏ	ˈœ	0.121
ˈʏ	ˈɪ	0.113
