Ligurian	Ligurian	probability
ˈe_ŋ	ˈɛ_n	1.0
ˈaː_v	ˈa_p	1.0
ˈaː_r	ˈa_ɫ	1.0
ʒ_e	k_ɛ̃ː	1.0
ɡ_u	k_ʊ̃ː	1.0
ɔː	-	1.0
ŋ_ɡ	ŋ	1.0
y	-	1.0
w_ˈiː	ˈoː_s	1.0
t_e	t_ɛ̃ː	1.0
s_ˈa	s_ˈaː	1.0
s_u	sː_ʊ̃ː	1.0
r_ˈa	r_ˈa	1.0
r_n	r_n	1.0
p	p	1.0
o	ʊ̃ː	1.0
l_ˈeː	ˈɪ_lʲː	1.0
k_ˈa	k_ˈa	1.0
k_w	kʷ	1.0
k_r	k_r	1.0
k_a	k_a	1.0
i_ŋ	ĩː	1.0
f	f	1.0
d	d	1.0
b	b	1.0
<#_ʃ	<#_f_ɫ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
m	m	0.972
ˈiː	ˈiː	0.917
r	r	0.909
ˈøː	ˈɔ	0.833
ˈɔ	ˈɔ	0.8
ɡ	k	0.786
v	w	0.757
ˈeː	ˈɛ	0.75
a	ãː	0.75
ˈa	ˈa	0.733
ˈyː	ˈuː	0.714
u	ʊ̃ː	0.695
n	n	0.692
ˈi	ˈiː	0.684
ˈɛ	ˈɛ	0.667
ˈø	ˈɔ	0.667
ˈy	ˈuː	0.667
t	t	0.65
l	lʲː	0.636
ˈɔː	ˈɔ	0.615
ˈɛː_r	ˈɛ_r	0.6
ˈaː	ˈaː	0.586
ˈɛː	ˈaː_t	0.583
k	k	0.571
z	ɡ	0.529
ŋ	n	0.51
ɲ	n_i	0.5
ɲ	n	0.5
j_a	ɛ̃ː	0.5
j_a	r_ãː	0.5
<#	<#_h	0.5
<#	<#_a	0.5
#>	r_ɛ_#>	0.483
i	ɪ	0.462
ʧ	p_ɫ	0.429
ʃ	s_k	0.429
s	s	0.405
ˈɛː_r	ˈɛ_rː	0.4
ˈɔː	ˈau̯	0.385
ˈuː	ˈʊ	0.385
i	iː	0.385
ˈe	ˈɪ	0.382
ˈu	ˈʊ	0.37
s	k	0.351
e	ɛ	0.346
ˈɛ	r	0.333
ˈø	ˈɔ_k	0.333
#>	ɛ̃ː_#>	0.333
e	ɛ̃ː	0.327
ʤ	ʊ_ɫ	0.318
ʤ	lʲ_i	0.318
w	ɔ	0.308
j	ɛ	0.304
j	-	0.304
ˈu	ˈoː	0.296
ˈyː	ˈuː_r	0.286
ʧ	p	0.286
ʧ	k_ɫ	0.286
ʃ	sː	0.286
ʃ	k_s	0.286
k	kː	0.286
ˈaː	ˈa	0.276
ˈa	ˈaː	0.267
ˈe	ˈɛ	0.265
ˈe	ˈeː	0.265
ˈu	ˈɔ	0.259
ˈɛː	ˈa	0.25
ʒ	w	0.25
ʒ	t_i	0.25
ʒ	s_i	0.25
ʒ	k	0.25
ŋ	n_ʊ̃ː	0.235
ˈuː	ˈoː_r	0.231
ˈuː	ˈoː	0.231
w	-	0.231
l	lʲ	0.227
t	k_t	0.225
ɡ	ɡ	0.214
ˈi	-	0.211
ˈɔ	-	0.2
z	s	0.176
z	j	0.176
ˈɛː	-	0.167
ˈøː	-	0.167
ˈy	ˈoː	0.167
ˈy	-	0.167
ŋ	ŋ	0.157
ˈuː	ˈʊ_ɫ	0.154
w	ˈu	0.154
w	ɡʷ	0.154
w	oː	0.154
n	ŋ	0.154
n	-	0.154
i	-	0.154
k	kʷ	0.143
ˈaː	ˈa_ɫ	0.138
ʤ	k	0.136
ʤ	d_i	0.136
l	ɫ	0.136
v	p	0.135
j	i	0.13
t	tː	0.125
z	d_i	0.118
v	b	0.108
ˈeː	ˈɛ_d	0.1
ˈeː	-	0.1
#>	ʊ̃ː_#>	0.1
e	ɪ	0.096
a	a	0.095
ʤ	ɫ	0.091
r	-	0.091
j	ɫ	0.087
j	ɛ_ɫ	0.087
j	s	0.087
u	oː	0.084
ˈiː	ˈe	0.083
#>	ãː_#>	0.083
s	t	0.081
e	eː	0.077
ˈu	-	0.074
ˈe	-	0.059
ŋ	m	0.059
e	ɛ̃	0.058
e	ae̯	0.058
s	t_e	0.054
s	kʷ	0.054
s	-	0.054
ˈi	ˈyː	0.053
ˈi	ˈĩː	0.053
