Old High German	Westphalian	probability
ˈɛ_h	ˈaɪ̯	1.0
ˈɑː	ˈɔː	1.0
ˈu_r	ˈuːə̯	1.0
ˈou̯	ˈaʊ̯	1.0
ˈie̯	ˈiː	1.0
ˈeː	-	1.0
ʦː	t	1.0
ʦ	t	1.0
ɛ_r	ɐ	1.0
ɛ	aɪ̯	1.0
ɑ_r	ɐ	1.0
ɑ_n	m	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː	k	1.0
x	-	1.0
u	-	1.0
tː	d	1.0
t_e	d	1.0
s̻ː	t	1.0
s̻_i	t_ə	1.0
s̻	t	1.0
s_t	ʃ_t	1.0
s_k	ʃ	1.0
rː	ˈyː	1.0
r_ʦ	t	1.0
r_o	ɐ	1.0
r_i	ɐ	1.0
p͡f	p	1.0
p	p	1.0
oː	-	1.0
nː	n	1.0
n_t	n	1.0
n_d	n	1.0
mː	-	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kʰ	k	1.0
k	k	1.0
j	j	1.0
i_s	ʃ	1.0
i	-	1.0
h_ɑ	n	1.0
h	h	1.0
fː	p	1.0
f_ɑ	p	1.0
eː	-	1.0
e_n	n	1.0
n	n	0.981
ɑ	-	0.94
d	d	0.896
f	f	0.876
ˈi	ˈɪ	0.855
ˈei̯	ˈeː	0.819
b	b	0.781
ˈiː	ˈiː	0.765
o	-	0.705
kː	k	0.688
ˈio̯	ˈaɪ̯	0.677
ˈuː	ˈuː	0.654
ˈe	ˈɛ	0.64
ˈɑ	ˈa	0.604
ˈo	-	0.581
t	d̥	0.577
w	v	0.563
x_t	ç	0.559
s	s	0.555
ˈiu̯	ˈyː	0.546
r	ɐ	0.534
ɡ_ɑ	ŋ	0.522
ˈoː	ˈaʊ̯	0.515
ˈuo̯	ˈoː	0.501
ˈoː	-	0.485
ɡ_ɑ	ɡ	0.478
ˈɛ	ˈɪɛ̯	0.47
ɡ	ɡ	0.455
ˈiu̯	-	0.454
x_t	x_t	0.441
ˈu	ˈʊ	0.415
ˈuo̯	ˈøː	0.389
ɡ	ç	0.379
r	r	0.365
ˈe	ˈiɛ̯	0.36
ˈuː	ˈʊ	0.346
t	t	0.326
ˈio̯	-	0.323
kː	-	0.312
s	ʃ	0.311
o	ə	0.295
ˈo	ˈʊ	0.29
ˈu	-	0.282
w	-	0.223
w	ʋ	0.214
b	v	0.188
ˈɛ	ˈɛ	0.183
ˈɛ	ˈɛː	0.181
ˈei̯	ˈɪ	0.181
ɡ	x	0.167
ˈɛ	-	0.166
ˈu	ˈʏ	0.151
ˈɑ	-	0.148
s	z	0.134
ˈɑ	ˈaː	0.132
ˈo	ˈɔ	0.129
f	-	0.124
ˈiː	ˈɪ	0.118
ˈiː	-	0.118
ˈuo̯	-	0.11
d	-	0.104
r	-	0.102
t	d	0.097
ˈi	-	0.087
ˈu	ˈuːə̯	0.083
ˈɑ	ˈɛ	0.067
ɑ	ɪ	0.06
ˈi	ˈɪə̯	0.058
ˈu	ˈyə̯	0.052
