Northern Low Saxon	West Frisian	probability
aɪ̯	j	1.0
h	h	1.0
i	ə	1.0
j	ɡ	1.0
k	k	1.0
p	p	1.0
pʰ	p	1.0
ʃ	s	1.0
ʒ	j	1.0
ˈɔː	ˈɪ	1.0
ˈɛː	j	1.0
d	d̥	0.161
f	-	0.1
l	-	0.061
r	r	0.931
t	d̥	0.11
ç	j	0.091
ˈaɪ̯	ˈɪ	0.061
ˈaː	ˈaː	0.201
ˈeː	ˈiə̯	0.111
ˈeː	ˈiː	0.211
ˈoː	ˈaː	0.151
ˈoː	ˈɪə̯	0.161
ˈyː	ˈuː	0.221
ˈɔʏ̯	ˈi	0.1
ˈɔʏ̯	ˈeː	0.181
ˈɛ	ˈɛ	0.091
ˈɪ	ˈɪ	0.541
ˈʊ	ˈɪ	0.071
kʰ	k	0.782
n	n	0.772
tʰ	t	0.882
v	ʋ	0.622
ŋ	ŋ	0.612
ɪ	ɪ	0.52
ˈaʊ̯	ˈɪə̯	0.402
ˈaː	ˈɛ	0.402
ˈiː	ˈi	0.42
ˈoː	ˈɔ	0.082
ˈuː	ˈoː	0.082
ˈuː	ˈuə̯	0.132
ˈø	ˈɛi̯	0.302
ˈøː	ˈɔː	0.112
ˈɔ	ˈoə̯	0.202
ˈɔ	ˈɔ	0.622
ˈɛɪ̯	ˈiə̯	0.512
ˈʊ	ˈɔ	0.412
m	-	0.163
s	s	0.983
v	v	0.283
x	-	0.153
z	s	0.783
ɐ	r	0.493
ɡ	ɣ	0.093
ˈaɪ̯	ˈiː	0.093
ˈeɪ̯	ˈɛi̯	0.493
ˈeː	ˈɪ	0.293
ˈoː	ˈa	0.073
ˈoː	ˈiə̯	0.203
ˈyː	ˈiː	0.133
ˈyː	ˈyː	0.223
ˈyː	j	0.423
ˈøː	ˈoə̯	0.663
ˈɔʏ̯	ˈuː	0.053
ˈɪ	ˈi	0.143
ˈʏ	ˈɛː	0.093
ˈʏ	ˈy	0.223
d	d	0.264
d	t	0.534
n	-	0.224
ç	ŋ	0.104
ɐ	-	0.094
ə	r	0.314
ɡ	-	0.054
ˈa	ˈaː	0.144
ˈa	ˈa	0.504
ˈiː	ˈiː	0.294
ˈoː	ˈoə̯	0.124
ˈœː	ˈa	0.314
ˈɔʏ̯	ˈɪə̯	0.104
ˈɛ	ˈɪə̯	0.064
ˈɛ	ˈɔ	0.14
ˈɛɪ̯	ˈɛ	0.244
ˈɛɪ̯	ˈiː	0.244
ˈɪ	ˈɛi̯	0.084
ˈʊ	ˈu	0.314
ˈʏ	ˈu	0.084
l	l	0.915
t	t	0.855
v	-	0.095
ç	χ	0.475
ŋ	ɣ	0.095
ŋ	z	0.165
ˈaɪ̯	ˈeː	0.105
ˈaʊ̯	ˈoː	0.085
ˈeː	ˈɔ	0.095
ˈuː	ˈɔ	0.055
ˈœ	ˈɛ	0.465
ˈɔ	ˈɔː	0.115
b	b	0.696
ç	k	0.086
ç	-	0.086
ə	ˈɔu̯	0.686
ɡ	ɡ	0.286
ˈaɪ̯	ˈaː	0.086
ˈaɪ̯	ˈɪə̯	0.146
ˈuː	-	0.106
ˈøː	ˈyː	0.146
ˈœː	ˈɪ	0.686
ˈɔ	ˈaː	0.06
ˈɔʏ̯	j	0.176
ˈɛ	ˈɛi̯	0.066
ˈɛ	ˈaː	0.066
ˈɛ	ˈa	0.226
ˈɪ	ˈiː	0.116
kʰ	ʦ	0.207
x	χ	0.847
ɡ	k	0.527
ˈa	ˈɔː	0.217
ˈaː	ˈɪə̯	0.397
ˈeː	ˈaː	0.137
ˈiː	j	0.117
ˈœ	ˈoə̯	0.267
ˈœ	ˈɔ	0.267
ˈɔʏ̯	ˈu̯o	0.077
ˈɛ	ˈɪ	0.347
ˈɪ	ˈɔ	0.067
ˈʊ	ˈyː	0.067
b	p	0.298
f	f	0.888
m	m	0.748
tʰ	ʦ	0.118
ŋ	n	0.128
ɐ	ə_r	0.28
ɪ	ə	0.48
ˈaɪ̯	j	0.098
ˈeː	ˈi	0.098
ˈuː	ˈuː	0.598
ˈø	ˈɪ	0.698
ˈøː	ˈuə̯	0.078
ˈʊ	ˈuː	0.108
ˈʏ	ˈøə̯	0.118
m	v	0.089
r	-	0.069
z	ɕ	0.169
ç	ɣ	0.159
ɐ	ˈuə̯_r	0.089
ˈaɪ̯	ˈiə̯	0.369
ˈaʊ̯	ˈoə̯	0.129
ˈaʊ̯	ˈuə̯	0.239
ˈeɪ̯	ˈɛː	0.119
ˈeɪ̯	ˈiə̯	0.119
ˈeɪ̯	ˈeː	0.269
ˈiː	ˈɛ	0.169
ˈɔʏ̯	ˈiə̯	0.309
ˈʏ	ˈɪ	0.399
