Pennsylvania German	Old High German	probability
ˈɔː_s	ˈɑ_s	1.0
ˈɔ	ˈo	1.0
ˈuː	ˈuo̯	1.0
ɾ	r	1.0
ɪ_ç	ɑ_ɡ	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ə_m	m	1.0
ɑ_n	r_n	1.0
t	t	1.0
s_ˈɪ	s_ˈi	1.0
p	p	1.0
h	h	1.0
eː	ɛ_h	1.0
d_ɾ	t_r	1.0
b̥	b	1.0
f	f	0.971
m	m	0.964
l	l	0.964
d̥	t	0.953
b	b	0.948
ˈa	ˈɑ	0.923
ˈaʊ̯	ˈuː	0.857
ʦ	ʦ	0.851
ʋ	w	0.827
ˈɪ	ˈi	0.783
d	d	0.732
n	n	0.72
x	x	0.682
k	kʰ	0.682
ˈʊ	ˈu	0.673
ˈiː	ˈio̯	0.65
ɡ̊	kː_ɑ	0.644
j	ɡ_ɑ	0.642
ŋ	ŋ_ɡ	0.632
ɑ	r	0.626
ˈɛ	ˈɛ	0.619
ç	x	0.605
ɪ	u	0.6
ˈɛː	ˈɛ	0.587
ˈaɪ̯	ˈiː	0.587
ˈoː	ˈɑː	0.558
s	s	0.548
ʃ	s	0.537
ˈeː	ˈei̯	0.508
ˈɔː	ˈɑ	0.48
ʃ	s_k	0.463
ˈoː	ˈoː	0.442
ə	ɑ_n	0.424
ɪ	i	0.4
ˈɔː	ˈou̯	0.383
ŋ	ŋ	0.368
j	j	0.358
ɡ̊	x	0.356
x	xː	0.318
ˈaɪ̯	ˈiu̯	0.299
ˈaː	ˈu	0.298
ˈaː	ˈo_r	0.298
ˈɛː	-	0.267
s	s̻	0.265
ˈɛ	ˈe	0.256
k	kː	0.239
d	t	0.236
ˈaː	ˈɑ_r	0.234
ç	xː	0.232
ˈɪ	ˈu	0.217
ˈiː	ˈuo̯	0.203
ə	e_n	0.203
ɑ	ɑ_r	0.199
ˈaː	ˈu_r	0.169
ç	ɡ	0.162
ˈʊ	ˈo	0.15
ʦ	ʦː	0.149
ˈiː	ˈi	0.147
ˈɛː	ˈɑː	0.146
s	s̻ː	0.145
ˈaʊ̯	-	0.143
ˈeː	ˈeː	0.136
n	nː	0.136
ˈɛ	ˈu	0.125
ˈaɪ̯	-	0.114
ə	n	0.113
ˈeː	-	0.108
ˈɔː	ˈɑː	0.101
ˈeː	ˈoː	0.094
ˈeː	ˈɛ_h	0.093
ˈʊ	ˈuo̯	0.089
ˈʊ	-	0.089
ə	-	0.082
k	k	0.079
ˈa	ˈo_r	0.077
ʋ	b_ɑ	0.075
ʋ	b	0.075
ɑ	ɛ_r	0.071
ə	eː_n	0.064
ˈeː	ˈɛ	0.061
ɑ	r_o	0.055
ə	oː	0.052
b	p͡f	0.052
