Westphalian	Old English	probability
ˈɛ_b	bː	1.0
ˈɒː	ˈɑ_r	1.0
ˈø	ˈɛ	1.0
ˈyːœ̯	ˈo	1.0
ˈyə̯	ˈu_nː	1.0
ˈuə̯	ˈu	1.0
ˈoː	ˈoː	1.0
ˈa_x	ˈi_ç	1.0
ʋ	w	1.0
ʃ_ʋ	s_w	1.0
ɪ	i	1.0
ɣ	ɣ	1.0
ç	j	1.0
v̥	f	1.0
l_ə	ɫː	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
b	b	1.0
aɪ̯	iːy̯	1.0
s	s	0.933
m	m	0.91
r	r	0.902
ˈeː	ˈɑː	0.871
p	p	0.85
ˈɪ	ˈi	0.832
ˈaʊ̯	ˈæːɑ̯	0.775
ˈuː	ˈuː	0.767
ə	e	0.76
n	n	0.758
z	z	0.754
ˈʊ	ˈu	0.753
ˈiː	ˈiː	0.72
t	t	0.715
ˈøː	ˈeː	0.704
ˈɛ	ˈe	0.694
ʃ	ʃ	0.68
ˈaɪ̯	ˈeːo̯	0.65
v	w	0.642
ŋ	ŋ_ɡ	0.623
d	θ	0.614
l	l	0.609
ˈɪə̯	-	0.6
ˈɛː	ˈeo̯	0.593
ˈɔ	ˈæɑ̯	0.592
ˈaː	ˈæ	0.577
ˈʏ	-	0.567
ˈuːə̯	-	0.549
ˈiɛ̯	ˈe	0.526
ˈyː	ˈyː	0.5
ˈyː	-	0.5
ˈɪɛ̯	ˈe	0.498
ˈiɛ̯	-	0.474
ˈa	ˈɑ	0.474
k	k	0.47
ɐ	r	0.454
ˈuːə̯	ˈo	0.451
x	ɡ	0.435
ˈʏ	ˈy	0.433
ˈaː	-	0.423
ˈɔ	ˈo	0.408
ˈɛː	-	0.407
ˈɪə̯	ˈi	0.4
ɡ	ʤː	0.4
ɡ	ɣ	0.379
l	ɫ	0.337
ˈɪɛ̯	ˈeo̯	0.334
ʃ	s	0.32
ˈɛ	ˈi	0.306
k	ʧ	0.305
ˈɔː	ˈæːɑ̯	0.299
ˈøː	-	0.296
ˈɔː	ˈæː	0.261
ˈʊ	ˈuː	0.247
ˈɔː	-	0.246
z	s	0.246
ˈaɪ̯	ˈiːy̯	0.243
x	j	0.242
ə	ɑ	0.24
ɐ	e_r	0.235
ˈuː	-	0.233
ˈaʊ̯	-	0.225
ɡ	-	0.222
ŋ	-	0.221
t	t_ɑ	0.208
ˈa	ˈæ	0.203
x	x	0.195
ˈɔː	ˈoː	0.194
d	d_ɑ	0.183
ˈɪ	-	0.168
ˈiː	ˈeː	0.168
ˈɪɛ̯	-	0.167
ɐ	o_r	0.16
ŋ	ŋ	0.156
v	v	0.153
ɐ	e	0.151
p	pː	0.15
ˈa	ˈæɑ̯	0.136
v	v_ɑ	0.134
ˈeː	-	0.129
ˈa	-	0.124
d	d	0.122
ˈiː	ˈeːo̯	0.112
ˈaɪ̯	-	0.108
x	xː	0.103
r	h_r	0.098
k	-	0.098
d	dː	0.081
t	tː	0.077
n	n_d	0.076
v	h_w	0.071
s	k_s	0.067
ˈa	ˈiy̯	0.062
n	-	0.06
n	nː	0.056
l	h_l	0.054
k	ʧː	0.052
