Luxembourgish	Bavarian	probability
b	b̥	1.0
d	d̥	0.846
d	t	0.092
e	eɐ̯	0.569
e	i	0.431
f	f	0.865
f	b̥	0.135
h	h	1.0
j	j	1.0
k	ɡ̊	0.623
k	k	0.311
k	-	0.066
kʰ	kʰ	1.0
l	l	0.559
l	j	0.376
m	m	1.0
n	n	0.845
n	m	0.071
n	ŋ	0.056
p	p͡f	0.579
p	f	0.283
p	p	0.138
s	s	1.0
t	t	0.464
t	d̥	0.447
t	-	0.089
tʰ	d̥	1.0
v	ʋ	0.78
v	b̥	0.172
w	ʋ	1.0
z	s	0.953
ŋ	ŋ	0.672
ŋ	n	0.328
ɐ	ɐ	0.494
ɐ	a	0.393
ɐ	-	0.113
ɕ	x	0.529
ɕ	ç	0.271
ɕ	ɡ̊	0.2
ə	-	0.762
ə	a	0.174
ɡ	ɡ̊	1.0
ʀ	r	0.912
ʀ	-	0.088
ʃ	ʃ	0.903
ʃ	s	0.097
ʑ	ɡ̊	1.0
ʦ	ʦ	1.0
ˈaː	ˈɒ	0.198
ˈaː	ˈo	0.188
ˈaː	ˈoɐ̯	0.186
ˈaː	ˈaː	0.166
ˈaː	ˈa	0.129
ˈaː	ˈau̯	0.058
ˈe	ˈeɐ̯	0.374
ˈe	ˈu	0.273
ˈe	ˈi	0.215
ˈe	ˈai̯	0.139
ˈeː	ˈoɐ̯	0.822
ˈeː	ˈeː	0.061
ˈeː	ˈai̯	0.053
ˈi	ˈi	0.392
ˈi	ˈeː	0.217
ˈi	ˈy	0.148
ˈi	ˈuɐ̯	0.097
ˈi	ˈiː	0.088
ˈi	ˈu	0.057
ˈiə̯	ˈɛ	0.39
ˈiə̯	ˈe	0.326
ˈiə̯	ˈeː	0.284
ˈiː	ˈeː	0.373
ˈiː	ˈi	0.365
ˈiː	ˈiː	0.115
ˈiː	ˈɛ	0.091
ˈiː	ˈiɐ̯	0.057
ˈo	ˈo	0.513
ˈo	ˈu	0.269
ˈo	ˈuɐ̯	0.103
ˈoː	ˈo	0.29
ˈoː	ˈɒː	0.226
ˈoː	ˈɔ	0.205
ˈoː	ˈe	0.118
ˈoː	ˈoː	0.107
ˈoː	ˈoɐ̯	0.054
ˈu	ˈu	0.23
ˈu	ˈoː	0.191
ˈu	ˈeɐ̯	0.187
ˈu	ˈɛ	0.187
ˈu	ˈaː	0.118
ˈu	ˈuɐ̯	0.087
ˈuə̯	ˈɔ	0.872
ˈuə̯	ˈoː	0.128
ˈuː	ˈu	0.814
ˈuː	ˈuɐ̯	0.186
ˈæ	ˈɒ	1.0
ˈæːɪ̯	ˈai̯	0.936
ˈæːɪ̯	ˈoɐ̯	0.064
ˈæːʊ̯	ˈau̯	1.0
ˈɑ	ˈi	0.541
ˈɑ	ˈa	0.209
ˈɑ	ˈo	0.121
ˈɑ	ˈɔ	0.07
ˈɑ	ˈɒː	0.059
ˈɑɪ̯	ˈai̯	0.517
ˈɑɪ̯	ˈu	0.197
ˈɑɪ̯	ɐ	0.14
ˈɑɪ̯	ˈiː	0.12
ˈɑʊ̯	ˈau̯	1.0
ˈɔ	ˈu	0.672
ˈɔ	ˈau̯	0.328
ˈə	ˈi	0.335
ˈə	ˈʏ	0.194
ˈə	ˈɛ	0.185
ˈə	ˈai̯	0.128
ˈə	ˈu	0.068
ˈə	ˈo	0.055
ˈəʊ̯	ˈoː	0.245
ˈəʊ̯	ˈɔ	0.245
ˈəʊ̯	ˈuɐ̯	0.192
ˈəʊ̯	ˈou̯	0.167
ˈəʊ̯	ˈoɐ̯	0.15
ˈɛ	ˈe	0.396
ˈɛ	ˈɛ	0.303
ˈɛ	ˈai̯	0.301
ˈɛː	ˈɛ	0.532
ˈɛː	ˈe	0.468
ˈɜɪ̯	ˈiɐ̯	0.29
ˈɜɪ̯	ˈeː	0.178
ˈɜɪ̯	ˈɛː	0.172
ˈɜɪ̯	ˈe	0.164
ˈɜɪ̯	ˈou̯	0.057
ˈʊ	ˈuɐ̯	0.69
ˈʊ	ˈu	0.31
χ	x	0.847
χ	ɡ̊	0.153
