Luxembourgish	Bavarian	probability
b	b̥	1.0
d	d̥	0.735
d	t	0.203
d	d	0.059
e	i	0.486
f	f	0.92
f	b̥	0.045
f	-	0.036
h	h	1.0
j	j	1.0
k	ɡ̊	0.53
k	-	0.224
k	k	0.224
kʰ	kʰ	1.0
l	l	0.681
l	j	0.161
l	j_b̥	0.062
l	i	0.047
l	-	0.041
l_ə	j	1.0
m	m	1.0
n	n	0.726
n	-	0.144
n	m	0.056
n	ŋ	0.048
p	p͡f	0.723
p	p	0.202
s	s	1.0
t	d̥	0.484
t	t	0.431
t	-	0.051
t	s	0.033
tʰ	d̥	1.0
v	ʋ	0.677
v	b̥	0.16
v	f	0.085
v	-	0.068
w	ʋ	1.0
z	s	0.921
z	ʃ	0.076
ŋ	ŋ	0.63
ŋ	n	0.224
ŋ	-	0.129
ɐ	a	0.456
ɐ	ɐ	0.432
ɐ	r	0.07
ɐ	-	0.037
ɕ	x	0.32
ɕ	ç	0.278
ɕ	ɡ̊	0.194
ɕ	-	0.184
ə	-	0.62
ə	a	0.16
ə	ə	0.07
ə	i	0.04
ə	ɐ	0.04
ɡ	ɡ̊	1.0
ʀ	r	0.831
ʀ	-	0.082
ʀ	n	0.082
ʃ	ʃ	0.839
ʃ	s	0.103
ʃ	x	0.05
ʑ	ɡ̊	0.486
ʦ	ʦ	1.0
ˈaː	ˈoɐ̯	0.199
ˈaː	ˈaː	0.183
ˈaː	ˈɒ	0.174
ˈaː	ˈa	0.134
ˈaː	ˈo	0.114
ˈe	ˈu	0.289
ˈe	ˈeɐ̯	0.219
ˈe	ˈeː	0.219
ˈe	ˈai̯	0.14
ˈe	ˈi	0.063
ˈeː	ˈoɐ̯	0.587
ˈeː	ˈe	0.114
ˈeː	ˈeː	0.114
ˈeː	ˈi	0.086
ˈeː	ˈai̯	0.084
ˈeː_n	ˈoɐ̯	1.0
ˈi	ˈu	0.242
ˈi	ˈi	0.155
ˈi	ˈeː	0.155
ˈi	ˈy	0.147
ˈi	ˈiː	0.147
ˈiə̯	ˈeː	0.354
ˈiə̯	ˈe	0.308
ˈiə̯	ˈɛ	0.227
ˈiː	ˈi	0.307
ˈiː	ˈɛ	0.233
ˈiː	ˈeː	0.176
ˈiː	ˈiɐ̯	0.113
ˈiː	ˈiː	0.113
ˈo	ˈo	0.611
ˈo	ˈu	0.184
ˈo	ˈoɐ̯	0.103
ˈo	ˈɔ	0.07
ˈoː	ˈɔ	0.359
ˈoː	ˈɒː	0.312
ˈoː	ˈo	0.084
ˈoː	ˈoː	0.084
ˈoː	ˈoɐ̯	0.081
ˈu	ˈuɐ̯	0.229
ˈu	ˈoː	0.222
ˈu	ˈeɐ̯	0.147
ˈu	ˈaː	0.098
ˈu	ˈɛ	0.094
ˈuə̯	ˈoː	0.644
ˈuə̯	ˈɔ	0.237
ˈuː	ˈu	1.0
ˈæ	ˈɒ	0.236
ˈæɪ̯	ˈai̯	1.0
ˈæːɪ̯	ˈai̯	0.93
ˈæːɪ̯	ˈoɐ̯	0.056
ˈæːʊ̯	ˈau̯	1.0
ˈɑ	ˈi	0.389
ˈɑ	ˈa	0.289
ˈɑ	ˈo	0.132
ˈɑ	ˈɔ	0.1
ˈɑ	ˈɒː	0.066
ˈɑɪ̯	ˈai̯	0.574
ˈɑɪ̯	ˈu	0.158
ˈɑɪ̯	ˈeɐ̯	0.11
ˈɑɪ̯	ɐ	0.11
ˈɔ	ˈu	0.321
ˈɔ	ˈau̯	0.321
ˈə	ˈi	0.539
ˈə	ˈɛ	0.152
ˈə	ˈʏ	0.079
ˈə	ˈu	0.077
ˈə	ˈai̯	0.076
ˈəɪ̯	ˈiɐ̯	0.306
ˈəɪ̯	ˈɛː	0.223
ˈəɪ̯	ˈe	0.165
ˈəɪ̯	ˈɑː	0.066
ˈəɪ̯	ˈu	0.055
ˈəʊ̯	ˈou̯	0.303
ˈəʊ̯	ˈuɐ̯	0.258
ˈəʊ̯	ˈoɐ̯	0.258
ˈəʊ̯	ˈɔ	0.109
ˈɛ	ˈɛ	0.461
ˈɛ	ˈai̯	0.265
ˈɛ	ˈe	0.265
ˈɛː	ˈe	0.715
ˈɛː	ˈɛ	0.28
ˈʊ	ˈuɐ̯	0.758
ˈʊ	ˈu	0.18
ˈʊɪ̯	ˈɔ	1.0
χ	x	0.863
χ	ɡ̊	0.094
