Icelandic	Icelandic	probability
θ	d	1.0
ˈɛː_r̥_#>	ˈiː_#>	1.0
ˈɛi̯	ˈæɪ̯	1.0
ˈɔː	-	1.0
ˈœːy̯	ˈoː	1.0
ˈœː	-	1.0
ˈuː_a	ɡ_n	1.0
ˈou̯	-	1.0
ˈiː_r̥	ˈɛːɪ̯	1.0
ˈiː_n	ˈiː_n	1.0
ˈaːu̯	-	1.0
ˈau̯	-	1.0
ˈai̯	-	1.0
ˈa_n	ˈɑ_n	1.0
ʰt͡n̥	t	1.0
ʰp	p	1.0
ʰc	ˈʏ_k	1.0
ʏ_r̥	d̥	1.0
ɲ	ŋ	1.0
ɣ	ɣ̊	1.0
ɡ̊ː	-	1.0
ɡ̊_l	ɫ	1.0
ɡ̊_#>	ɣ̊_#>	1.0
ɟ̊	ɡ	1.0
ɛ	-	1.0
ɑu̯	-	1.0
ç	h	1.0
v_ˈɛː	v	1.0
v_ʏ	v̥	1.0
t͡n̥	n	1.0
t͡l̥	l	1.0
t_a	t_n	1.0
t	t	1.0
sː	s	1.0
s_j	z	1.0
s_#>	z̥_#>	1.0
r̥_#>	#>	1.0
r_ɪ	ɐ	1.0
r_t͡n̥	ɐ_n	1.0
pʰ	p	1.0
p	p	1.0
nː	n	1.0
n_d̥	n	1.0
m	m	1.0
l̥	l	1.0
l_#>	l_#>	1.0
l	l	1.0
k	k	1.0
j_ˈuː	ˈæɪ̯	1.0
j_ˈoːu̯	ˈæɪ̯	1.0
j_a	n	1.0
i	ˈyː	1.0
h	h	1.0
f	f	1.0
d̥_ʏ	d̥	1.0
cʰ	k	1.0
c	k	1.0
b̥	b	1.0
aːu̯	ɑɪ̯	1.0
a_r̥	ɐ	1.0
a_#>	#>	1.0
a	n	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
#>	n_#>	1.0
ʏ_r̥_#>	#>	0.922
n	n	0.875
d̥	d	0.833
ˈuː	ˈuː	0.818
<#	<#_v	0.714
ŋ	ŋ	0.7
r̥	ɐ	0.7
v	v	0.692
ˈœ	-	0.667
ˈi	ˈɪ	0.667
ð	d̥	0.654
ʏ	-	0.636
ɡ̊	-	0.636
<#_kʰ	<#_k	0.636
ˈʏː	-	0.6
ˈɑu̯	ˈɑ	0.6
ʰk	k	0.6
ɪ	-	0.6
s	s	0.596
ˈɛːi̯	ˈæɪ̯	0.556
r	r	0.556
j	-	0.522
ˈɔu̯	χ	0.5
ˈɔu̯	-	0.5
ʰt	χ	0.5
ʰt	t	0.5
n̥	n	0.5
n̥	k	0.5
ˈʏ	ˈʊ	0.467
ˈɪ	ˈɪ	0.467
ˈoːu̯	ˈɑʊ̯	0.462
ˈaː	ˈɑ	0.455
ˈɛːi̯	-	0.444
ˈɔ	ˈoː	0.444
ˈɪː	-	0.429
ˈɛː	ˈɪ	0.429
ˈiː	ˈiː	0.429
ˈaːi̯	ˈɑʊ̯	0.429
ˈaːi̯	-	0.429
s	z	0.404
ˈʏː	ˈœ	0.4
ˈʏ	-	0.4
ˈɪ	-	0.4
ˈɑu̯	ˈɑːɑ̯	0.4
ʰk	ŋ_k	0.4
ɪ	ɐ	0.4
ˈoːu̯	-	0.385
ˈɑːu̯	ˈɒː	0.375
ˈɑːu̯	-	0.375
ˈa	ˈɑː	0.375
ˈa	-	0.375
r	ɐ	0.37
ˈaː	ˈɒː	0.364
ɡ̊	ɡ	0.364
<#_kʰ	<#	0.364
ˈiː	-	0.357
ˈɔ	-	0.333
ˈœ	ˈɑːɑ̯	0.333
ˈi	-	0.333
ŋ	-	0.3
ˈɪː	ˈɪ	0.286
ˈɪː	ˈæɪ̯	0.286
ˈɛː	ˈɛːɪ̯	0.286
ˈɛː	ˈeː	0.286
<#	<#_r	0.286
ˈɛ	ˈɛ	0.267
ˈɑːu̯	ˈɔː	0.25
ˈɔ	ˈʊ	0.222
ˈɛ	ˈɪ	0.2
ˈɛ	ˈeː	0.2
ˈɛ	-	0.2
r̥	-	0.2
ð	d	0.192
ˈa	ˈɑ	0.188
ˈuː	-	0.182
ˈaː	ˈɛ	0.182
ʏ	ɣ̊	0.182
ʏ	k	0.182
d̥	d̥	0.167
v	w	0.154
v	-	0.154
ˈiː	n	0.143
ˈaːi̯	ˈøy̯	0.143
ˈʏ	ˈøː	0.133
ˈɪ	ˈʏə̯	0.133
ˈɛ	ˈɑ	0.133
j	ˈeː	0.13
n	n_ˈɒː	0.125
r̥	ɣ̊	0.1
j	ˈʏ	0.087
j	ˈøː	0.087
j	ˈæɪ̯	0.087
j	ɡ	0.087
ʏ_r̥_#>	t_#>	0.078
ˈoːu̯	ˈœːy̯	0.077
ˈoːu̯	ʊ	0.077
ð	ɐ	0.077
ð	t	0.077
r	ˈɑː_ɐ	0.074
ˈiː	ˈiːi̯	0.071
ˈa	o	0.062
