Old West Norse	Dutch	probability
θ	d	1.0
ˈɔː	ˈu	1.0
ˈɔ_l	ɫ	1.0
ˈɒu̯	ˈoː	1.0
ˈɑu̯	ˈoː	1.0
ˈɑ_l	ˈɑu̯	1.0
ˈøː	ˈu	1.0
ˈøy̯	ˈoː	1.0
ˈa	ˈɑ	1.0
ʦ	t	1.0
ʝː	χ	1.0
ɾ	-	1.0
ɡː	χ	1.0
ɡ_r̥	ə_ɾ	1.0
ɟː	χ	1.0
ɑː	i	1.0
ŋ_ɟ	ŋ	1.0
ç	ɦ	1.0
x_w	ʋ	1.0
v_u	v̥	1.0
v_r̥	v̥	1.0
tː	t	1.0
t	t	1.0
sː	z̥	1.0
s_ˈe	z_ˈɛ	1.0
s_l	s_ɫ	1.0
r̥ː	ɾ	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
n̥	n	1.0
n	n	1.0
mː	-	1.0
m	m	1.0
l̥	ɫ	1.0
lː	ɫ	1.0
l_i	ə_ɫ	1.0
l	ɫ	1.0
kʰ	k	1.0
j_ˈɔ	ˈeː	1.0
j_ˈɑ	ˈɛ	1.0
j_ˈuː	ˈi	1.0
j_ˈoː	ˈi	1.0
j	-	1.0
i_r̥	ə_ɾ	1.0
i_r	ə_ɾ	1.0
i	-	1.0
h	ɦ	1.0
e	ˈɛ_n	1.0
d_r̥	d̥	1.0
cː	k	1.0
cʰ	k	1.0
c	χ	1.0
b	b	1.0
r	ɾ	0.959
f	v	0.915
k	k	0.886
ˈi	ˈɪ	0.855
ˈɛi̯	ˈeː	0.827
ŋ	ŋ	0.787
ˈiː	ˈɛi̯	0.768
s_k	s	0.756
ɣ	χ	0.737
ɑ	ə_n	0.726
a	ə	0.714
ˈuː	ˈœy̯	0.713
d	d	0.699
ɡ	-	0.641
ˈoː	ˈu	0.63
ˈu	ˈɔ	0.629
s	z	0.619
kː	k	0.61
ˈɛː	ˈeː	0.609
ˈɑː	ˈaː	0.603
ˈɑ	ˈɑ	0.602
ˈɔ	ˈaː	0.59
nː	n	0.585
ˈo	ˈoː	0.577
u	-	0.576
ˈɛ	ˈɑ	0.548
ˈe	ˈɛ	0.49
ˈeː	ˈɛi̯	0.465
ˈɛ	-	0.452
ð	d̥	0.437
u	ə	0.424
v	v	0.416
ˈɔ	ˈɑ	0.41
ˈɛː	-	0.391
ˈyː	-	0.391
kː	ŋ_k	0.39
s	s	0.381
r̥	w	0.377
ˈoː	-	0.37
ˈeː	ˈi	0.362
ɡ	χ	0.359
ˈy	ˈoː	0.351
ˈo	ˈɔ	0.35
v	ʋ	0.316
r̥	ə_ɾ	0.312
r̥	d̥	0.312
ˈyː	ˈyː	0.305
ˈyː	ˈi	0.305
d	d̥	0.301
ˈy	ˈʏ	0.292
ð	d	0.289
ˈuː	-	0.287
a	-	0.286
ð	-	0.274
ɣ	χ_ə	0.263
s_k	s_χ	0.244
ˈiː	ˈi	0.232
nː	-	0.228
ˈɑ	ˈaː	0.213
ŋ	-	0.213
ˈy	ˈɪ	0.212
ˈe	ˈeː	0.194
nː	n_d	0.187
ˈɛi̯	ˈɛi̯	0.173
ˈeː	χ	0.173
ˈe	-	0.17
ˈu	-	0.169
ɑ	ə	0.153
ˈy	-	0.146
ˈi	ˈeː	0.145
ˈe	ˈɪ	0.145
ˈɑː	n	0.122
k	s	0.114
ˈɑ	ˈɛ	0.107
v	v̥	0.107
ˈu	ˈʏ	0.101
ˈu	ˈoː	0.101
v	-	0.1
ˈɑː	ˈɑ	0.092
ˈɑː	-	0.092
ˈɑː	ˈɑ_χ	0.09
f	v̥	0.085
ˈɑ	-	0.078
ˈo	ˈaː	0.072
ɑ	n	0.066
v	ə	0.061
ɑ	-	0.055
