Štokavian	Lower Sorbian	probability
âː	ˈɔ	1.0
ǎː	ˈɔ	1.0
êː	ˈɪ	1.0
ěː	ˈɪ	1.0
i	i	1.0
iː	ɨ	1.0
îː	ˈi	1.0
o	ɔ	1.0
r̩̂	ˈe	1.0
ǔː	ˈu	1.0
z	z	1.0
ɲ	ɲ	1.0
ʎ	l	1.0
ʦ	ʦ	1.0
ʧ	ʦ	1.0
ʨ	ʦ	1.0
a	a	0.641
b	bʲ	0.101
n	n	0.481
ǒ	ˈɔ	0.271
p	p	0.231
s	s	0.971
x	x_ɨ	0.061
ʋ	-	0.081
ʒ	ʐ	0.821
a	ɛ	0.062
a	-	0.172
b	p	0.42
ê	ˈa	0.522
m	mʲ	0.372
ûː	ˈu	0.832
ê	ˈɪ	0.413
n	n_ɨ	0.193
ô	ˈɛ	0.63
t	ɕ	0.443
û	<#_v	0.183
â	ˈa	0.694
î	ˈi	0.74
j	-	0.664
ôː	ˈɛ	0.244
r	r	0.574
t	t	0.534
ʋ	v	0.434
e	ɔ	0.405
eː	e	0.275
eː	ɛ	0.725
ê	ˈe	0.065
ě	ˈɔ	0.25
ě	ˈe	0.75
p	-	0.05
ɡ	k	0.225
ʋ	vʲ	0.485
â	ˈɔ	0.306
d	t	0.206
î	ˈɨ	0.26
j	j	0.336
k	k	0.96
l	l	0.446
n	ɲ	0.326
ôː	ˈɔ	0.756
d	ʑ	0.367
d	d	0.427
e	e	0.337
ô	ˈɔ	0.37
û	ˈu	0.817
a	ɨ	0.078
e	ɛ	0.258
l	w	0.518
m	m	0.628
r	r_ɨ	0.058
ûː	l	0.168
ɡ	ɨ_#>	0.078
b	b	0.479
ǒ	ˈɛ	0.729
p	pʲ	0.719
r	-	0.159
r	rʲ	0.209
x	x	0.939
ɡ	ɡ	0.649
ʒ	ʂ	0.179
