Lower Sorbian	Belarusian	probability
b	b	1.0
bʲ	bʲ	1.0
kʲ	kʲ	1.0
m	m	1.0
mʲ	mʲ	1.0
n	n	1.0
p	p	1.0
pʲ	pʲ	1.0
rʲ	r	1.0
vʲ	vʲ	1.0
ɲ	nʲ	1.0
ʐ	ʐ	1.0
ʑ	ʣʲ	1.0
ʨ	ʦʲ	1.0
ˈi	ˈi	1.0
ˈɨ	ˈɨ	1.0
a	a	0.321
j	w	0.371
z	zʲ	0.561
ɡ	ɣ	0.81
ʦ	ʧ	0.531
ˈe	æ	0.431
k	k	0.812
r	r	0.812
s	s	0.572
x	x	0.462
ˈa	ˈɵ	0.122
ˈɔ	ˈo	0.642
ˈɛ	ˈɛ	0.102
ˈɛ	ˈo	0.502
ˈɪ	ˈæ	0.2
ˈɪ	ˈe	0.572
d	d	0.873
i	i	0.863
t	t	0.943
v	-	0.063
ɔ	a	0.913
ɛ	æ	0.143
ɨ	ˈɨ	0.103
ˈe	ˈo	0.173
j	j	0.54
l	lʲ	0.944
ɕ	-	0.154
ʂ	r	0.574
ˈa	ˈa	0.324
ˈɔ	ˈɵ	0.094
ˈɔ	a	0.244
e	e	0.5
e	æ	0.5
w	ˈo	0.065
ˈu	u	0.275
ˈu	ˈu	0.725
l	ʌ_ɫ	0.056
ɕ	ʦʲ	0.846
ʂ	ʂ	0.426
ˈa	a	0.356
ˈe	ˈe	0.396
d	ʣʲ	0.127
i	ˈi	0.137
t	ʦʲ	0.057
v	v	0.937
w	w	0.07
ɔ	ˈo	0.087
ɛ	a	0.857
ɨ	ɨ	0.897
ˈa	ˈe	0.107
ˈɛ	a	0.397
ˈɪ	æ	0.227
k	x	0.188
r	a_r	0.188
s	sʲ	0.428
x	xʲ	0.538
a	ˈa	0.679
j	-	0.089
w	ɫ	0.839
z	z	0.439
ɡ	ɣ_ˈo	0.19
ʦ	ʦ	0.469
ˈa	ˈo	0.09
