Old English	Swedish	probability
a	ɛ	1.0
b	b	0.967
bː	-	1.0
d	d	0.857
d	-	0.136
dː	-	1.0
e	a	0.691
e	ɛ	0.212
e	-	0.066
eo̯	-	1.0
f	f	0.686
f	v	0.223
f	m	0.057
h	h	0.827
h	-	0.173
i	-	0.483
i	ɪ	0.285
i	ɵ	0.161
i	ˈʏ	0.07
iː	ɪ	1.0
iːy̯	ɔ	1.0
j	ɡ	0.541
j	-	0.153
j	j	0.147
j	ŋ	0.116
k	k	0.462
k	kʰ	0.403
k	kː	0.126
kː	k	1.0
l	l	0.846
l	-	0.07
l	j	0.059
lː	lː	1.0
l̥	l	1.0
m	m	0.847
m	mː	0.116
mː	mː	1.0
n	n	0.734
n	nː	0.087
n	ŋ	0.068
n	-	0.059
n	ɳː	0.052
nː	nː	0.605
nː	n	0.395
o	ɛ	0.615
o	-	0.311
p	p	0.448
p	r	0.204
p	v	0.177
p	pː	0.114
p	pʰ	0.057
pː	p	0.707
pː	pː	0.293
r	r	0.79
r	-	0.09
r	ɳ	0.083
rː	rː	0.523
rː	ɳ	0.477
r̥	r	1.0
s	s	0.764
s	ɧ	0.188
t	t	0.505
t	tː	0.193
t	tʰ	0.185
tː	tː	1.0
u	a	1.0
v	v	0.774
v	-	0.197
w	v	0.596
w	-	0.348
w	r	0.056
x	tː	0.57
x	-	0.268
x	s	0.133
z	s	1.0
ç	tː	0.587
ç	-	0.23
ç	k	0.183
ð	d	0.475
ð	nː	0.287
ð	-	0.16
ð	ɖ	0.079
ŋ	ŋː	0.777
ŋ	ŋ	0.223
ɑ	a	0.797
ɑ	-	0.16
ɡ	ɡ	0.637
ɡ	-	0.363
ɣ	ɡ	0.635
ɣ	j	0.309
ɣ	-	0.056
ɫ	l	0.903
ɫ	lː	0.097
ʃ	s	0.453
ʃ	ɧ	0.416
ʃ	f	0.13
ʃː	s	1.0
ʍ	v	1.0
ʤ	ɡː	1.0
ʤː	jː	1.0
ʧ	k	0.259
ʧ	kʰ	0.249
ʧ	ɡ	0.238
ʧ	ɕ	0.217
ʧː	kː	1.0
ˈe	ˈɛ	0.386
ˈe	ˈøː	0.291
ˈe	ˈɛː	0.13
ˈe	ˈɪ	0.095
ˈe	-	0.061
ˈeo̯	ˈæː	0.298
ˈeo̯	j	0.232
ˈeo̯	ˈʉː	0.185
ˈeo̯	ˈæ	0.171
ˈeo̯	ˈɛ	0.072
ˈeː	ˈøː	0.504
ˈeː	ˈʉː	0.136
ˈeː	ˈæː	0.122
ˈeː	ˈiː	0.11
ˈeː	ˈœ	0.068
ˈeː	ˈɛ	0.06
ˈeːo̯	ˈʉː	0.245
ˈeːo̯	ˈyː	0.154
ˈeːo̯	ˈeː	0.124
ˈeːo̯	ˈɛ	0.122
ˈeːo̯	ˈiː	0.09
ˈeːo̯	ˈɛː	0.09
ˈeːo̯	j_ˈʉː	0.071
ˈeːo̯	-	0.059
ˈi	ˈɪ	0.581
ˈi	ˈɛ	0.08
ˈi	ˈiː	0.078
ˈi	ˈɵ	0.074
ˈi	ˈʏ	0.065
ˈi	ˈeː	0.059
ˈiy̯	ˈɛ	0.549
ˈiy̯	ˈeː	0.354
ˈiy̯	ˈœ	0.096
ˈiː	ˈiː	0.853
ˈiː	ˈɛ	0.107
ˈiːy̯	ˈœ	0.355
ˈiːy̯	ˈyː	0.32
ˈiːy̯	ʊ	0.198
ˈiːy̯	ˈœː	0.126
ˈo	ˈuː	0.299
ˈo	ˈɔ	0.22
ˈo	ˈœ	0.128
ˈo	ˈœː	0.091
ˈo	-	0.087
ˈo	ˈɵ	0.066
ˈoː	ˈuː	0.433
ˈoː	ˈoː	0.38
ˈoː	ˈʊ	0.097
ˈoː	ˈa	0.089
ˈu	ˈɵ	0.372
ˈu	ˈʊ	0.333
ˈu	ˈoː	0.198
ˈu	ˈɔ	0.087
ˈuː	ˈʉː	0.674
ˈuː	ˈɵ	0.137
ˈuː	ˈuː	0.136
ˈuː	ˈɔ	0.053
ˈy	ˈɵ	0.48
ˈy	ˈʏ	0.338
ˈy	ˈɔ	0.091
ˈy	ˈʊ	0.091
ˈyː	ˈœ	0.516
ˈyː	ˈɛ	0.17
ˈyː	ˈʉː	0.159
ˈyː	ˈɔ	0.095
ˈyː	ˈyː	0.06
ˈæ	ˈɑː	0.748
ˈæ	ˈa	0.129
ˈæ	ˈɛː	0.095
ˈæɑ̯	ˈa	0.656
ˈæɑ̯	ˈɑː	0.29
ˈæɑ̯	ˈɔ	0.054
ˈæː	ˈoː	0.7
ˈæː	ˈɑː	0.12
ˈæː	ˈɛ	0.096
ˈæː	ˈyː	0.054
ˈæːɑ̯	ˈøː	0.359
ˈæːɑ̯	ˈoː	0.333
ˈæːɑ̯	ˈœ	0.187
ˈɑ	ˈa	0.69
ˈɑ	ˈɑː	0.219
ˈɑ	ˈoː	0.091
ˈɑː	ˈeː	0.423
ˈɑː	ˈoː	0.342
ˈɑː	ˈɛː	0.144
ˈɑː	ˈɛ	0.057
ˈɛ	ˈɛ	1.0
θ	tʰ	0.46
θ	d	0.288
θ	ɕ	0.142
θ	t	0.051
