Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈɛɪ̯	ˈæːɪ̯	1.0
ˈœ	-	1.0
ˈøː	ˈøː	1.0
ˈuː_æ	ɐ	1.0
ˈiː_æ	ɐ	1.0
ɾ_æ	ɐ	1.0
ɾ	d	1.0
ɪ	ɐ	1.0
ɣ̊	ɣ̊	1.0
ɣ	ɡ	1.0
ɡ̊	-	1.0
ɡ	ɡ	1.0
z̥	z̥	1.0
z	z	1.0
w	w	1.0
v̥	v̥	1.0
v	v	1.0
s_#>	s_#>	1.0
s	s	1.0
r	r	1.0
pʰ	-	1.0
p	p	1.0
n_n	n_n	1.0
n	n	1.0
kʰ	k	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
d_n	d_n	1.0
d	d	1.0
ae̯	ɑɪ̯	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
l	l	0.981
t	t	0.953
m	m	0.939
æ	ɐ	0.933
b	b	0.92
ˈɪ	ˈɪ	0.889
k	k	0.882
ˈɔ	ˈɔ	0.818
ˈae̯	ˈæɪ̯	0.773
ˈiː	ˈiː	0.706
ˈʊ	ˈʊ	0.692
ˈɛ	ˈɛ	0.667
ˈɒː	ˈɒː	0.667
ŋ	ŋ	0.667
ç	ɣ̊	0.667
x	χ	0.667
j	ɡ	0.667
ˈa	ˈɑ	0.654
ˈaː	ˈɑː_ɐ	0.625
ˈœː	ˈøː	0.571
ˈʏ	ˈʏ	0.545
ʃ	s_k	0.519
ˈɛː	ˈeː	0.5
ˈyː	ˈyː	0.5
ˈyː	-	0.5
ˈuː	ˈuː	0.5
ˈoː	ˈɔː	0.5
ˈoː	ˈoː	0.5
ʃ	s	0.481
ˈœː	-	0.429
ˈaʊ̯	ˈɑʊ̯	0.391
ˈaʊ̯	ˈoː	0.391
ˈɔʏ̯	ˈœy̯	0.375
ˈaː	-	0.375
ŋ	ɡ_n	0.333
x	ɣ̊	0.333
j	j	0.333
ˈʏ	ˈʏə̯	0.273
ç	-	0.267
ˈɛː	ˈeːe̯	0.25
ˈɛː	-	0.25
ˈɔʏ̯	ˈɑʊ̯	0.25
ˈɔʏ̯	-	0.25
ˈɒː	ˈɒːɒ̯	0.222
ˈuː	ˈoː	0.222
ˈʏ	-	0.182
ˈɔ	ˈœ	0.182
ˈɛ	ˈɛə̯	0.167
ˈɛ	ˈeː	0.167
ˈuː	ˈuːu̯	0.167
ˈʊ	ˈʊə̯	0.154
ˈʊ	-	0.154
ˈa	ˈɑːɑ̯	0.154
ˈae̯	ˈɛːɪ̯	0.136
ˈaʊ̯	-	0.13
ˈɔʏ̯	ˈøy̯	0.125
ˈiː	ˈɛːɪ̯	0.118
ˈiː	ˈæː	0.118
k	k_n	0.118
ˈa	ˈɑː	0.115
ˈɪ	ˈɪə̯	0.111
ˈɒː	-	0.111
ˈuː	ˈɑːʊ̯	0.111
ˈae̯	ˈæːɪ̯	0.091
b	-	0.08
ˈa	ˈɒː	0.077
ç	ɡ̊	0.067
æ	-	0.067
m	v_n	0.061
ˈiː	ˈiːi̯	0.059
