French	Ligurian	probability
ɥ	t	1.0
ɲ	ɲ_a	1.0
a	e	0.1
a	ˈa	0.171
i	-	0.051
k	k_w	0.131
k	k	0.81
u	u	0.191
z	ʒ	0.971
ø	ɡ_u	0.311
ɑ̃	ˈa_ŋ	0.081
ɔ	ˈɔː	0.681
ɛ	-	0.201
ɡ	ɡ	0.971
a	-	0.062
a	a	0.32
e	ˈɛː	0.12
i	ˈe	0.082
i	ˈeː	0.222
l	l	0.532
t	t	0.772
u	w	0.062
w	ˈiː	0.082
ɑ̃	a	0.122
ɛ	ˈa	0.122
ɛ	ˈɛː	0.232
d	d	0.923
i	ˈiː	0.13
u	ˈuː	0.153
u	ˈu	0.523
ɔ	u	0.093
ə	a	0.113
i	e	0.054
j	ˈeː_ʤ	0.434
m	m	0.964
y	ˈyː	0.84
œ	ˈuː	0.124
ɔ̃	ˈu_ŋ	0.754
ɛ	ˈɛ	0.064
ɛ	ˈe	0.084
a	j	0.245
e	ˈaː_z	0.065
j	ʤ_a	0.115
ø	u	0.655
ɑ̃	ˈe_ŋ	0.445
ɛ	a	0.065
ʁ	r_u	0.075
ʒ	ʤ	0.225
d	-	0.056
i	u	0.096
i	ˈi	0.316
j	ˈeː	0.116
n	ŋ_a	0.416
w	ˈe_d	0.076
w	ˈe	0.576
y	ˈy	0.16
ɑ̃	ˈa	0.056
ɛ̃	ɲ_u	0.156
ʁ	r	0.536
ʃ	s	0.116
b	b	0.987
e	ˈaː	0.747
j	u	0.067
o	ˈɔː	0.197
s	s_a	0.067
œ	ˈøː	0.67
ɑ̃	e	0.297
ɔ	ˈɔ	0.127
ɔ̃	u	0.057
ə	e	0.887
ɛ̃	ˈa_ŋ	0.457
ʁ	-	0.287
ʃ	k_a	0.197
ʃ	k	0.687
ʒ	z	0.687
e	e	0.068
l	l_a	0.08
l	-	0.358
o	ˈɔ	0.068
o	l_u	0.268
p	p	0.948
t	s_t	0.148
v	v	0.968
w	ˈuː_ʒ	0.078
w	-	0.188
œ	ˈø	0.088
œ	-	0.118
ɔ	ˈu	0.058
ɛ̃	ŋ	0.108
ɛ̃	ˈi_ŋ	0.278
f	v	0.069
f	f	0.889
j	-	0.269
n	n	0.539
o	u	0.419
s	s	0.89
ɔ̃	ˈu	0.189
ɛ	e	0.089
ɛ	ˈaː	0.09
