Aromanian	Aromanian	probability
ˈɨ	ˈa	1.0
ˈə	ˈi	1.0
ˈo_j	ˈu	1.0
ˈa_v	ˈɔ	1.0
ʦ_i	e	1.0
ʎ_i	a	1.0
ʃ_t	s	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ç	f	1.0
z_b	z_v	1.0
v	v	1.0
u_r	o_r	1.0
r_n	r_n	1.0
r_#>	ɰ_o_#>	1.0
p_t	t	1.0
n_#>	ŋ_#>	1.0
m_#>	m_o_#>	1.0
l_t	l_t	1.0
l_e̯ˈa	j_ˈa	1.0
l_#>	o_#>	1.0
k_ʎ	ʧ	1.0
k_u	k_o	1.0
k_#>	ɡ_o_#>	1.0
j_ˈo	ˈi_o	1.0
i_#>	#>	1.0
e	e	1.0
d_ə	a	1.0
a	-	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_j	<#_v	1.0
<#_a	<#	1.0
<#	<#_a	1.0
s	s	0.92
u	o	0.893
d	d	0.857
b	b	0.818
<#_l	<#_ɰ	0.818
f	f	0.8
ˈa	ˈa	0.784
#>	o_#>	0.778
r	r	0.776
ə	a	0.75
p	p	0.72
e̯ˈa	ˈe	0.7
ʣ	z	0.692
i	e	0.69
ˈe	ˈɛ	0.667
ʤ	z	0.667
ʃ	s	0.667
w	v	0.667
r_ə	r_a	0.667
m	m	0.632
n	n	0.606
ɨ	-	0.6
i_r	e_r	0.6
t	t	0.593
ʎ	ʤ	0.571
ɲ	m	0.571
ˈo	ˈo	0.562
k	k	0.548
o̯ˈa	ˈo	0.545
ʦ	s	0.529
ˈu	ˈo	0.5
ˈi	ˈi	0.5
l	j	0.5
j	v	0.5
j	-	0.5
o̯ˈa	ˈɔ	0.455
ˈo	ˈɔ	0.438
ʎ	-	0.429
ɲ	ɲ	0.429
ɨ	ˈa	0.4
n	ŋ	0.394
ˈe	ˈe	0.333
ʤ	-	0.333
ʃ	-	0.333
w	-	0.333
r_ə	r	0.333
ˈi	ˈe	0.324
ʣ	d	0.308
ʦ	-	0.294
ˈu	ˈu	0.265
l	l	0.25
l	-	0.25
m	ŋ	0.211
i_r	r	0.2
i_r	a_r	0.2
f	-	0.2
e̯ˈa	ˈɛ	0.2
t	-	0.185
b	-	0.182
<#_l	<#	0.182
ʦ	z	0.176
k	ɡ	0.167
m	-	0.158
t	d	0.148
#>	a_#>	0.148
ˈu	ˈɔ	0.147
ə	e	0.146
d	-	0.143
p	-	0.12
i	o	0.119
ˈi	-	0.118
ˈa	ˈɛ	0.108
ˈa	-	0.108
u	-	0.107
e̯ˈa	j	0.1
k	p	0.095
i	i	0.095
ˈu	-	0.088
r	l	0.086
s	z	0.08
p	o	0.08
p	k_w	0.08
t	s	0.074
#>	ɰ_o_#>	0.074
k	ʧ	0.071
k	-	0.071
ə	-	0.062
ˈi	ˈɛ	0.059
r	ɰ	0.052
r	o	0.052
