Old Norse	Eastphalian	probability
a	n	0.546
a	ə	0.273
a	ˈuː	0.18
b	b	0.951
c	-	0.754
c	k	0.246
cʰ	k	1.0
cː	k	1.0
d	d	0.952
f	f	0.937
f	ʃ	0.063
h	h	0.958
i	ɐ	0.545
i	ə	0.261
i	-	0.194
j	ˈɛɪ̯	0.422
j	-	0.359
j	ˈeː	0.063
j	ˈɔ	0.063
j	ˈʏ	0.054
k	k	0.717
k	-	0.252
kʰ	k	0.806
kʰ	f	0.194
kː	k	0.633
kː	ŋ_k	0.367
l	l	0.926
l	-	0.074
lː	l	1.0
l̥	l	1.0
m	m	1.0
mː	f	0.669
mː	m	0.331
n	n	0.891
n	-	0.063
nː	n	0.75
nː	-	0.182
nː	t	0.067
p	p	0.973
pː	p	1.0
r	ɐ	0.346
r	ə	0.244
r	-	0.213
r	r	0.171
rː	ɐ	0.842
rː	ɣ	0.158
r̥	r	1.0
s	z	0.446
s	s	0.35
s	ʃ	0.188
sː	s	0.77
sː	ʃ	0.23
t	t	0.979
tʰ	t	0.964
tː	ç	0.559
tː	x	0.379
tː	t	0.062
u	-	0.606
u	ɪ	0.141
u	n	0.099
u	ˈeː	0.099
u	ə	0.055
v	v	0.539
v	f	0.167
v	-	0.099
v	w	0.091
v	z	0.062
w	ˈɪ	0.91
w	-	0.09
x	v	1.0
ç	h	1.0
ð	t	0.381
ð	d	0.379
ð	-	0.24
ŋ	ŋ	0.723
ŋ	n	0.147
ŋ	-	0.13
ɑ	n	0.6
ɑ	ə	0.264
ɑ	-	0.084
ɑ	ɪ	0.052
ɑː	ɒː	1.0
ɟ	ɣ	0.333
ɟ	j	0.331
ɟ	ɡ	0.219
ɟ	-	0.118
ɟː	ɡ	1.0
ɡ	-	0.567
ɡ	ɣ	0.322
ɡ	j	0.069
ɡː	k	0.518
ɡː	-	0.258
ɡː	ɣ	0.224
ɣ	ç	0.476
ɣ	x	0.215
ɣ	ɣ	0.137
ɣ	-	0.101
ʝː	j	1.0
ʦ	t	1.0
ˈa	ˈa	0.758
ˈa	ˈɒː	0.242
ˈe	ˈɛː	0.28
ˈe	-	0.186
ˈe	ˈɛ	0.186
ˈe	ˈɒː	0.111
ˈe	ˈeː	0.077
ˈe	ˈɪ	0.071
ˈe	ˈʏ	0.052
ˈeː	ˈiː	0.278
ˈeː	ˈøː	0.192
ˈeː	ˈɛ	0.179
ˈeː	ˈɪ	0.179
ˈeː	ˈɛɪ̯	0.154
ˈi	ˈɪ	0.778
ˈi	ˈiː	0.146
ˈiː	ˈiː	0.655
ˈiː	ˈɛɪ̯	0.173
ˈiː	-	0.149
ˈo	v_ˈoː	0.312
ˈo	ˈoː	0.187
ˈo	ˈɔ	0.163
ˈo	ˈuː	0.157
ˈo	ˈœ	0.157
ˈoː	-	0.546
ˈoː	ˈaʊ̯	0.161
ˈoː	r	0.094
ˈoː	ˈɪ	0.065
ˈoː	ˈʊ	0.06
ˈu	ˈʊ	0.317
ˈu	ˈʏ	0.169
ˈu	ˈɔ	0.149
ˈu	ˈœ	0.094
ˈu	v_ˈʊ	0.094
ˈu	ˈuː	0.082
ˈuː	ˈuː	0.491
ˈuː	-	0.476
ˈy	ˈoː	0.314
ˈy	ˈʏ	0.258
ˈy	ˈɪ	0.216
ˈy	ˈyː	0.092
ˈy	w	0.071
ˈyː	ˈaʊ̯	0.267
ˈyː	ˈyː	0.225
ˈyː	ˈɛɪ̯	0.178
ˈyː	ˈiː	0.162
ˈyː	ˈʏ	0.159
ˈøy̯	ˈeo̯	0.516
ˈøy̯	ˈɔʏ̯	0.318
ˈøy̯	ˈøː	0.166
ˈøː	ˈɔʏ̯	0.789
ˈøː	ˈɛ	0.211
ˈɑ	ˈa	0.515
ˈɑ	-	0.141
ˈɑ	ˈɒː	0.124
ˈɑ	ˈaː	0.078
ˈɑ	ˈɔ	0.055
ˈɑu̯	ˈeo̯	0.718
ˈɑu̯	ˈeː	0.201
ˈɑu̯	ˈoː	0.08
ˈɑː	ˈɒː	0.505
ˈɑː	ˈeo̯	0.176
ˈɑː	ˈa	0.1
ˈɑː	-	0.083
ˈɑː	ˈaʊ̯	0.056
ˈɑː	ˈeː	0.054
ˈɒu̯	-	0.877
ˈɒu̯	ˈeo̯	0.123
ˈɔ	ˈɛː	0.477
ˈɔ	ˈeː	0.222
ˈɔ	ˈɛ	0.119
ˈɔ	ˈa	0.075
ˈɔː	ˈaʊ̯	1.0
ˈɛ	ˈa	0.372
ˈɛ	ˈɛ	0.189
ˈɛ	ˈɛɪ̯	0.118
ˈɛ	ˈʏ	0.118
ˈɛ	ˈɛː	0.113
ˈɛi̯	ˈɛɪ̯	0.905
ˈɛi̯	ˈɪ	0.095
ˈɛː	ˈɒː	0.588
ˈɛː	ˈa	0.34
ˈɛː	ˈɛɪ̯	0.072
θ	d	1.0
