Romansch	Lengadocian	probability
ˈɛ_w	ˈɔ_k	1.0
ˈɔː	ˈɔ	1.0
ˈuɔ̯	ˈu	1.0
ˈo	ɥ_ˈɛ	1.0
ˈiə̯	ˈɛ	1.0
ˈi_n	ˈi	1.0
ˈaː	ˈa	1.0
ˈa_w	ˈa	1.0
ˈa_s	ˈa_s	1.0
ˈa_j	ˈe	1.0
ʨ	k	1.0
ʒ_ɡ	b	1.0
ə_d	e_ð	1.0
ŋ	ŋ	1.0
z	-	1.0
u	u	1.0
t	t	1.0
s	s	1.0
r_ˈiː	ɾ_ˈi	1.0
r_t	ʀ_t	1.0
p	p	1.0
o	u	1.0
m_n	nː	1.0
m	m	1.0
l_ə	l_ɔ	1.0
k_w	k	1.0
k	k	1.0
f	f	1.0
d_ˈa	ð	1.0
b	b	1.0
a	-	1.0
n	n	0.93
l	l	0.876
ʧ	s	0.838
ɡ	ɡ	0.836
ˈuː	ˈu	0.822
ˈe	ˈe	0.788
ˈa	ˈa	0.77
ˈu	ˈu	0.762
ɲ	ɲ	0.722
ə_r	ɾ_e	0.7
ˈɛ	ˈɛ	0.664
v	b	0.623
e	e	0.621
ˈi	ˈy	0.613
ˈɔ	ˈa	0.609
ʎ	l	0.603
ˈiː	ˈi	0.578
w	w	0.566
ʦ	ʧ	0.565
ə	ɔ	0.55
d	d	0.535
ˈɛː	ˈɛ	0.527
ʥ	ʤ	0.516
ʥ	-	0.484
ˈɛː	ˈɛ_l	0.473
ʦ	ʦ	0.435
w	-	0.434
ˈeː	ˈe	0.419
r	ʀ	0.418
r	ɾ	0.418
i	e	0.4
i	-	0.4
ʎ	ʎ	0.397
ˈi	ˈi	0.387
e	-	0.379
ʃ	e_s	0.332
ˈeː	-	0.324
ˈiː	ˈy	0.317
v	β	0.316
ˈɔ	ˈɔ	0.311
ə_r	e	0.3
j	ˈe	0.286
ɲ	-	0.278
ˈeː	ˈɛ	0.257
ə	a	0.255
j	j	0.239
ˈa	ˈe	0.23
ˈɛ	-	0.218
ˈe	ˈɛ	0.212
d	ð	0.208
i	y	0.2
ʃ	z	0.199
j	-	0.199
ʃ	j_s	0.195
ə	e	0.195
ˈuː	-	0.178
ʃ	ʤ	0.165
ɡ	-	0.164
r	ɾ_e	0.163
ʧ	-	0.162
d	ʤ	0.134
ˈu	ˈy	0.123
d	-	0.123
j	ɣ	0.121
ˈɛ	j_ˈɛ	0.118
ˈu	-	0.115
j	ˈɛ	0.113
ʃ	s	0.109
ˈiː	-	0.104
l	-	0.101
ˈɔ	ɥ_ˈɔ	0.081
n	-	0.07
v	w	0.061
