Swabian	American English	probability
#>	#>	0.936
#>	n_#>	0.063
<#	<#	1.0
a	-	0.463
a	ɚ	0.232
a	ə	0.141
a	oʊ̯	0.091
a_#>	#>	1.0
b	b	0.675
b	v	0.161
b	f	0.129
b̥	p	0.49
b̥͡f	p	1.0
d	d	0.6
d	θ	0.169
d	ð	0.13
d	t	0.099
d_#>	#>	1.0
e	-	1.0
f	f	0.708
f	p	0.186
f	v	0.101
h	h	1.0
i	ŋ	0.24
j	j	1.0
k	k	1.0
kʰ	kʰ	0.639
kʰ	ʧ	0.272
kʰ	-	0.06
l	ɫ	0.497
l	l	0.436
m	m	0.892
m	-	0.092
n	n	0.801
n	-	0.171
p͡f	d	0.118
s	s	0.577
s	t	0.305
s	ɾ	0.05
t	d	1.0
x	t	0.409
x	f	0.174
x	-	0.122
x	k	0.117
x	ʧ	0.117
x_d	t	0.24
ç	t	0.367
ç	ʧ	0.278
ç	k	0.224
ŋ	ŋ	1.0
ɐ	n	0.24
ə	-	0.49
ɡ	ɡ	0.371
ɡ	-	0.271
ɡ	k	0.185
ɡ	ʤ	0.144
ɡ_#>	#>	1.0
ɡ_l	ɫ	1.0
ɪ	i	0.49
ʁ	ɹ	0.875
ʁ	-	0.084
ʃ	s	0.562
ʃ	ʃ	0.437
ʋ	w	0.834
ʋ	-	0.119
ʋ	ˈɔ	0.05
ʌ	ɚ	0.898
ʌ	-	0.096
ʕ	ɹ	0.616
ʕ	-	0.38
ʕ_#>	#>	1.0
ʦ	tʰ	0.609
ʦ	t	0.391
ˈa	ˈɑ	0.259
ˈa	ˈæ	0.251
ˈa	ˈeɪ̯	0.165
ˈa	ˈʌ	0.076
ˈa	ˈoʊ̯	0.066
ˈa	ˈɔ	0.059
ˈae̯	ˈoʊ̯	0.247
ˈae̯	ˈi	0.215
ˈae̯	ˈɛ	0.187
ˈae̯	ˈaɪ̯	0.16
ˈae̯	ˈaʊ̯	0.089
ˈao̯	ˈaʊ̯	0.607
ˈao̯	ˈaɪ̯	0.219
ˈao̯	ˈi	0.093
ˈao̯	ˈɛ	0.058
ˈaː	ˈæ	0.457
ˈaː	ˈu	0.272
ˈaː	ˈeɪ̯	0.126
ˈaː	ˈɛ	0.085
ˈaː_ɡ	ˈeɪ̯	1.0
ˈe	ˈɪ	0.711
ˈe	ˈɑ	0.163
ˈe	ˈɛ	0.11
ˈeə̯	j	0.298
ˈeə̯	ˈɛ	0.259
ˈeə̯	ˈi	0.082
ˈeː	ˈi	0.409
ˈeː	ˈɪ	0.224
ˈeː	ˈoʊ̯	0.195
ˈeː	ˈeɪ̯	0.148
ˈi	ˈɪ	0.393
ˈi	ˈi	0.188
ˈi	ˈaɪ̯	0.147
ˈi	ˈɔ	0.097
ˈi	ˈɛ	0.074
ˈiə̯	ˈi	0.903
ˈiə̯	ˈaɪ̯	0.065
ˈiː	ˈi	0.776
ˈiː	ˈɛ	0.171
ˈo	ˈʌ	0.374
ˈo	ˈʊ	0.206
ˈo	ˈoʊ̯	0.085
ˈo	ˈu	0.085
ˈo	ˈɝ	0.085
ˈo	-	0.069
ˈo	ˈɑ	0.052
ˈoː	ˈɛ	0.278
ˈoː	ˈi	0.242
ˈoː	ˈʌ	0.242
ˈoː	ˈaʊ̯	0.1
ˈoː	ˈeɪ̯	0.1
ˈu	ˈɪ	0.418
ˈu	ˈɑ	0.209
ˈu	ˈʌ	0.209
ˈu	ˈɛ	0.135
ˈuə̯	ˈʊ	0.525
ˈuə̯	ˈʌ	0.389
ˈuə̯	ˈaʊ̯	0.06
ˈuː	ˈaʊ̯	0.24
ˈuː	ˈu	0.118
ˈɔ	ˈɔ	0.392
ˈɔ	ˈɑ	0.208
ˈɔ	ˈaɪ̯	0.167
ˈɔ	ˈɛ	0.062
ˈɔe̯	ˈoʊ̯	0.509
ˈɔe̯	ˈɛ	0.224
ˈɔe̯	ˈu	0.129
ˈɔe̯	ˈɑ	0.129
ˈɔə̯	ˈu	1.0
ˈɔː	ˈi	0.483
ˈɔː	ɚ	0.152
ˈɔː	ˈeɪ̯	0.152
ˈɔː	ˈæ	0.152
ˈɔː	ˈoʊ̯	0.054
ˈəi̯	ˈaɪ̯	0.666
ˈəi̯	ˈɪ	0.161
ˈəi̯	ˈu	0.079
ˈəi̯	ˈi	0.077
ˈɛ	ˈɛ	0.359
ˈɛ	ˈɑ	0.151
ˈɛ	ˈaɪ̯	0.132
ˈɛ	ˈi	0.087
ˈɛ	ˈɪ	0.087
ˈɛ	-	0.066
ˈɛ	ˈɝ	0.066
ˈɛː	ˈɛ	0.384
ˈɛː	ˈɪ	0.291
ˈɛː	ˈeɪ̯	0.106
ˈɛː	ˈi	0.1
ˈɪ	ˈɪ	0.875
ˈɪ	ˈaɪ̯	0.091
ˈʌ	ˈæ	0.209
ˈʌ	ˈɝ	0.209
