Standard German	Standard German	probability
ˈʊ_ɐ	ˈɜː	1.0
ˈɪ_ç	ˈaɪ̯	1.0
ˈɪ_n	ˈɪ_n	1.0
ˈɛː	-	1.0
ˈɔ_ɐ	ˈɔː	1.0
ˈɔ_m	ˈɐ_m	1.0
ˈœ	-	1.0
ˈøː	-	1.0
ˈiː_ɡ_n_#>	ˈaɪ̯_#>	1.0
ˈiː_ɐ	ˈiː	1.0
ˈaː_ɡ	ˈeɪ̯	1.0
ˈaɪ̯_n	ˈaɪ̯_n	1.0
ˈa_ɐ	ˈɑː	1.0
ˈa_x	ˈaɪ̯	1.0
ˈa_l	ˈɑː	1.0
ʦ_#>	t_#>	1.0
ʃ_v	s	1.0
ʃ_#>	ʃ_#>	1.0
ʁ_ˈaɪ̯	ɜː	1.0
ɪ	ɪ	1.0
ɡ̊_#>	#>	1.0
ə	-	1.0
ŋ	ŋ	1.0
ç_#>	#>	1.0
ç	k	1.0
z̥_#>	s_#>	1.0
x_t	t	1.0
x	k	1.0
v_ˈa	w	1.0
v	w	1.0
tʰ	d	1.0
t_n	d	1.0
s_t	s_t	1.0
s	t	1.0
p͡f	pʰ	1.0
m	m	1.0
l_#>	ɫ_#>	1.0
kʰ_n	n	1.0
kʰ	kʰ	1.0
k_ə	ʤ	1.0
k_s	k_s	1.0
j	j	1.0
h	h	1.0
f_n	p	1.0
eː	ˈiː	1.0
b̥_#>	f_#>	1.0
b_n	v	1.0
a	θ	1.0
<#_n	<#_n	1.0
#>	f_#>	1.0
ʁ	ɹ	0.929
z	s	0.913
b	b	0.84
l	l	0.725
ˈɪ	ˈɪ	0.722
f	f	0.722
ˈʏ	ˈɪ	0.714
k	k	0.714
d̥	d	0.714
ˈʊ	ˈɐ	0.692
ʦ	tʰ	0.692
ɐ	ə	0.692
ɡ	ɡ	0.688
ˈɛ	ˈe	0.615
ˈɔʏ̯	-	0.571
ˈyː	ˈiː	0.571
d	θ	0.565
ʃ	s	0.524
t	d	0.516
ˈɛ_ɐ	ˈɔː	0.5
ˈɛ_ɐ	ˈɑː	0.5
ʃ	ʃ	0.476
n	n	0.455
ˈɔʏ̯	ˈaɪ̯	0.429
ˈyː	-	0.429
n	-	0.429
ˈɔ	-	0.417
ˈiː	ˈiː	0.417
ˈaʊ̯	ˈaʊ̯	0.4
t	t	0.387
ˈoː	-	0.385
ˈaɪ̯	ˈəʊ̯	0.375
ˈaɪ̯	ˈaɪ̯	0.375
ˈa	ˈæ	0.36
ˈiː	ˈɪ	0.333
ˈʊ	-	0.308
ˈoː	ˈɐ	0.308
ˈoː	ˈe	0.308
ʦ	t	0.308
ˈʏ	-	0.286
k	-	0.286
d̥	θ	0.286
l	ɫ	0.275
d	d	0.261
ˈɔ	ˈʊ	0.25
ˈiː	-	0.25
ˈaː	ˈɑː	0.25
ˈaː	ˈiː	0.25
ˈaʊ̯	ˈiː	0.25
ˈɛ	-	0.231
ˈuː	ˈʊ	0.231
ˈuː	ˈuː	0.231
ˈuː	ˈaʊ̯	0.231
ˈeː	ˈɪ	0.231
ˈeː	ˈəʊ̯	0.231
ˈeː	-	0.231
ˈaʊ̯	ˈɐ	0.2
ˈa	ˈeɪ̯	0.2
f	p	0.194
ˈaː	ˈeɪ̯	0.188
ˈaː	-	0.188
ɡ	-	0.188
d	ð	0.174
ˈɪ	ˈaɪ̯	0.167
ˈɔ	ˈɔː	0.167
ˈɔ	ˈɒ	0.167
b	v	0.16
ˈɛ	ˈɪ	0.154
ˈuː	ˈɐ	0.154
ˈuː	ˈiː	0.154
ˈeː	ˈiː	0.154
ˈeː	ˈe	0.154
ˈaʊ̯	-	0.15
ɐ	ˈɔː	0.128
ˈaː	ˈɛ	0.125
ˈaɪ̯	ˈiː	0.125
ˈaɪ̯	ˈe	0.125
ɡ	j	0.125
ˈa	ˈɒ	0.12
ˈɪ	-	0.111
t	ð	0.097
z	-	0.087
f	v	0.083
ˈa	ˈəʊ̯	0.08
ˈa	ˈɔː	0.08
ˈa	ˈɑː	0.08
ˈa	-	0.08
ɐ	ˈɪ_ə	0.077
ʁ	-	0.071
ɐ	ˈɜː	0.051
ɐ	-	0.051
