Spanish	Spanish	probability
θ_#>	#>	1.0
β_l	bː_j	1.0
ˈo_ð	ˈu_tː	1.0
ˈo_t	ˈɔ	1.0
ˈo_s	lː	1.0
ˈi_ɾ	e	1.0
ˈe_ɾ	e	1.0
ˈe_s	sː	1.0
ˈe_r	rː	1.0
ˈa_ɾ_#>	ˈa_#>	1.0
ˈa_ɣ	ˈa_ɡ	1.0
ˈa_t	ˈa_tː	1.0
ʧ	tː	1.0
ɾ_β	r_b	1.0
ɾ_ˈe	r_ˈɛ	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_n	r_n	1.0
ɾ_e	e	1.0
ɾ_a	r_a	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ð_#>	#>	1.0
w	w	1.0
u	-	1.0
t_e	t_e	1.0
s_ˈe	s_ˈɛ	1.0
s_#>	#>	1.0
p_ˈe	p_ˈɛ	1.0
p	p	1.0
o_ɾ	ˈɔ_r	1.0
o_s_#>	i_#>	1.0
o_s	j	1.0
n	n	1.0
m_b	m	1.0
l_ˈe	l	1.0
l_o	l_u	1.0
l_#>	l_e_#>	1.0
e_ɾ	b	1.0
e_s	ʃ	1.0
e_n	ˈɛ_n	1.0
d	d	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈe	<#_ˈɛ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɟ͡ʝ	<#	1.0
<#_x	<#_ɟ	1.0
<#_w	<#_ˈɔ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
<#	<#_f	1.0
ˈa	ˈa	0.939
a	a	0.932
t	t	0.92
k	k	0.915
ð	t	0.895
o	u	0.87
s	s	0.865
m	m	0.853
ɾ	r	0.848
ʝ	lː	0.833
l	l	0.812
w_ˈe	ˈɔ	0.808
f	f	0.8
ˈu	ˈu	0.783
#>	e_#>	0.771
ɣ	k	0.714
ˈi	ˈi	0.697
θ	ʧ	0.643
i	i	0.625
ɾ_#>	e_#>	0.6
b	v	0.594
ɲ	ɲ	0.583
j_ˈe	ˈɛ	0.529
ˈo	ˈɔ	0.5
j_ˈe	ˈe	0.471
β	v	0.44
ˈe	ˈɛ	0.424
b	b	0.406
ɾ_#>	#>	0.4
e	e	0.391
ˈo	ˈo	0.382
i	-	0.375
β	p	0.36
j	j	0.357
x	ʎ	0.353
ˈe	ˈe	0.333
x	c	0.294
θ	-	0.286
ɲ	nː	0.25
ɟ͡ʝ	ɟ	0.25
ɟ͡ʝ	p_j	0.25
ɟ͡ʝ	j	0.25
ɟ͡ʝ	c	0.25
x	-	0.235
j	ˈɛ	0.214
j	ˈi	0.214
j	-	0.214
f	fː	0.2
w_ˈe	ˈo	0.192
ˈe	-	0.182
e	-	0.174
ʝ	-	0.167
ɲ	-	0.167
ˈi	ˈɛ	0.152
e	u	0.152
e	i	0.152
ɣ	ɡ	0.143
ɣ	kː	0.143
#>	u_#>	0.143
ˈu	ˈɔ	0.13
β	b	0.12
x	sː	0.118
ɾ	-	0.109
ð	d	0.105
ˈi	-	0.091
ˈu	-	0.087
e	a	0.087
#>	a_#>	0.086
k	kː	0.085
s	z	0.081
β	p_e	0.08
t	tː	0.08
θ	ʧː	0.071
l	lː_e	0.062
l	d	0.062
l	-	0.062
ˈi	e	0.061
ˈe	e	0.061
ˈa	-	0.061
o	-	0.06
ˈo	ˈu	0.059
ˈo	u	0.059
m	ˈɛ	0.059
m	-	0.059
s	-	0.054
