West Frisian	West Frisian	probability
ˈɪ_r	r	1.0
ˈɛː	-	1.0
ˈɛ_t	ˈa_t	1.0
ˈɛ_j	ˈiː_s	1.0
ˈɔu̯	-	1.0
ˈøə̯	ˈi_j	1.0
ˈø	-	1.0
ˈyː	-	1.0
ˈuə̯	ˈoː	1.0
ˈu	ˈu	1.0
ˈeː	-	1.0
ˈa	ˈa	1.0
ʦ	-	1.0
ɣ	-	1.0
ɡ	ɡ	1.0
ɕ	s	1.0
ŋ	ŋ	1.0
z	-	1.0
v_ə	i	1.0
t_#>	#>	1.0
t	t	1.0
r_#>	#>	1.0
p	p	1.0
m	m	1.0
k	k	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
l	l	0.88
ʋ	w	0.867
s	s	0.818
r	r	0.786
d	d	0.786
ˈiː	ˈi	0.667
ˈiə̯	ˈɛː	0.667
v	w	0.667
j	-	0.667
<#_t	<#_t	0.667
#>	s_#>	0.662
n	n	0.649
ˈuː	ˈu	0.6
ˈaː	ˈa	0.6
<#	<#_h	0.6
ˈɪ	ˈi	0.579
d̥	θ	0.571
ˈɔː	ˈa_l	0.5
ˈɔː	ˈa	0.5
ˈi	ˈiː	0.5
ˈi	ˈi	0.5
ə	a	0.481
χ	h	0.444
ˈɛi̯	-	0.429
ˈɔ	-	0.429
d̥	s	0.429
ˈɪ	-	0.421
ˈɪə̯	ˈɔː	0.4
ˈuː	ˈuː	0.4
ˈaː	-	0.4
<#	<#_θ	0.4
ˈoə̯	ˈɔ_r	0.375
ˈoə̯	-	0.375
ˈɔ	ˈu	0.357
χ	s	0.333
ˈɪə̯	ˈa	0.333
ˈiː	ˈiu̯	0.333
ˈiə̯	ˈeː	0.333
v	-	0.333
<#_t	<#_θ	0.333
ˈɛi̯	ˈɛː	0.286
ˈɛi̯	ˈi	0.286
ˈɛ	ˈɛ	0.25
ˈɛ	ˈi	0.25
ˈɛ	ˈa	0.25
ˈɛ	-	0.25
ˈoə̯	ˈeː	0.25
#>	n_#>	0.247
χ	h_s	0.222
ˈɔ	ˈi	0.214
r	s	0.214
d	ð	0.214
j	ˈiu̯	0.2
s	-	0.182
n	n_d	0.162
ə	oː	0.154
ə	-	0.154
ˈɪə̯	θ	0.133
ˈɪə̯	-	0.133
ʋ	ʍ	0.133
j	j	0.133
l	lː	0.12
n	nː	0.108
n	n_s	0.081
#>	a_#>	0.065
ə	n	0.058
ə	j_a	0.058
