Pennsylvania German	Pennsylvania German	probability
ˈɪ_ʋ	v	1.0
ˈɪ_n	ˈaɪ̯	1.0
ˈɔː_d̥	ˈæ_θ	1.0
ˈɔɪ̯	ˈɛ_ɡ	1.0
ˈaɪ̯_#>	ˈi_#>	1.0
ˈa_x	ˈʌɪ̯	1.0
ˈa_l	ˈæ	1.0
ʦ_#>	ʔ_#>	1.0
ʦ	tʰ	1.0
ʋ_ə	v	1.0
ɪ_ç	i	1.0
ɪ	-	1.0
ɣ_l	ɫ	1.0
ɣ	-	1.0
ɡ̊_#>	#>	1.0
ɑ_#>	#>	1.0
ŋ	ŋ	1.0
s_ə	ʔ	1.0
p	-	1.0
m_ˈoː	m	1.0
m	m	1.0
k_ə	k	1.0
h	h	1.0
f_ə	p	1.0
d_ə	d	1.0
b̥_#>	f_#>	1.0
b	b	1.0
<#_ˈɛ	<#	1.0
#>	f_#>	1.0
ʋ	w	0.897
ɾ	ɹ	0.893
ə	-	0.879
d̥	d	0.862
ɡ	ɡ	0.857
n	n	0.826
ˈʊ	ˈʌ	0.778
ˈɪ	ˈɪ	0.769
f	f	0.727
ɑ	ɚ	0.722
ˈiː	ˈi	0.667
s	s	0.628
ˈaʊ̯	ˈaʊ̯	0.615
ʃ	s	0.613
t	t	0.6
ˈɛ	ˈɛ	0.562
ç	-	0.556
ˈaɪ̯	ˈaɪ̯	0.529
ˈaː	ˈɔ	0.5
ˈaː	-	0.5
x	k	0.5
x	-	0.5
l	ɫ	0.5
j	j	0.5
j	-	0.5
d	d	0.472
k	kʰ	0.471
l	l	0.457
ˈoː	ˈi	0.455
ç	k	0.444
ˈɛː	-	0.429
ˈɔ	-	0.4
t	ʔ	0.4
ʃ	ʃ	0.387
ˈeː	ˈoʊ̯	0.385
ˈaʊ̯	-	0.385
ˈoː	ˈɛ	0.364
ˈɔː	ˈi	0.333
ˈɔː	ˈeɪ̯	0.333
ˈiː	-	0.333
d	θ	0.306
ˈɔ	ˈʊ	0.3
ˈɔ	ˈɑ	0.3
ˈaɪ̯	ˈʌɪ̯	0.294
k	k	0.294
ˈɛː	ˈɛ	0.286
ˈɛː	ˈɑ	0.286
ɑ	ɹ	0.278
s	ʔ	0.256
ˈɛ	ˈɪ	0.25
ˈuː	ˈʊ	0.25
ˈuː	ˈaʊ̯	0.25
k	ʤ	0.235
ˈeː	ˈi	0.231
ˈʊ	-	0.222
ˈa	ˈeɪ̯	0.214
ˈeː	ˈɛ	0.192
ˈɛ	-	0.188
ˈoː	-	0.182
f	p	0.182
ˈa	ˈɛə̯	0.179
ˈa	ˈɑ	0.179
ˈaɪ̯	-	0.176
ˈɔː	ˈɛ	0.167
ˈɔː	-	0.167
ˈuː	ˈʌ	0.167
ˈuː	ˈu	0.167
ˈuː	ˈi	0.167
d	ð	0.167
ˈɪ	ˈaɪ̯	0.154
ˈa	ˈæ	0.143
ˈa	-	0.143
ɡ	j	0.143
d̥	θ	0.138
ˈeː	-	0.115
ɾ	-	0.107
ʋ	-	0.103
f	v	0.091
n	n_d	0.087
n	-	0.087
ˈɪ	-	0.077
ˈeː	ˈoʊ̯_n	0.077
ˈa	ˈɔ	0.071
ˈa	ˈoʊ̯	0.071
s	-	0.07
ə	ə_n	0.061
ə	d	0.061
d	t	0.056
