Saterland Frisian	Proto-Germanic	probability
#>	#>	0.961
<#	<#	0.992
a	ɑ̃	0.5
a	ˈeu̯	0.5
b	b	0.918
d	d	0.421
d	θ	0.215
d	ð_ɑ̃	0.13
d	ð_ɑ	0.079
d	ð	0.067
d_ə	r	1.0
f	ɸ	0.933
f	β	0.063
h	x	0.987
j	j	0.41
j	ˈe	0.238
j	-	0.132
j	ɣ	0.121
j	ˈi	0.051
j_ˈoː	ˈeu̯	0.843
j_ˈoː	ˈe	0.103
j_ˈʊ	ˈe	1.0
k	k	0.783
k	k_i	0.124
l	l	0.737
l	l_ɑ	0.106
m	m	0.585
m	m_ɑ	0.237
m	m_i	0.087
m	n	0.05
n	n	0.726
n	n_ɑ	0.081
n	nː	0.077
p	p	0.811
p	pː	0.114
p	ɸ	0.051
r	r	0.783
r	r_ɑ̃	0.065
r	r_ɑ	0.055
s	s	0.883
t	t	0.735
t	θ	0.146
v	w	0.833
v	xʷ	0.081
v	β	0.069
w	β	0.425
w	m	0.241
w	w	0.136
x	z	0.411
x	x	0.371
x	ɣ	0.072
x	ɸ	0.063
z	s	1.0
ŋ	ŋ_ɡ	0.407
ŋ	ŋ	0.384
ŋ	n	0.125
ŋ	ɡʷ	0.062
ə	ɑ_n	0.329
ə	-	0.141
ə	ɔː	0.105
ə	ɔːː	0.099
ə	ɑ	0.084
ə	u	0.082
ə	ɔ̃ː	0.056
ɡ	ɣ	1.0
ɣ	ɣ	0.809
ɣ	-	0.072
ɣ	β	0.052
ɪ	i	0.558
ɪ	ɣ_ɑ	0.437
ɫ	lː	0.493
ˈa	ˈɑ	0.871
ˈa	ˈɔː	0.052
ˈaː	ˈɑ	0.416
ˈaː	ˈɑi̯	0.354
ˈaː	ˈe	0.203
ˈaːi̯	ˈe	0.608
ˈaːi̯	ˈɑ_ɣ	0.17
ˈaːu̯	ˈɑu̯	0.374
ˈaːu̯	w	0.184
ˈeː	ˈɑi̯	0.393
ˈeː	ˈɑu̯	0.204
ˈeː	ˈɑi̯_w	0.164
ˈeː	ˈɑ	0.121
ˈeː	ˈe	0.08
ˈeːu̯	ˈe	1.0
ˈi	ˈiː	0.368
ˈi	ˈe	0.314
ˈi	ˈi	0.172
ˈi	-	0.099
ˈiː	ˈi	0.374
ˈiː	ˈiː	0.184
ˈiː	ˈɛː	0.156
ˈiː	ˈe	0.136
ˈiː	ˈɑ	0.078
ˈiː	ˈeu̯	0.064
ˈiːu̯	ˈi	0.243
ˈoː	ˈɑu̯	0.544
ˈoː	ˈɑ	0.226
ˈoː	ˈɑ_x	0.063
ˈoː	ˈɑi̯	0.063
ˈoːu̯	ˈu	0.325
ˈoːu̯	ˈɔː	0.273
ˈoːu̯	ˈɑ	0.25
ˈoːu̯	ˈu_r	0.092
ˈoːu̯	ˈɛː	0.052
ˈu	ˈuː	0.594
ˈu	ˈiu̯	0.126
ˈu	ˈu	0.077
ˈuː	ˈuː	0.406
ˈuː	ˈu	0.285
ˈuː	ˈɔː	0.168
ˈuː	w	0.066
ˈyː	j	0.574
ˈyː	ˈiu̯	0.283
ˈœː	ˈu	1.0
ˈɔ	ˈu	0.634
ˈɔ	ˈɑ	0.361
ˈɔː	ˈɑ	0.741
ˈɔː	ˈe	0.15
ˈɔː	ˈu	0.099
ˈɔːɪ̯	jː	0.243
ˈɛ	ˈɑ	0.381
ˈɛ	ˈɑi̯	0.219
ˈɛ	ˈe	0.163
ˈɛ	ˈɛː	0.142
ˈɛɪ̯	ˈɛː	0.206
ˈɛɪ̯	ˈɔː	0.183
ˈɛɪ̯	j	0.109
ˈɛɪ̯	ˈe_r	0.109
ˈɛɪ̯	ˈuː	0.072
ˈɛɪ̯	ˈɔ	0.059
ˈɛɪ̯	ˈɑ	0.058
ˈɛɪ̯	ˈeu̯	0.056
ˈɛɪ̯	ˈe	0.052
ˈɛː	ˈɑ	0.485
ˈɛː	ˈu	0.422
ˈɛː	-	0.076
ˈɪ	ˈi	0.869
ˈɪ	ˈĩː	0.074
ˈɪ	ɑi̯	0.058
ˈʊ	ˈu	0.705
ˈʊ	ˈeu̯	0.186
ˈʊ	ŋ	0.057
ˈʊ	ˈe	0.057
