Standard Croatian	Czech	probability
̌	-	1.0
̂	-	1.0
ʨ	ʦ	1.0
ʧ	ʧ	1.0
ʦ_j	ʦ	1.0
ʒ	ʒ	1.0
ʋ_e	v_ɛ	1.0
ʋ	v	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɡ̊	k	1.0
ɡ	ɦ	1.0
x	x	1.0
t_i	t	1.0
t_a	t_a	1.0
s_a	s	1.0
s	s	1.0
r_j	r̝	1.0
p	p	1.0
o_̂	uː	1.0
m_eː	m_ɛ	1.0
m	m	1.0
l_j	l	1.0
l_aː	l_a	1.0
j_eː	iː	1.0
j_e	iː	1.0
iː_̂	ɪ	1.0
i_̂	iː	1.0
i	ɪ	1.0
eː_̂	a	1.0
d̥	d̥	1.0
d_e	d_ɛ	1.0
aː_̂	aː	1.0
a_̂	aː	1.0
a_m	m̩	1.0
z	z	0.928
n	n	0.921
l	l	0.915
k	k	0.914
d	d	0.874
t	t	0.866
b	b	0.858
o	o	0.852
eː	ɛ	0.815
e	ɛ	0.768
r	r	0.649
r̩	r̩	0.631
oː	o	0.617
r̩ː	r	0.585
aː	a	0.565
ʦ	-	0.553
a	a	0.549
ʎ	-	0.504
j	j	0.5
a_r	r̩	0.5
a_r	r_iː	0.5
ʎ	l	0.496
ʦ	ʦ	0.447
aː	-	0.435
r̩ː	r̩	0.415
u	l̩	0.398
oː	uː	0.383
r̩	r̝	0.369
uː	u	0.347
u	ou̯	0.332
a	ɛ	0.312
j	ɛː	0.3
u	v	0.27
uː	ou̯	0.248
uː	-	0.233
e	-	0.232
r	r̝	0.212
j	-	0.2
uː	l_u	0.171
b	b̥	0.142
r	r̝̊	0.139
t	c	0.134
d	ɟ	0.126
eː	-	0.106
k	-	0.086
l	d_l	0.085
o	l	0.081
n	-	0.079
z	-	0.072
a	-	0.071
o	ɛ	0.068
a	o	0.068
eː	j_ɛ	0.051
