Sicilian	Piedmontese	probability
b	b	1.0
c	-	1.0
d	d	1.0
f	f	1.0
kː	k	1.0
l	l	1.0
m	m	1.0
o	u	1.0
s	s	1.0
tː	j_t	1.0
u	u	1.0
ç	f_j	1.0
ŋ	ŋ	1.0
ɖː	l	1.0
ɟː	j	1.0
ɡ	ɡ	1.0
ɲː	ɲ	1.0
ʃ	s	1.0
ʃː	s	1.0
ʐ	r	1.0
ʐː	r	1.0
ʤ	ʤ	1.0
ʤː	ʤ	1.0
ʦ	s	1.0
ʧː	s	1.0
ˈo	ˈu	1.0
j	-	0.301
k	-	0.271
p	p	0.741
w	w	0.661
ɪ	-	0.461
ʊ	-	0.671
ˈu	ˈy	0.381
ˈɛ	ˈɛ	0.811
t	t	0.802
z	z	0.512
ɕ	s	0.422
ˈa	-	0.052
a	-	0.063
nː	ə	0.363
r	r	0.863
t	-	0.073
ˈe	ˈɛ	0.83
ˈi	ˈə	0.063
ˈi	ˈi	0.623
j	j	0.294
ɪ	e	0.504
ˈu	ˈu	0.534
ˈɔ	ˈɔ	0.564
i	i	0.305
i	e	0.315
n	n	0.475
t	d	0.125
j	ʤ	0.406
n	ŋ	0.437
nː	ŋ	0.637
r	-	0.137
ɾ	r	0.647
ˈe	ˈe	0.17
ˈi	ˈe	0.107
ˈu	ˈi	0.057
ˈɔ	ˈu	0.057
a	a	0.918
i	-	0.38
n	-	0.088
v	v	0.978
z	s	0.488
ɾ	-	0.338
ˈi	ˈɛ	0.168
k	k	0.729
p	v	0.259
w	-	0.339
ɕ	z	0.539
ʊ	a	0.329
ˈa	ˈa	0.919
ˈɔ	ˈø	0.379
ˈɛ	ˈe	0.189
