Belarusian	Štokavian	probability
b	b	1.0
bʲ	b	1.0
d	d	1.0
j	j	1.0
k	k	1.0
m	m	1.0
n	n	1.0
pʲ	p	1.0
s	s	1.0
sʲ	s	1.0
v	ʋ	1.0
xʲ	x	1.0
z	z	1.0
zʲ	z	1.0
ɣ	ɡ	1.0
ɨ	iː	1.0
ʂ	ʒ	1.0
ʐ	ʒ	1.0
ʣʲ	d	1.0
ʦ	ʦ	1.0
ˈa	a	1.0
ˈu	ûː	1.0
ˈɛ	êː	1.0
a	e	0.061
p	p	0.791
ˈo	â	0.121
r	o_#>	0.172
r	r	0.772
ɫ	-	0.172
ˈi	î	0.32
ˈo	û	0.052
x	x	0.503
ˈe	j_êː	0.413
ˈæ	e	0.373
mʲ	m_j	0.294
nʲ	ɲ	0.114
ʦʲ	t_i	0.254
ʧ	ʧ	0.584
ˈe	j_ê	0.054
ˈe	e	0.164
ˈɨ	îː	0.464
a	ě	0.055
e	a	0.235
e	e	0.765
lʲ	ʎ	0.215
lʲ	l	0.785
t	d	0.115
t	t	0.885
w	ʋ	0.405
w	-	0.595
æ	j_ěː	0.185
ˈo	ôː	0.285
a	ǒ	0.186
mʲ	m	0.706
nʲ	n	0.886
æ	eː	0.256
æ	ě	0.56
ʦʲ	t	0.746
ʧ	ʨ	0.416
ˈo	âː	0.066
ˈo	ô	0.246
ˈɨ	î	0.116
a	o	0.307
x	ɡ	0.497
ˈo	ê	0.067
ˈo	-	0.07
ˈæ	êː	0.627
a	-	0.08
ɫ	l	0.828
ˈi	i	0.68
a	a	0.199
p	b	0.209
vʲ	ʋ	0.969
ˈe	ê	0.369
ˈo	a	0.089
ˈɨ	i	0.419
