Romanian	Ladin	probability
#>	#>	0.959
<#	<#	0.99
<#_j	<#	1.0
<#_ɨ	<#	1.0
a	a	0.544
a	-	0.316
a	e	0.095
b	b	0.657
b	ɡ	0.194
b	-	0.143
d	d	0.624
d	-	0.182
d	t	0.158
e	-	0.63
e	e	0.181
e	a	0.072
e_r	e	1.0
e̯ˈa	j	0.609
e̯ˈa	ˈa	0.26
e̯ˈa	ˈe	0.113
f	f	1.0
i	e	0.391
i	a	0.267
i	-	0.153
i	ˈɛ	0.082
i	j	0.08
j	-	0.43
j	j	0.38
j	l	0.078
k	k	0.468
k	ʨ	0.336
k	-	0.055
kʲ	d_l	1.0
l	l	0.823
l	w	0.099
l	-	0.073
m	m	0.768
m	ɲ	0.127
m	-	0.051
m	ŋ	0.051
m_e	m	1.0
n	n	0.772
n	-	0.102
n	ɲ	0.057
n	ŋ	0.052
n_#>	#>	1.0
n_e	n	1.0
nʲ	i	0.514
o	o	0.288
o	e	0.251
o	-	0.056
o̯ˈa	ˈɔ	0.31
o̯ˈa	w_ˈɛ	0.16
o̯ˈa	w	0.125
o̯ˈa	ˈe	0.106
o̯ˈa	ˈo_w	0.106
o̯ˈa	ˈa	0.082
o̯ˈa	ˈo	0.082
p	p	0.614
p	-	0.145
p	v	0.08
p	f	0.078
p_j	p	1.0
p_r	r	0.514
p_t	t	1.0
r	r	0.668
r	l	0.203
r	-	0.089
r_e	r	0.745
r_e	j	0.252
s	s	0.577
s	ʃ	0.303
t	t	0.731
t	d	0.237
t_e	t	1.0
u	o	0.425
u	e	0.148
u	u	0.085
u	w	0.085
u	ˈɔ	0.081
u	j	0.072
u	ˈo	0.07
u_#>	#>	1.0
v	v	0.933
v	-	0.069
w	-	0.2
w	ʧ	0.151
w	ˈɛ	0.128
w_#>	#>	1.0
z	d	0.579
z	ʒ	0.246
z	ʦ	0.115
ŋ	ŋ	0.349
ŋ	n	0.312
ŋ	-	0.132
ə	a	0.76
ə	-	0.126
ə	e	0.077
ɡ	ɡ	0.53
ɡ	k	0.118
ɡ	ʤ	0.118
ɡ	ɡ_l	0.094
ɡ	j	0.071
ɡ	d	0.068
ɨ	a	0.339
ɨ	ˈɛ	0.339
ʃ	s	0.58
ʃ	ʒ	0.333
ʃ	-	0.056
ʃ_t	ʃ	1.0
ʒ	ʒ	0.594
ʒ	-	0.218
ʒ	ʥ	0.082
ʤ	ʒ	0.578
ʤ	-	0.253
ʤ	ʤ	0.093
ʤ	k	0.072
ʦ	ʦ	0.361
ʦ	t	0.141
ʦ	d	0.11
ʦ	ʃ	0.1
ʦ	ʨ	0.1
ʦ	ʧ	0.081
ʦ	ʒ	0.076
ʧ	ʨ	0.361
ʧ	-	0.32
ʧ	ʒ	0.095
ʧ	ʦ	0.077
ʧ	ʧ	0.077
ʧ	k	0.062
ʧ_e	ʃ	0.675
ʧ_e	e	0.179
ʧ_e	j	0.056
ʧʲ	k	0.447
ʧʲ	t	0.061
ˈa	ˈa	0.466
ˈa	ˈɛ	0.41
ˈa	ˈe	0.054
ˈa_r	ˈe	0.974
ˈa_t	ˈɛ	0.517
ˈa_t	ˈe	0.45
ˈe	ˈe	0.488
ˈe	ˈɛ	0.473
ˈi	ˈi	0.477
ˈi	ˈɛ	0.25
ˈi	ˈe	0.1
ˈi	ˈi_v	0.09
ˈi	-	0.057
ˈi_r	ˈi	0.514
ˈo	ˈɔ	0.366
ˈo	w_ˈɛ	0.229
ˈo	ˈo	0.211
ˈo	w	0.068
ˈo	ˈu	0.068
ˈo	-	0.053
ˈu	ˈo	0.325
ˈu	ˈu	0.232
ˈu	ˈɔ	0.232
ˈu	ˈo_w	0.124
ˈu	ˈe	0.078
ˈə	a	0.288
ˈə	ˈe	0.272
ˈə	ˈi	0.122
ˈɨ	ˈa	0.783
ˈɨ	ˈe	0.121
ˈɨ	ˈɛ	0.091
