Macedonian	Bulgarian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʣ	z	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɾ	r	1.0
ɲ	n	1.0
ɫ	ɫ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɟ	d	1.0
ɛ_ɫ	ɛ_ɫ	1.0
z̥	z̥	1.0
z	z	1.0
x	x	1.0
u_m	ɛ_m	1.0
s_ɛ	s_ɛ	1.0
s	s	1.0
r_k	rʲ	1.0
r	r	1.0
o_r	o_r	1.0
o_k	ɐ_k	1.0
m	m	1.0
k	k	1.0
i	i	1.0
d̥	d̥	1.0
d_o	d_ɤ	1.0
d_i	dʲ	1.0
d	d	1.0
c	ʃ	1.0
b̥	b̥	1.0
n	n	0.964
t	t	0.932
b	b	0.928
p	p	0.909
v	v	0.744
u	u	0.742
ɛ	ɛ	0.696
f	f	0.69
l	l	0.619
a	a	0.554
o	ɔ	0.548
j	j	0.543
r̩	r	0.461
j	-	0.457
l	lʲ	0.381
ɔ	ɐ	0.343
ɔ	ɔ	0.333
o	o	0.326
ɔ	-	0.324
f	x	0.31
r̩	r_ɤ	0.3
a	ɐ	0.277
u	ɤ	0.258
r̩	ɐ_r	0.239
ɛ	a	0.208
v	vʲ	0.187
a	ɤ	0.11
p	pʲ	0.091
o	ɤ	0.09
b	bʲ	0.072
v	x	0.069
a	-	0.059
ɛ	j_ɐ	0.053
