Swabian	Proto-Germanic	probability
a	ɑ	0.465
a	j_ɑ	0.286
b	b	0.653
b	β	0.336
b̥͡f	p	0.747
b̥͡f	pː	0.168
b̥͡f	β	0.084
d	d	0.333
d	θ	0.295
d	ð	0.183
d	t	0.168
e	ɔː	0.602
e	lː	0.398
eə̯	e	1.0
f	ɸ	0.711
f	p	0.246
h	x	0.987
i	i	1.0
j	j	1.0
kʰ	k	0.949
l	l	0.951
m	m	0.882
m	-	0.056
n	n	0.791
n	nː	0.063
n	m	0.055
p͡f	p	1.0
s	s	0.69
s	t	0.188
s	z	0.061
t	ð	1.0
x	x	0.756
x	k	0.189
x	ɣ	0.054
ç	k	0.616
ç	x	0.271
ç	kʷ	0.113
ŋ	ŋ	0.947
ŋ	n	0.053
ɡ	ɣ	0.803
ɡ	k	0.081
ɪ	ɑ	1.0
ʁ	r	0.805
ʁ	x_r	0.085
ʁ	-	0.05
ʃ	s	0.958
ʋ	w	0.927
ʋ	xʷ	0.073
ʌ	ɛː	0.18
ʌ	r_ɑ	0.102
ʌ	r_i	0.095
ʌ	e	0.093
ʌ	ɑ	0.091
ʌ	r	0.069
ʌ	r_ɔː	0.069
ʌ	i	0.059
ʕ	r	0.856
ʕ	z	0.128
ʣ	tː	1.0
ʦ	t	1.0
ˈa	ˈɑ	0.913
ˈae̯	ˈɑi̯	0.365
ˈae̯	ˈiː	0.184
ˈae̯	w	0.14
ˈae̯	ˈi	0.132
ˈae̯	ˈɑu̯	0.078
ˈae̯	ˈuː	0.052
ˈao̯	ˈuː	0.688
ˈao̯	ˈɑu̯	0.222
ˈao̯	ɔ̃ː	0.063
ˈaː	ˈɑ	1.0
ˈe	ˈi	0.919
ˈeə̯	ˈe	0.739
ˈeə̯	ˈɔː	0.261
ˈeː	ˈɑu̯	0.282
ˈeː	ˈe	0.25
ˈeː	ˈu	0.182
ˈeː	ˈɑ	0.163
ˈeː	ˈi	0.063
ˈeː	w	0.059
ˈi	ˈi	0.566
ˈi	ˈe	0.269
ˈi	ˈeu̯	0.074
ˈi	ˈu	0.071
ˈiə̯	ˈeu̯	0.727
ˈiə̯	ˈɔː	0.273
ˈiː	ˈeu̯	0.582
ˈiː	ˈi	0.123
ˈiː	ˈɔ	0.123
ˈiː	ˈuː	0.091
ˈiː	ˈe	0.081
ˈo	ˈu	0.862
ˈo	ˈɛː	0.107
ˈoː	ˈɑu̯	0.462
ˈoː	ˈu	0.288
ˈoː	ˈɛː	0.162
ˈoː	ˈe	0.052
ˈu	ˈu	0.848
ˈu	ˈɔː	0.099
ˈu	ˈeu̯	0.053
ˈuə̯	ˈɔː	0.881
ˈuə̯	ˈuː	0.119
ˈuː	ˈɔː	0.659
ˈuː	ˈuː	0.341
ˈɔ	ˈu	0.747
ˈɔ	ˈe	0.133
ˈɔ	ˈɑu̯	0.12
ˈɔe̯	ˈɑi̯	0.934
ˈɔe̯	jː	0.066
ˈɔə̯	ˈɔː	1.0
ˈɔː	ˈɛː	0.545
ˈɔː	ˈɑ	0.237
ˈɔː	nː	0.142
ˈɔː	ˈe	0.076
ˈəi̯	ˈiː	0.612
ˈəi̯	ˈiu̯	0.187
ˈəi̯	ˈĩː	0.114
ˈəi̯	ɑ	0.058
ˈɛ	ˈe	0.364
ˈɛ	ˈɑ	0.343
ˈɛ	ˈi	0.152
ˈɛ	ˈɔː	0.055
ˈɛː	ˈe	0.703
ˈɛː	ˈɑ	0.21
ˈɛː	ˈi	0.087
ˈɪ	ˈi	0.877
ˈɪ	ˈu	0.123
