Swabian	Proto-Germanic	probability
a	n_ɑ̃	0.779
a	ɑ_z	0.093
a	u_z	0.037
a	ɔːː	0.037
a	u	0.035
b	b	0.644
b	β	0.191
b	β_ɑ	0.15
b̥͡f	p	1.0
d	d	0.286
d	θ	0.224
d	t	0.135
d	ð	0.072
d	ð_ɑ̃	0.053
e	ɔː	0.629
e	lː	0.361
f	ɸ	0.776
f	p_ɑ	0.108
f	p_ɑ̃	0.061
f	x	0.035
f	p	0.031
h	x	0.945
h	-	0.055
i	i	0.493
j	j	1.0
k	x	0.243
kʰ	k	0.833
kʰ	x	0.137
l	l	0.895
l	lː	0.048
l	-	0.03
l	w	0.03
m	m	0.668
m	m_ɑ	0.222
m	ɔ̃ː	0.054
m	mː	0.053
n	n	0.886
n	m	0.061
n	nː	0.034
n	-	0.032
p͡f	pː	0.325
p͡f	β	0.325
s	s	0.592
s	ɑ_z	0.118
s	t	0.11
s	s_ɑ̃	0.061
s	t_ɑ	0.046
t	ð_ɑ̃	0.561
t	ð_ɑ	0.425
x	x	0.703
x	k	0.145
x	ɣ	0.145
ç	x	0.437
ç	k_s	0.351
ç	k	0.151
ŋ	ŋ	0.892
ŋ	x	0.107
ɐ	u	1.0
ə	ɔ̃ː	0.493
ɡ	ɣ	0.63
ɡ	ɣ_j	0.103
ɡ	k	0.087
ɡ	ɡ	0.04
ɡ	x	0.04
ɪ	ɑ	1.0
ʁ	r	0.807
ʁ	x_r	0.063
ʁ	s	0.041
ʁ	z_i	0.041
ʁ	-	0.041
ʃ	s	0.625
ʃ	s_k	0.371
ʋ	w	0.876
ʋ	xʷ	0.124
ʌ	ɛː	0.244
ʌ	r_ɔː	0.117
ʌ	u_z	0.117
ʌ	e_r	0.088
ʌ	i_z	0.088
ʕ	r	0.711
ʕ	r_ɑ̃	0.115
ʕ	z	0.071
ʕ	s	0.052
ʕ	ɔː_r	0.051
ʦ	t	1.0
ˈa	ˈɑ	0.974
ˈa	ɑi̯	0.036
ˈae̯	ˈɑi̯	0.163
ˈae̯	j	0.158
ˈae̯	ˈuː	0.158
ˈae̯	ˈe	0.158
ˈae̯	wː	0.112
ˈao̯	ˈuː	0.529
ˈao̯	ˈɑu̯	0.378
ˈao̯	ɔ̃ː	0.069
ˈao̯	ˈu	0.036
ˈaː	ˈɑ	0.707
ˈaː	ˈɑ_n	0.28
ˈe	ˈi	0.579
ˈe	ˈe	0.267
ˈe	ˈɑ	0.124
ˈeə̯	ˈe	0.594
ˈeə̯	ˈɔː	0.392
ˈeː	ˈe	0.297
ˈeː	ˈɑu̯	0.225
ˈeː	w_ɑ	0.105
ˈeː	ˈi	0.105
ˈeː	ɑ_z	0.105
ˈi	ˈi	0.491
ˈi	ˈe	0.277
ˈi	ˈeu̯	0.109
ˈi	ˈu	0.088
ˈiə̯	ˈeu̯	0.596
ˈiə̯	i	0.165
ˈiə̯	ˈɔː	0.107
ˈiː	ˈeu̯	0.517
ˈiː	ˈɔ	0.183
ˈiː	ˈe	0.183
ˈo	ˈu	0.941
ˈo	ˈɛː	0.061
ˈoː	ˈu	0.449
ˈoː	ˈɑu̯	0.35
ˈoː	ˈɛː	0.094
ˈoː	ˈɑi̯	0.094
ˈu	ˈu	0.583
ˈu	ˈɔː	0.171
ˈu	ˈeu̯	0.149
ˈuə̯	ˈɔː	0.857
ˈuə̯	ˈuː	0.122
ˈuː	ˈɔː	0.429
ˈuː	ˈuː	0.104
ˈɔ	ˈu	0.79
ˈɔ	ˈɑu̯	0.159
ˈɔe̯	ˈɑi̯	0.446
ˈɔe̯	ˈɑi̯_n	0.294
ˈɔe̯	ˈɑi̯_t	0.231
ˈɔə̯	ˈɔː	1.0
ˈɔː	ˈɛː	0.447
ˈɔː	ˈɑ	0.251
ˈɔː	ˈe	0.12
ˈɔː	nː	0.117
ˈəi̯	ˈiː	0.573
ˈəi̯	ˈiu̯	0.143
ˈəi̯	ˈɔː	0.097
ˈəi̯	ˈĩː	0.078
ˈəi̯	ˈi	0.074
ˈɛ	ˈe	0.461
ˈɛ	ˈɑ	0.372
ˈɛ	ˈɔː	0.062
ˈɛ	ˈɑi̯	0.054
ˈɛ	ˈi	0.052
ˈɛː	ˈe	0.613
ˈɛː	ˈi	0.209
ˈɛː	ˈɑ	0.142
ˈɪ	ˈi	0.75
ˈɪ	ˈu	0.185
ˈʌ	ˈe	0.493
