Ukrainian	Macedonian	probability
bʲ	b	1.0
m	m	1.0
mʲ	m	1.0
n	n	1.0
nʲ	n	1.0
p	p	1.0
pʲ	p	1.0
rʲ	r	1.0
s	s	1.0
sʲ	s	1.0
tʲ	t	1.0
z	z	1.0
zʲ	ʣ	1.0
ʋʲ	v	1.0
ʍ	ɫ	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʦʲ	ʦ	1.0
ʧ	ʧ	1.0
ˈa	a	1.0
i	-	0.251
lʲ	ɫ	0.41
t	-	0.101
w	f	0.061
ɔ	ˈɛ	0.131
ˈɑ	ɛ	0.181
ˈɔ	ˈɛ	0.061
ˈɔ	o	0.131
k	o_k	0.182
ˈi	ˈa	0.082
ˈɑ	ˈa	0.252
ˈɪ	ˈi	0.342
b	p	0.73
ɫ	ɫ	0.583
ʋ	-	0.293
ˈu	ˈu	0.353
ˈɔ	ˈa	0.173
ˈɛ	ˈɛ	0.763
i	ɛ	0.334
k	-	0.064
k	k	0.754
ɛ	ɛ	0.74
ɦ	ɡ	0.614
ˈi	ˈɛ	0.544
ˈɪ	ɛ	0.074
d	t	0.165
d	d	0.835
j	-	0.985
r	ˈr̩	0.25
r	r	0.75
ɐ	ˈa	0.05
ɐ	ˈɛ	0.215
ɔ	ˈa	0.105
ɔ	o	0.305
ˈi	ɛ	0.15
ˈi	ˈo	0.225
e	-	0.966
i	ˈɛ	0.416
ɐ	a	0.506
ɛ	ˈɛ	0.26
ɦ	k	0.386
ˈɔ	ˈo	0.546
b	b	0.27
ɫ	l	0.417
ʋ	v	0.707
ˈu	ˈa	0.647
ˈɑ	a	0.567
ˈɛ	ɛ	0.237
ˈɪ	-	0.387
ˈɔ	-	0.088
ˈɪ	i	0.198
lʲ	l	0.59
t	t	0.899
w	v	0.939
ɐ	ɛ	0.229
ɔ	ˈo	0.459
