West Flemish	Westphalian	probability
b	b	0.911
b	-	0.089
d	d	0.8
d	-	0.163
f	f	0.931
f	p	0.069
h	ç	0.493
h	x	0.318
h	-	0.188
j	j	1.0
k	k	1.0
l	l	1.0
m	m	0.907
m	n	0.093
n	n	0.852
n	-	0.095
p	p	0.788
p	b	0.212
s	ʃ	0.515
s	s	0.406
s	z	0.068
t	t	0.722
t	d	0.209
t	-	0.069
v	f	0.873
v	v	0.101
w	l	0.531
w	-	0.469
z	s	0.849
z	-	0.072
z	ʃ	0.059
ç	ç	1.0
ŋ	ŋ	1.0
ə	ə	0.694
ə	-	0.263
ɦ	x	0.54
ɦ	ɣ	0.174
ɦ	-	0.149
ɦ	ɡ	0.113
ɾ	ɐ	0.469
ɾ	r	0.392
ɾ	-	0.138
ʃ	ʃ	1.0
ʋ	w	0.869
ʋ	v	0.074
ʋ	-	0.057
ˈeː	ˈɪɛ̯	0.592
ˈeː	ˈɪə̯	0.322
ˈeː	ˈeː	0.086
ˈi	ˈiː	1.0
ˈiə̯	ˈaɪ̯	0.426
ˈiə̯	ˈyː	0.153
ˈiə̯	ˈeː	0.119
ˈiə̯	ˈɪ	0.117
ˈiə̯	ˈiː	0.1
ˈiə̯	ˈø	0.053
ˈoː	ˈaʊ̯	0.383
ˈoː	ˈœː	0.181
ˈoː	ˈɔː	0.18
ˈoː	ˈøː	0.13
ˈu	ˈʊ	0.563
ˈu	ˈɔ_l	0.28
ˈu	ˈaʊ̯	0.068
ˈu	ˈʏ	0.052
ˈuə̯	ˈoː	0.602
ˈuə̯	ˈøː	0.312
ˈuə̯	ˈuə̯	0.065
ˈyː	ˈuː	0.343
ˈyː	ˈiː	0.275
ˈyː	ˈʊ	0.233
ˈyː	ˈyː	0.149
ˈæ	ˈɛ	0.377
ˈæ	ˈɪɛ̯	0.191
ˈæ	ˈa	0.163
ˈæ	ˈɛː	0.163
ˈæ	-	0.106
ˈøː	ˈuːə̯	0.731
ˈøː	ˈuə̯	0.172
ˈøː	ˈɪə̯	0.097
ˈœ	ˈʊ	0.485
ˈœ	ˈʏ	0.243
ˈœ	ˈiː	0.16
ˈœ	ˈɛ	0.112
ˈɑ	ˈa	0.76
ˈɑ	ˈaʊ̯	0.083
ˈɑ	ˈɛ	0.075
ˈɑ	ˈaː	0.061
ˈɒː	ˈɔː	0.516
ˈɒː	ˈa	0.184
ˈɒː	ˈaː	0.137
ˈɒː	ˈœː	0.103
ˈɔ	ˈɔ	0.53
ˈɔ	ˈuːə̯	0.259
ˈɔ	ˈa	0.109
ˈɔ	ˈiɛ̯	0.103
ˈɛ	ˈɪ	0.621
ˈɛ	ˈɛ	0.379
ˈɛː	ˈeː	0.57
ˈɛː	ˈa	0.173
ˈɛː	ˈaɪ̯	0.159
ˈɛː	ˈɛː	0.098
ˈɪ	ˈɪ	0.929
ˈɪ	ˈɛ	0.071
