Brazilian Portuguese	Franco-Provençal	probability
a	a	0.465
a	ˈɔ	0.179
a	ə	0.076
a	ˈeː	0.066
a	ˈø	0.066
b	b	0.458
b	v	0.293
b	-	0.107
b	ð	0.073
d	-	0.513
d	d	0.36
e	e	0.254
e	-	0.204
e	eː	0.183
e	ə	0.096
e	ˈeː	0.092
e	j	0.074
e	ɛ	0.07
e_ɡ	ə	1.0
e_ʃ	e	1.0
ẽ	ˈe	0.263
ẽ	l	0.17
ẽ	o	0.148
ẽ	ɛ̃	0.148
ẽ	j	0.095
f	f	1.0
h	ʁ	0.729
h	ʁ_ə	0.153
h	-	0.103
h_ʧ	ʁ	1.0
i	-	0.689
i	o	0.097
i	ˈɛ	0.052
ĩ	ĩ	0.574
ĩ	i	0.281
j	-	0.505
j	ˈɛ	0.379
j	ˈeː	0.069
j̃	-	0.401
j̃	n	0.353
j̃	ɲ	0.224
j̃_u	ˈɛ̃	0.489
k	k	0.428
k	ʃ	0.367
k	-	0.136
k	t	0.06
l	l	0.902
l	-	0.09
m	m	0.845
m	-	0.079
n	n	0.67
n	-	0.188
n	m	0.092
o	o	0.463
o	ɔ	0.249
o	ˈu	0.17
o	oː	0.085
õ	ɔ̃	1.0
p	p	0.929
p	-	0.057
s	s	0.775
s	-	0.078
s	ʃ	0.063
s_k	k	1.0
t	t	0.768
t	-	0.232
u	-	0.725
u	o	0.132
v	v	0.629
v	-	0.16
v	b	0.122
v_i	f	1.0
w	l	0.419
w	w	0.267
w	-	0.168
w	ˈe	0.078
w	a	0.057
w̃	ˈɔ̃	0.31
w̃	-	0.31
w̃	ˈɛ̃	0.14
w̃	ˈĩ	0.101
w̃	ˈɛː	0.073
z	z	0.57
z	ð	0.257
z	s	0.126
ɐ	a	0.638
ɐ	ə	0.213
ɐ	-	0.057
ɐ	i	0.054
ɐ̃	ĩ	0.239
ɡ	ɡ	0.438
ɡ	-	0.37
ɡ	ð	0.078
ɡ	ʃ	0.064
ɡ_w	ɡ	1.0
ɦ	ʁ	0.874
ɦ	-	0.11
ɾ	ʁ	0.851
ɾ	-	0.091
ʃ	-	0.39
ʃ	ʃ	0.327
ʃ	s	0.12
ʃ	f_l	0.072
ʃ_t	t	1.0
ʎ	ʎ	0.827
ʎ	l	0.107
ʎ	-	0.063
ʒ	ʒ	0.541
ʒ	ð	0.181
ʒ	s	0.088
ʒ	z	0.067
ʤ	-	0.76
ʤ	d	0.178
ʧ	-	0.508
ʧ	t	0.432
ˈa	ˈa	0.363
ˈa	ˈɔ	0.181
ˈa	-	0.158
ˈa	ˈɛ	0.103
ˈa	j_ˈɛ	0.076
ˈa	ˈeː	0.066
ˈa_h	ˈa	0.71
ˈa_h	ˈɛ	0.263
ˈa_w	ˈoː	0.519
ˈa_w	ˈɔ	0.441
ˈe	ˈeː	0.292
ˈe	ˈi	0.232
ˈe	ˈɛ	0.137
ˈe	j	0.105
ˈe	-	0.086
ˈe_h	ə	1.0
ˈẽ	ˈɛ̃	0.302
ˈẽ	ˈɛ	0.237
ˈẽ	ˈi	0.136
ˈẽ	ˈɑ̃	0.136
ˈẽ	ˈo	0.095
ˈẽ	j	0.052
ˈẽ_t	ˈɛ̃	1.0
ˈẽ_ʧ	ˈɛ̃	1.0
ˈi	ˈi	0.468
ˈi	-	0.139
ˈi	ˈɛ	0.121
ˈi	ˈeː	0.074
ˈi	ˈe	0.064
ˈi	ˈɔ	0.064
ˈi	j	0.054
ˈĩ	ˈĩ	0.31
ˈĩ	ˈe	0.286
ˈĩ	ˈɛ̃	0.133
ˈĩ	-	0.122
ˈĩ	ˈi	0.092
ˈo	w	0.273
ˈo	ˈo	0.202
ˈo	ˈoː	0.118
ˈo	ˈø	0.109
ˈo	ˈu	0.103
ˈo	ˈɔ_n	0.081
ˈo	ˈɔ	0.061
ˈo_w	ˈoː	1.0
ˈo_ɡ	w	1.0
ˈõ	ˈɔ̃	0.484
ˈõ	ˈa	0.149
ˈõ	w	0.104
ˈõ	ˈo	0.104
ˈõ	ˈɔ	0.104
ˈu	ˈu	0.261
ˈu	ˈoː	0.222
ˈu	w	0.147
ˈu	-	0.111
ˈu	ˈo	0.084
ˈu	ˈɛ	0.084
ˈũ	w	0.362
ˈũ	ˈɔ̃	0.274
ˈɐ̃	ˈɑ̃	0.381
ˈɐ̃	-	0.241
ˈɐ̃	ˈa	0.221
ˈɐ̃	j	0.067
ˈɐ̃	ˈa_n	0.055
ˈɐ̃_t	ˈɑ̃	1.0
ˈɔ	w	0.255
ˈɔ	ˈoː	0.205
ˈɔ	ˈo	0.164
ˈɔ	ˈø	0.143
ˈɔ	ˈu	0.124
ˈɔ	ˈɑ̃	0.082
ˈɔ_h	ˈoː	0.489
ˈɛ	ˈɛ	0.714
ˈɛ	ˈeː	0.128
ˈɛ	j	0.055
ˈɛ	ˈe	0.055
ˈɛ	ˈi	0.054
