Ladin	Ladin	probability
ˈɛ_k	ˈɔ_k	1.0
ˈɛ_f	ˈɔ_v	1.0
ˈu	ˈu	1.0
ˈo_s	ˈu_j	1.0
ˈe_j	ˈe	1.0
ʨ_a	kː_ə	1.0
ʧ	ʃ	1.0
ʥ	-	1.0
ʤ	ʤː	1.0
ŋ	ŋ	1.0
z	s	1.0
w_ˈɛ	ˈɔ	1.0
w_ʃ	ʧ	1.0
u	a_w	1.0
r_t	ɾ_t	1.0
r_n	ɾ_n	1.0
r_e	t_ɾ	1.0
p_l	k_j	1.0
p	p	1.0
k_#>	k_ə_#>	1.0
j_t	dː	1.0
j_r	ɾ	1.0
j_#>	ˈɛ_#>	1.0
f_l	ʃ	1.0
f_#>	v_ə_#>	1.0
d_l	kː_j	1.0
d_e	ə_ɾ	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#	1.0
#>	ə_#>	0.96
ˈa	ˈa	0.935
n	n	0.911
ˈi	ˈi	0.905
f	f	0.889
ɲ	ɲː	0.833
ˈe_#>	ˈa_#>	0.8
m	m	0.792
w	w	0.75
v	v	0.739
a	ə	0.719
r	ɾ	0.7
s	s	0.69
ʃ	ʃ	0.688
ʨ	k	0.684
e	ə	0.667
k	k	0.652
t	t	0.618
ˈɔ	ˈɔ	0.6
ʦ	ʦː	0.6
ˈo	ˈu	0.588
b	b	0.583
ˈo_w	ˈu	0.571
i	-	0.571
ɡ	ɡ	0.5
ɡ	-	0.5
r_#>	ə_#>	0.5
r_#>	#>	0.5
<#	<#_v	0.5
<#	<#_j	0.5
j	j	0.471
ʒ	ʤ	0.462
d	d	0.455
ˈe	ˈi	0.433
ˈo_w	ˈo	0.429
o	u	0.429
o	-	0.429
i	i	0.429
b	v	0.417
ʦ	ʃ	0.4
ˈɛ	ˈɛ	0.388
ʒ	-	0.385
l	lː	0.364
l	l	0.364
d	t	0.364
t	tː	0.324
ʨ	ʃ	0.316
ˈɔ	w_ˈɔ	0.3
ˈo	ˈo	0.294
ˈɛ	ˈa	0.286
ˈe	ˈe	0.267
k	k_w	0.261
w	ˈɔ	0.25
e	i	0.25
ˈɛ	j_ˈɛ	0.245
a	a	0.219
m	mː	0.208
ˈe_#>	#>	0.2
ʃ	ʃː	0.188
d	ɾ	0.182
j	ʎː	0.176
j	ɾ	0.176
j	-	0.176
r	r	0.175
v	p	0.174
s	-	0.172
ɲ	ɲ	0.167
ʒ	s	0.154
o	o	0.143
ˈe	ˈo	0.133
ʃ	-	0.125
l	j	0.121
ˈo	ˈɔ	0.118
f	p	0.111
s	sː	0.103
ˈɔ	ˈu	0.1
ˈe	ˈa	0.1
ˈi	ˈi_ʎː	0.095
l	ə	0.091
n	nː	0.089
v	-	0.087
k	ɡ	0.087
e	-	0.083
r	-	0.075
ˈe	-	0.067
ˈa	-	0.065
l	-	0.061
t	d_ə	0.059
