Québécois French	Québécois French	probability
ʣ	d	1.0
ʏ	ˈu	1.0
ʊ	ˈo	1.0
ɲ	ɲː	1.0
ɡ	ɡ	1.0
ɛɪ̯	ˈɛ_s	1.0
ɛ_l	l_o	1.0
ɛ_#>	#>	1.0
ɑɔ̯_ʁ	o_r	1.0
ɑ	-	1.0
œ_f	ˈɔ_v	1.0
æɛ̯_n	ˈe_n	1.0
y	ˈu	1.0
w_ɛ	ˈe	1.0
w_ẽɪ̯̃	ˈu_n	1.0
t_#>	t_a_#>	1.0
s_œ	s_e	1.0
p	p	1.0
n	n	1.0
m_#>	#>	1.0
m	m	1.0
l_a	j_ˈa	1.0
j_#>	#>	1.0
i_ʁ	ˈi_r	1.0
e_p	s_p	1.0
e_k	s_k	1.0
d	d	1.0
aœ̯	ˈo	1.0
<#_æɛ̯	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
f	f	0.893
ʒ	ʤ	0.875
ɪ	ˈi	0.857
b	b	0.81
v	v	0.771
k	k	0.75
<#_ʁ	<#_r	0.714
ɑɔ̯	ˈɔ	0.667
w	ˈe	0.636
ʁ	r	0.625
s	s	0.535
æɛ̯	ˈa	0.529
a	a	0.524
ʃ	k	0.5
z	i_ʧ	0.5
z	-	0.5
o	ˈɔ_sː	0.5
o	ˈɔ_s	0.5
ɒ̃ʊ̯̃	ˈo_n	0.467
oʊ̯	ˈɛ_lː	0.462
t	t	0.438
e	ˈa_r	0.423
u	o	0.421
øʏ̯	o	0.4
l	l	0.394
#>	o_#>	0.394
oʊ̯	ˈa_l	0.385
a	ˈa	0.381
u	ˈo	0.368
ɔ	ˈo	0.364
ɔ	o	0.364
#>	e_#>	0.338
ɑɔ̯	ˈɔ_r	0.333
l	j	0.333
ã	ˈɛ_n	0.316
t	tː	0.312
œ	e	0.308
i	ˈi	0.308
ɥ	ˈɔ	0.3
ɥ	ˈu	0.3
øʏ̯	ˈɔ_k	0.3
øʏ̯	ˈɔ	0.3
<#_ʁ	<#	0.286
j	ʎː	0.278
ɔ	w_ˈɔ	0.273
ẽɪ̯̃	ˈa_n	0.273
ʃ	k_a	0.25
ɛ	ˈe	0.25
œ	ˈɔ	0.231
œ	a	0.231
œ	-	0.231
#>	a_#>	0.225
j	-	0.222
ã	ˈa_n	0.211
æɛ̯	ˈɛ	0.206
ɥ	ˈɔ_ʤː	0.2
ɥ	-	0.2
s	ʧ	0.186
ẽɪ̯̃	ˈi_n	0.182
ẽɪ̯̃	n	0.182
ɛ	ˈɛ	0.179
v	p	0.171
k	k_w	0.167
j	ˈɛ	0.167
j	kː_j	0.167
j	j	0.167
ã	n	0.158
oʊ̯	ˈɔ	0.154
i	o	0.154
i	i	0.154
æɛ̯	e	0.147
ɪ	-	0.143
ɛ	r	0.143
ɛ	o	0.143
w	ˈo	0.136
w	-	0.136
ẽɪ̯̃	ɲː_o	0.136
ẽɪ̯̃	ŋ	0.136
ɒ̃ʊ̯̃	ˈɔ_n	0.133
ɒ̃ʊ̯̃	ˈu_ŋ	0.133
ɒ̃ʊ̯̃	ˈo	0.133
ɒ̃ʊ̯̃	o_n	0.133
ʒ	o	0.125
ʃ	kː_a	0.125
ʁ	e_r	0.125
t	s_t	0.125
t	r	0.125
l	lː_a	0.121
s	-	0.116
i	tː_o	0.115
i	r	0.115
e	ˈa	0.115
e	e	0.115
e	-	0.115
ʁ	e	0.114
ɛ	ʧ_e	0.107
ɛ	e	0.107
u	ˈu_tː	0.105
u	ˈo_j	0.105
ã	ˈɛ	0.105
ã	ˈa_ŋ	0.105
ã	ˈa	0.105
b	b_w	0.095
b	-	0.095
a	w_ˈa	0.095
s	ʧː	0.093
w	e_d	0.091
l	lː	0.091
ẽɪ̯̃	ˈa	0.091
ʃ	k_ˈa	0.083
k	-	0.083
i	ˈi_k	0.077
i	-	0.077
e	ˈa_z	0.077
e	ˈa_t	0.077
e	r	0.077
ɛ	-	0.071
f	-	0.071
s	ʦ	0.07
l	j_a	0.061
æɛ̯	ˈe	0.059
æɛ̯	ˈa_d	0.059
v	-	0.057
