Mecklenburgisch-Vorpommersch	Limburgish	probability
ˈœ	-	1.0
ˈeː	ˈi	1.0
ˈae̯_#>	ˈi_#>	1.0
ˈa_l	ˈaː	1.0
ɾ_æ	ʀ	1.0
ɾ	j	1.0
ɣ̊	x	1.0
ɡ	ɣ	1.0
æ_n	ʀ_ə	1.0
z̥	z̥	1.0
z	z	1.0
x	x	1.0
w	β	1.0
v̥	v̥	1.0
t_n	t_ə	1.0
t_#>	#>	1.0
s_t	ʀ_s	1.0
s	s	1.0
r_ˈɔʏ̯	ʀ	1.0
r	ʀ	1.0
p	p	1.0
kʰ_n	k_n	1.0
kʰ	k	1.0
k_n	k_ə	1.0
k	k	1.0
h	ɦ	1.0
f_#>	v̥_#>	1.0
f	v	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
d_n	j_ə	1.0
d	d	1.0
<#_tʰ	<#_t	1.0
t	t	0.933
v	β	0.923
b	b	0.917
l	l	0.833
n	n	0.797
m	m	0.781
ˈɔʏ̯	ˈøː	0.714
ŋ	ŋ	0.688
ç	x	0.667
j	ɣ	0.667
ˈɛː	ˈeː	0.625
ˈiː	ˈiː	0.611
ˈyː	ˈyː	0.6
ˈuː	ˈuː	0.579
ʃ	s	0.571
ˈae̯	ˈɛː	0.522
ˈɔ	ˈɔ	0.5
ˈɔ	-	0.5
ˈɒː	ˈɒː	0.5
ɪ	ɪ	0.5
ɪ	ə	0.5
æ	ə_ʀ	0.5
nː	n_ə	0.5
nː	n_d	0.5
ˈɪ	ˈɪː	0.44
ˈa	ˈɑ	0.435
æ	ʀ	0.433
ˈʊ	ˈʊː	0.429
ˈʏ	ˈœ	0.4
ˈʏ	-	0.4
ˈyː	-	0.4
ˈae̯	ˈeː	0.391
ˈɛː	-	0.375
ˈʊ	ˈɔ	0.357
ˈɛ	ˈeː	0.357
ˈœː	ˈʊː	0.333
ˈœː	ˈøː	0.333
ˈœː	-	0.333
ˈoː	ˈɒː	0.333
ˈoː	ʀ	0.333
ˈoː	-	0.333
ˈaː	ˈæː	0.333
ˈaː	ʀ	0.333
ˈaː	-	0.333
j	j	0.333
ˈa	ˈaː	0.304
ˈɔʏ̯	-	0.286
ʃ	ʃ	0.286
ˈaʊ̯	ˈʊː	0.273
ˈa	ˈɑː	0.261
ˈaʊ̯	ˈu	0.227
ˈɒː	ˈaː	0.222
ˈiː	-	0.222
ˈʊ	-	0.214
ˈɛ	-	0.214
ˈuː	ˈʊː	0.211
ˈuː	ˈɔu̯	0.211
ˈʏ	ˈʏː	0.2
ˈɪ	ˈɪ	0.2
ç	k	0.2
ŋ	ɣ_ə	0.188
ˈaʊ̯	ˈɔː	0.182
ˈaʊ̯	ˈoː	0.182
ˈɒː	-	0.167
ˈiː	ˈeː	0.167
ˈɛ	ˈɪ	0.143
ˈɛ	ˈɛ	0.143
ˈɛ	l	0.143
ʃ	z	0.143
ˈaʊ̯	-	0.136
n	ə	0.136
ç	ŋ	0.133
ŋ	ɡ_ə	0.125
ˈɪ	ˈɛː	0.12
ˈɪ	ˈɛ	0.12
ˈɪ	ˈeː	0.12
ˈɒː	ˈʊː	0.111
m	v_ə	0.094
ˈae̯	ˈɛːi̯	0.087
b	-	0.083
v	v	0.077
n	n_d	0.068
æ	ə	0.067
t	d̥	0.067
m	ə_v̥	0.062
m	ə	0.062
l	ə_l	0.062
l	ə	0.062
