Westphalian	Old High German	probability
ˈɛː	ˈɛ	1.0
ˈɒː	ˈɑ	1.0
ˈyːœ̯	ˈu	1.0
ˈyə̯	ˈu	1.0
ˈuə̯	-	1.0
ˈoː	ˈuo̯	1.0
ˈaː	ˈɑ	1.0
ˈa	ˈɑ	1.0
ʃ_t	s_t	1.0
ɪ	ɑ	1.0
ɣ	-	1.0
ə	o	1.0
z	s	1.0
x_t	x_t	1.0
x	ɡ	1.0
v̥	-	1.0
t_ə	s̻_i	1.0
s	s	1.0
r	r	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	t	1.0
b	b	1.0
aɪ̯	ɛ	1.0
l	l	0.948
ˈiː	ˈiː	0.945
m	m	0.94
ˈɪ	ˈi	0.856
ʋ	w	0.841
ˈeː	ˈei̯	0.814
ˈɪɛ̯	ˈɛ	0.813
ˈuː	ˈuː	0.8
ˈyː	ˈiu̯	0.726
v	w	0.721
ˈʏ	ˈu	0.712
n	n	0.711
ˈøː	ˈuo̯	0.704
d	d	0.702
ˈɔː	ˈɑː	0.701
ç	ɡ	0.667
ŋ	ŋ_ɡ	0.639
ˈuːə̯	ˈu_r	0.622
ˈɔ	ˈɑ	0.6
ˈiɛ̯	-	0.6
ˈʊ	ˈu	0.596
ˈaɪ̯	ˈio̯	0.587
ɡ	ɡ	0.571
ˈɪə̯	ˈi	0.5
ˈɪə̯	-	0.5
ʃ	s	0.5
ˈaʊ̯	ˈou̯	0.497
ɐ	r	0.489
ʃ	s_k	0.444
ɡ	ɡ_ɑ	0.429
ˈɔ	ˈo	0.4
ˈiɛ̯	ˈe	0.4
ˈɛ	ˈe	0.382
ˈuːə̯	ˈu	0.378
ˈaʊ̯	ˈoː	0.378
p	f_ɑ	0.377
p	p͡f	0.359
k	kʰ	0.347
ç	x_t	0.333
t	ʦ	0.305
ˈɔː	-	0.299
ˈøː	-	0.296
ˈʏ	-	0.288
v	b	0.279
ˈyː	rː	0.274
k	k	0.264
ɐ	ɑ_r	0.249
k	xː	0.245
ˈɛ	ˈɑ	0.23
ˈɛ	ˈɛ	0.227
ŋ	ɡ_ɑ	0.213
ˈaɪ̯	-	0.212
t	s̻ː	0.209
t	s̻	0.209
ˈʊ	ˈo	0.202
ˈaɪ̯	ˈɛ_h	0.202
ˈʊ	ˈuː	0.201
ˈuː	-	0.2
ˈɪɛ̯	-	0.187
ˈeː	-	0.186
ˈɛ	-	0.161
ʋ	b	0.159
t	t	0.157
ŋ	ŋ	0.148
k	kː	0.144
p	fː	0.132
ɐ	r_i	0.131
p	p	0.131
ˈaʊ̯	-	0.125
d	t	0.121
d	t_e	0.103
ˈɪ	ˈei̯	0.088
n	e_n	0.083
n	nː	0.08
t	ʦː	0.075
d	tː	0.075
ɐ	ɛ_r	0.074
m	ɑ_n	0.06
ˈɪ	ˈiː	0.056
ʃ	i_s	0.056
ɐ	r_o	0.056
ˈiː	ˈie̯	0.055
l	lː	0.052
