Bavarian	Northern Low Saxon	probability
a	ɐ	0.689
a	m	0.157
a	-	0.078
a	ə	0.077
b̥	b	0.687
b̥	f	0.171
b̥	v	0.103
d	d	1.0
d̥	d	0.821
d̥	t	0.089
d̥	-	0.067
f	f	0.789
f	b	0.158
h	h	0.952
i	ɪ	0.734
i	l	0.266
j	l	0.823
j	-	0.117
j	ʒ	0.06
k	k	0.678
k	ɡ	0.247
k	-	0.074
kʰ	kʰ	1.0
l	l	0.93
l	-	0.057
m	m	0.899
m	-	0.101
n	n	0.907
n	-	0.081
p	b	0.5
p	p	0.5
p͡f	b	1.0
r	r	0.853
r	ɐ	0.074
r	-	0.072
s	s	0.37
s	d	0.351
s	z	0.279
t	d	0.737
t	-	0.132
t	t	0.131
x	ɡ	0.501
x	x	0.34
x	ç	0.158
ç	ɡ	0.851
ç	ç	0.149
ŋ	ŋ	0.776
ŋ	ɪ	0.157
ŋ	-	0.067
ɐ	ɐ	0.706
ɐ	ˈaː	0.178
ɐ	-	0.115
ə	l	1.0
ɡ̊	ɡ	0.649
ɡ̊	ç	0.16
ɡ̊	x	0.099
ɡ̊	-	0.092
ɪ	ɪ	1.0
ʃ	ʃ	0.896
ʃ	s	0.104
ʋ	v	0.966
ʦ	tʰ	0.666
ʦ	d	0.334
ˈa	ˈa	0.288
ˈa	ˈaː	0.286
ˈa	ˈeː	0.211
ˈa	ˈɪ	0.139
ˈai̯	ˈiː	0.445
ˈai̯	ˈyː	0.217
ˈai̯	ˈɪ	0.094
ˈai̯	ˈeː	0.09
ˈai̯	ˈeɪ̯	0.062
ˈai̯	ˈʏ	0.062
ˈau̯	ˈuː	0.78
ˈau̯	ˈaʊ̯	0.08
ˈau̯	ˈøː	0.08
ˈau̯	ˈʊ	0.061
ˈaː	ˈaʊ̯	0.666
ˈaː	ˈoː	0.296
ˈe	ˈeː	0.252
ˈe	ˈɛɪ̯	0.174
ˈe	ˈaɪ̯	0.144
ˈe	ˈɛ	0.115
ˈe	ˈɔʏ̯	0.113
ˈe	ˈø	0.077
ˈe	ˈœː	0.067
ˈe	ˈa	0.06
ˈeɐ̯	-	0.522
ˈeɐ̯	ˈaʊ̯	0.27
ˈeɐ̯	ˈɔʏ̯	0.208
ˈeː	ˈeː	0.256
ˈeː	ˈaɪ̯	0.228
ˈeː	ˈeɪ̯	0.195
ˈeː	ˈɔʏ̯	0.19
ˈeː	ˈɛ	0.13
ˈi	ˈɪ	0.56
ˈi	ˈiː	0.206
ˈi	ˈø	0.075
ˈi	ˈɔʏ̯	0.059
ˈi	-	0.051
ˈiɐ̯	ˈaɪ̯	0.584
ˈiɐ̯	ˈɔʏ̯	0.296
ˈiɐ̯	ˈɪ	0.119
ˈiː	ˈøː	0.362
ˈiː	ˈɪ	0.272
ˈiː	ˈaɪ̯	0.209
ˈiː	ˈeɪ̯	0.156
ˈo	ˈʊ	0.422
ˈo	ˈa	0.19
ˈo	ˈɔ	0.178
ˈo	ˈaʊ̯	0.146
ˈo	ˈɛ	0.065
ˈou̯	ˈaʊ̯	1.0
ˈoɐ̯	ˈaɪ̯	0.303
ˈoɐ̯	ˈaʊ̯	0.171
ˈoɐ̯	ˈaʊ̯_ɐ	0.142
ˈoɐ̯	ˈa	0.102
ˈoɐ̯	ˈaː	0.098
ˈoɐ̯	ˈɪ	0.072
ˈoɐ̯	ɐ	0.056
ˈoː	ˈoː	0.612
ˈoː	ˈa	0.262
ˈoː	ˈɛ	0.126
ˈu	ˈʊ	0.427
ˈu	ˈøː	0.134
ˈu	ˈɔ	0.108
ˈu	ˈɔʏ̯	0.087
ˈu	ˈʏ	0.085
ˈu	ˈɛ	0.08
ˈu	ˈaɪ̯	0.079
ˈuɐ̯	ˈaʊ̯	0.837
ˈuɐ̯	ˈuː	0.163
ˈy	ˈøː	1.0
ˈɑː	ˈɛɪ̯	1.0
ˈɒ	ˈoː	0.544
ˈɒ	-	0.269
ˈɒ	ˈa	0.187
ˈɒː	ˈoː	0.592
ˈɒː	ˈa	0.408
ˈɔ	ˈoː	0.381
ˈɔ	ˈa	0.358
ˈɔ	ˈɔ	0.261
ˈɛ	ˈeː	0.286
ˈɛ	ˈʏ	0.248
ˈɛ	ˈɪ	0.116
ˈɛ	ˈœ	0.106
ˈɛ	-	0.085
ˈɛ	ˈoː	0.085
ˈɛ	ˈɛ	0.074
ˈɛː	ˈaɪ̯	0.589
ˈɛː	ˈoː	0.261
ˈɛː	ˈeɪ̯	0.149
ˈʏ	ˈʏ	1.0
