Western Lombard	Logudorese	probability
ã	a	1.0
b	b	1.0
ĩ	-	1.0
n	n	1.0
ɲ	n	1.0
ʃ	s	1.0
ʦ	-	1.0
ˈãː	ˈa_n	1.0
ˈeː	ˈi	1.0
ˈẽː	ˈe_n	1.0
ˈĩː	ˈi_n	1.0
ˈo	ˈo	1.0
ˈøː	ˈo	1.0
ˈɛ	ˈe	1.0
ˈɛ̃ː	ˈe	1.0
e	o	0.231
i	i	0.551
ʋ	j	0.11
ʧ	k	0.291
ʧ	k_r	0.421
ˈaː	ˈa_ð	0.091
ˈyː	ˈu	0.421
d	-	0.072
f	β_u	0.102
j	-	0.312
m	m_i	0.072
p	p_u	0.062
t	t	0.622
ˈa	ˈa_r	0.252
ˈy	ˈi	0.22
e	i	0.263
k	ɣ_u	0.213
l	r	0.103
l	l_u	0.13
m	m	0.893
s	ɣ_e	0.23
u	e	0.23
u	o	0.613
ˈi	i	0.083
ˈũː	ˈo_n	0.863
ˈø	e_#>	0.063
ˈɔ	ˈo	0.853
a	e	0.054
f	-	0.124
r	r	0.774
s	s_k	0.054
ɡ	ɣ	0.344
ʤ	-	0.224
ʧ	-	0.144
ʧ	t_e	0.144
ˈe	ˈi	0.574
ˈu	ˈo	0.344
l	ɖː_u	0.115
e	e	0.506
l	ɖː	0.06
t	t_u	0.226
ʋ	b	0.716
ˈe	ˈe	0.426
ˈi	ˈi_ʣ	0.06
ˈu	ˈu	0.656
k	k	0.787
l	l	0.497
t	t_e	0.117
u	u	0.157
ɡ	ɡ	0.597
ʋ	-	0.127
ʤ	j	0.17
ˈũː	ŋ	0.137
ˈɔ	ˈa	0.147
j	r	0.648
l	-	0.078
p	p	0.938
s	s	0.568
ʤ	ɡ	0.538
ˈa	ˈa	0.748
ˈi	e	0.08
ˈi	ˈi	0.778
ˈy	ˈu	0.78
ˈø	ˈo	0.888
a	a	0.939
d	d	0.429
d	ð	0.499
f	f	0.759
i	e	0.449
r	r_e	0.119
ɡ	b	0.059
ʤ	b	0.069
ˈaː	ˈa	0.909
ˈyː	ˈo	0.579
