American English	Old Norse	probability
b	b	0.966
d	d	0.486
d	ð	0.419
f	f	0.767
f	v	0.172
h	h	0.902
h	ç	0.081
i	ɑ	0.381
i	u	0.251
i	ɑː	0.229
i	i	0.138
j	ɡ	0.4
j	ˈɑː	0.328
j	-	0.183
j	ˈeː	0.089
k	k	0.654
k	c	0.213
k	kː	0.104
kʰ	kʰ	0.814
kʰ	cʰ	0.186
l	l	0.814
l	l̥	0.086
l	lː	0.06
m	m	0.863
m	-	0.075
n	n	0.725
n	nː	0.135
n	-	0.075
oʊ̯	-	0.393
oʊ̯	r	0.393
oʊ̯	a	0.215
p	p	0.725
p	-	0.172
p	v	0.075
s	s	0.969
t	t	0.642
t	tː	0.316
tʰ	tʰ	0.959
tː	tː	1.0
v	v	0.82
v	mː	0.129
v	-	0.051
w	v	0.482
w	-	0.165
w	w	0.157
w	ˈo	0.121
w	ˈu	0.053
z	s	0.635
z	v	0.365
ð	ð	0.846
ð	nː	0.11
ŋ	ŋ	1.0
ə	u	0.395
ə	ˈe	0.229
ə	ˈɑu̯	0.219
ə	-	0.125
ɚ	r	0.574
ɚ	i	0.258
ɚ	rː	0.144
ɡ	ɡ	0.89
ɡ	ɟ	0.092
ɪ	i	1.0
ɫ	l	0.714
ɫ	lː	0.148
ɫ	ɣ_l	0.138
ɹ	r	0.901
ɹ	-	0.07
ɾ	t	1.0
ʃ	s	0.856
ʃ	f	0.144
ʤ	ɟː	0.614
ʤ	ɡː	0.386
ʧ	k	0.606
ʧ	cʰ	0.29
ʧ	cː	0.105
ˈaɪ̯	ˈiː	0.38
ˈaɪ̯	ˈɑː	0.128
ˈaɪ̯	ˈi	0.113
ˈaɪ̯	ˈeː	0.084
ˈaɪ̯	ˈu	0.084
ˈaɪ̯	ˈe	0.064
ˈaɪ̯	ˈuː	0.054
ˈaʊ̯	ˈuː	0.535
ˈaʊ̯	ˈu	0.301
ˈaʊ̯	ˈyː	0.112
ˈaʊ̯	ˈo	0.052
ˈeɪ̯	ˈɑ	0.468
ˈeɪ̯	ˈe	0.353
ˈeɪ̯	ˈɑː	0.14
ˈi	ˈøː	0.145
ˈi	ˈøy̯	0.113
ˈi	ˈeː	0.101
ˈi	ˈɑː	0.091
ˈi	-	0.078
ˈi	ˈyː	0.077
ˈi	ˈɑu̯	0.075
ˈi	j_ˈoː	0.058
ˈoʊ̯	ˈɛi̯	0.521
ˈoʊ̯	ˈɑː	0.107
ˈoʊ̯	ˈɛː	0.087
ˈoʊ̯	ˈy	0.07
ˈoʊ̯	ˈɑ	0.058
ˈoʊ̯	ˈo	0.058
ˈoʊ̯	ˈɛ	0.058
ˈu	ˈoː	0.292
ˈu	ˈɑː	0.279
ˈu	ˈɔː	0.158
ˈu	-	0.143
ˈu	ˈɔ	0.07
ˈæ	ˈɑ	0.463
ˈæ	ˈa	0.256
ˈæ	ˈɛ	0.153
ˈæ	ˈɔ	0.098
ˈɑ	ˈɑ	0.815
ˈɑ	ˈoː	0.057
ˈɔ	ˈo	0.368
ˈɔ	ˈe	0.227
ˈɔ	ˈy	0.198
ˈɔ	ˈɑ	0.15
ˈɔ	ˈoː	0.057
ˈɛ	ˈɛ	0.207
ˈɛ	-	0.101
ˈɛ	ˈe	0.098
ˈɛ	ˈɒu̯	0.086
ˈɛ	ˈɑː	0.074
ˈɛ	ˈu	0.072
ˈɛ	ˈɔ	0.072
ˈɛ	u	0.06
ˈɛ	ˈøː	0.058
ˈɛ	j	0.054
ˈɝ	r	0.529
ˈɝ	ˈe	0.244
ˈɝ	ˈɔ	0.227
ˈɪ	ˈi	0.448
ˈɪ	ˈy	0.159
ˈɪ	ˈiː	0.077
ˈɪ	ˈe	0.072
ˈɪ	ˈo	0.061
ˈɪ	ˈu	0.06
ˈɪ	j	0.05
ˈʊ	ˈoː	0.799
ˈʊ	ˈu	0.201
ˈʌ	ˈu	0.606
ˈʌ	ˈo	0.102
ˈʌ	ˈɑː	0.093
ˈʌ	ˈoː	0.077
θ	θ	0.597
θ	ð	0.211
θ	nː	0.157
