Gothic	Afrikaans	probability
a	-	0.747
a	ə	0.253
aː	-	1.0
b	b	0.841
b	f	0.106
b	-	0.053
d	d	0.673
d	t	0.263
d	-	0.064
e	ə	1.0
f	f	0.951
h	ɦ	0.607
h	χ	0.173
h	-	0.158
i	-	0.626
i	ə	0.212
i	i	0.162
iː	-	1.0
j	-	0.538
j	j	0.249
j	t	0.085
j	r	0.069
j	ˈi	0.059
k	k	0.85
k	-	0.15
kʷ	f	0.5
kʷ	k	0.5
l	ɫ	0.987
lː	ɫ	1.0
m	m	0.923
m	-	0.077
n	n	0.867
n	-	0.122
nː	n	1.0
oː	r	0.261
oː	ə	0.261
oː	ˈœu̯	0.261
oː	-	0.218
p	p	1.0
r	r	0.959
s	s	0.777
s	-	0.223
t	t	0.955
u	-	0.754
u	ə	0.246
w	v	0.617
w	w	0.292
w	ˈœ	0.059
x	χ	1.0
z	r	0.502
z	s	0.498
ð	t	0.606
ð	d	0.348
ŋ	ŋ	0.751
ŋ	-	0.198
ŋ	n	0.051
ɔː	-	1.0
ɡ	χ	0.496
ɡ	-	0.478
ɡʷ	-	1.0
ɡːʷ	-	1.0
ɣ	χ	0.761
ɣ	-	0.239
ʍ	v	0.794
ʍ	-	0.206
ˈa	ˈa	0.606
ˈa	ˈɑː	0.172
ˈa	ˈɛ	0.095
ˈeː	ˈɑː	0.921
ˈeː	ˈi	0.079
ˈi	ˈə	0.436
ˈi	-	0.145
ˈi	ˈɪə̯	0.103
ˈi	ˈæ	0.086
ˈi	ˈəɪ̯	0.068
ˈi	ˈɔ	0.067
ˈiu̯	ˈi	0.678
ˈiu̯	ˈɪə̯	0.204
ˈiu̯	ˈœɪ̯	0.08
ˈiː	ˈəɪ̯	0.758
ˈiː	ˈə	0.129
ˈiː	ˈi	0.113
ˈoː	ˈu	0.731
ˈoː	ˈyː	0.138
ˈoː	ˈɔ	0.131
ˈu	ˈɔ	0.721
ˈu	ˈɪø̯	0.075
ˈu	-	0.067
ˈu	ˈa	0.057
ˈu	ˈʊə̯	0.053
ˈuː	ˈœɪ̯	0.626
ˈuː	ˈɔ	0.19
ˈuː	ˈəɪ̯	0.183
ˈɔ	ˈʊə̯	0.682
ˈɔ	ˈœ	0.179
ˈɔ	ˈɔ	0.085
ˈɔ	ˈoːɪ̯	0.054
ˈɔː	ˈʊə̯	0.707
ˈɔː	ˈə	0.186
ˈɔː	ˈɔ	0.107
ˈɛ	ˈæː	0.424
ˈɛ	ˈa	0.156
ˈɛ	ˈi	0.133
ˈɛ	ˈɑː	0.119
ˈɛ	ˈɪə̯	0.106
ˈɛ	ˈɛ	0.062
ˈɛː	ˈɪə̯	0.479
ˈɛː	ˈəɪ̯	0.292
ˈɛː	ˈi	0.096
ˈɛː	ˈɪ	0.068
ˈɛː	ˈæ	0.066
β	-	0.681
β	f	0.261
θ	t	0.498
θ	d	0.394
θ	-	0.108
