Gothic	Afrikaans	probability
a	-	0.785
a	ə	0.212
aː	-	0.514
b	b	0.839
b	f	0.104
b	-	0.063
d	d	0.731
d	-	0.133
d	t	0.133
d_s	t	1.0
e	ə	1.0
f	f	0.907
f	-	0.092
f_s	f	1.0
h	ɦ	0.499
h	-	0.208
h	χ	0.164
h	ŋ	0.069
h	k	0.046
h_l	l	0.514
i	-	0.935
i	ə	0.064
i_f	f	0.514
i_s	s	0.514
iː	-	1.0
j	-	0.375
j	j	0.247
j	ˈi	0.101
j	r	0.094
j	t	0.094
k	k	0.852
k	-	0.13
k_s	s	1.0
l	ɫ	0.739
l	l	0.221
l	ˈœu̯	0.049
l_s	ɫ	1.0
lː	ɫ	0.136
lː_s	ɫ	1.0
m	m	0.915
m	-	0.085
m_s	m	1.0
n	n	0.602
n	-	0.335
n	ŋ	0.05
n_s	n	1.0
nː	n	0.514
oː	-	0.827
oː	r	0.095
oː	ə	0.079
p	p	1.0
r	r	0.844
r	r_ə	0.104
r	ə_r	0.055
s	-	0.545
s	s	0.454
s_k	s	0.514
t	t	0.91
t	-	0.089
u	-	0.794
u	ə	0.195
w	v	0.48
w	w	0.325
w	-	0.125
w	ˈœ	0.063
x_s	χ	1.0
z	s	0.448
z	r	0.118
ð	t	0.488
ð	d	0.206
ð	-	0.19
ŋ	ŋ	0.86
ŋ	n	0.124
ɔː	-	1.0
ɡ	-	0.575
ɡ	χ	0.386
ɡ	k	0.047
ɡʷ	-	1.0
ɡːʷ	-	0.514
ɣ	χ	1.0
ʍ	v	0.629
ʍ	-	0.361
ˈa	ˈa	0.639
ˈa	ˈɑː	0.157
ˈa	ˈɔː	0.041
ˈa	ˈʊə̯	0.041
ˈa	ˈæ	0.041
ˈa_l	ˈœu̯	1.0
ˈeː	ˈɑː	0.803
ˈeː	ˈi	0.158
ˈi	ˈə	0.441
ˈi	ˈɪə̯	0.175
ˈi	ˈəɪ̯	0.086
ˈi	ˈɛ	0.086
ˈi	-	0.075
ˈiu̯	ˈi	0.803
ˈiu̯	ˈœɪ̯	0.158
ˈiː	ˈəɪ̯	0.622
ˈiː	ˈə	0.184
ˈiː	ˈi	0.149
ˈoː	ˈu	0.545
ˈoː	ˈɔ	0.202
ˈoː	ˈuː	0.143
ˈoː	ˈyː	0.071
ˈu	ˈɔ	0.546
ˈu	ˈʊə̯	0.145
ˈu	-	0.096
ˈu	ˈa	0.073
ˈu	ˈɪø̯	0.073
ˈuː	ˈœɪ̯	0.776
ˈuː	ˈɔ	0.18
ˈɔ	ˈʊə̯	0.627
ˈɔ	ˈɔ	0.165
ˈɔ	ˈœ	0.121
ˈɔ	ˈoːi̯	0.062
ˈɔː	ˈʊə̯	0.882
ˈɔː	ˈɔ	0.097
ˈɔː_s	ˈʊə̯	1.0
ˈɛ	ˈi	0.286
ˈɛ	ˈæː	0.189
ˈɛ	ˈa	0.143
ˈɛ	ˈɑː	0.143
ˈɛ	ˈɛ	0.143
ˈɛː	ˈɪə̯	0.426
ˈɛː	ˈəɪ̯	0.281
ˈɛː	ˈi	0.13
ˈɛː	ˈɛ	0.101
ˈɛː	ˈɪ	0.058
β	-	0.346
β	f	0.346
β	p	0.199
β	v	0.09
θ	d	0.458
θ	t	0.269
θ	-	0.257
θ_s	t	0.514
θ_u	t	1.0
