Icelandic	Afrikaans	probability
a	-	0.987
b̥	b	0.949
b̥	-	0.056
c	k	0.549
c	-	0.441
cʰ	k	0.514
d̥	d	0.796
d̥	t	0.141
d̥	-	0.054
d̥_ʏ	t	1.0
f	f	0.929
f	v	0.071
f_j	f	0.264
h	ɦ	0.953
h	k	0.057
j	-	0.644
j	ˈɪə̯	0.217
j	ˈi	0.074
j	ˈɔː	0.056
k	k	0.543
k	-	0.448
kʰ	k	1.0
kʰ_v	v	1.0
l	ɫ	0.777
l	-	0.125
l	l	0.093
l_j	ɫ	1.0
l̥	ɫ	0.477
l̥	l	0.38
l̥	-	0.126
l̥_ʏ	ɫ	1.0
m	m	1.0
m_ʏ	m	1.0
n	n	0.838
n	-	0.158
nː	n	0.848
nː	n_t	0.133
n̥	n	0.618
n̥	ŋ	0.17
n̥	-	0.129
n̥	m	0.074
p	p	0.596
p	-	0.26
p_ʏ	p	0.514
r	r	0.92
r	-	0.079
r_a	r	1.0
rː̥	χ	0.339
rː̥	r	0.339
r̥	-	0.718
r̥	r	0.266
s	s	1.0
sː	s	1.0
t	t	0.535
t	-	0.464
tʰ	t	1.0
u	-	0.174
u	ə	0.174
v	v	0.417
v	w	0.226
v	-	0.149
v	p	0.096
v	f	0.063
v_ʏ	f	1.0
x	-	0.574
x	k	0.295
ç	v	0.425
ç	ɦ	0.359
ð	t	0.403
ð	-	0.374
ð	d	0.163
ð	r	0.05
ð_ʏ	t	1.0
ŋ	ŋ	1.0
ɑu̯	ə	0.136
ɛ	-	1.0
ɛː	ə	1.0
ɟ̊	χ	0.768
ɟ̊	-	0.185
ɡ̊	χ	0.49
ɡ̊	-	0.457
ɡ̊	k	0.056
ɡ̊_l	ɫ	1.0
ɡ̊_ʏ	ə	1.0
ɣ	χ	0.588
ɣ	l	0.379
ɣ_a	χ	1.0
ɪ	ə	0.475
ɪ	-	0.458
ɪ	r	0.058
ɪ	ˈʊə̯	0.043
ɲ	ŋ	0.514
ʏ	-	0.876
ʏ	ə	0.122
ʰk	ŋ_k	0.594
ʰk	k	0.392
ʰp	p	0.264
ʰt	χ_t	0.517
ʰt	χ	0.297
ʰt	t	0.122
ʰt_ʏ	χ	0.514
ˈa	ˈa	0.616
ˈa	ˈœu̯	0.085
ˈa	ˈʊə̯	0.074
ˈa	ˈɛ	0.065
ˈa	ˈæ	0.064
ˈai̯	ˈɛ	0.488
ˈai̯	ˈu	0.148
ˈai̯	ˈi	0.148
ˈaː	ˈa	0.506
ˈaː	ˈɑː	0.389
ˈaː	ˈɛː	0.087
ˈaːi̯	ˈa	0.437
ˈaːi̯	ˈu	0.381
ˈaːi̯	ˈɛ	0.148
ˈaːu̯	ˈʊə̯	0.574
ˈaːu̯	ˈɑː	0.295
ˈeːi̯	ˈʊə̯	0.758
ˈeːi̯	ˈəɪ̯	0.103
ˈi	ˈə	0.778
ˈi	ˈœɪ̯	0.152
ˈi	-	0.049
ˈiː	ˈəɪ̯	0.368
ˈiː	ˈi	0.273
ˈiː	ˈyː	0.081
ˈiː	ˈœɪ̯	0.081
ˈiː	ˈœi̯	0.069
ˈou̯	ˈɔ	0.392
ˈou̯	ˈʊə̯	0.232
