Wymysorys	Old Frisian	probability
ˈɪ	ˈi̯aː	1.0
ˈɘ̟_w	ˈe_l	1.0
ˈɑi̯_ɛ	ˈi̯uː	1.0
ˈɑ_n	ˈoː	1.0
ˈoi̯	ˈaː	1.0
ˈi_r	ˈiː	1.0
ʧ	k_j	1.0
ɪ_k	ə_x	1.0
ɑ	iː_n	1.0
ŋ	ŋ	1.0
ç	k	1.0
v_ˈɛ	w	1.0
v_ɛ	v_ə	1.0
u	ə	1.0
t_ɛ	t_ə	1.0
s_t	s_t	1.0
r_ˈai̯	r	1.0
r	r	1.0
l	l	1.0
k_ˈɘ̟	ʦ	1.0
j	-	1.0
h	h	1.0
f_a	p_ə	1.0
f	f	1.0
d̥	d	1.0
c	k	1.0
b̥	f	1.0
b	b	1.0
m	m	0.942
s	t	0.939
w	l	0.89
z	s	0.877
ˈai̯	ˈiː	0.864
v	w	0.851
ə	ə	0.837
ɛ	ə	0.833
a	ə	0.808
k	k	0.777
n	n	0.718
ɡ	ɡ	0.692
ˈi̯ø	ˈa_r	0.691
ˈu	ˈu	0.688
t	d	0.651
ˈɛ	ˈe	0.638
ˈa	ˈɛː	0.621
p	-	0.608
ˈɑi̯	ˈuː	0.583
ɟ	ɣ	0.577
ˈɘ̟	ˈi	0.565
ʃ	s_k	0.555
x	x	0.534
ʦ	t	0.528
ˈi	-	0.458
ˈʏ	ˈoː	0.448
ʃ	s	0.445
ˈei̯	ˈɛː	0.439
ɟ	ɡ	0.423
ˈɑi̯	-	0.417
ɡ̊	ɡ	0.408
x	k	0.405
p	pː	0.392
d	θ	0.37
ˈɔ	ˈe	0.369
ˈɔ	-	0.365
ˈø	-	0.365
ˈɛ	-	0.362
ˈø	ˈɔː	0.353
d	d	0.343
ˈei̯	-	0.316
ˈi̯ø	-	0.309
ˈi	ˈi̯aː	0.302
t	t	0.297
ˈɑ	ˈe	0.296
ɡ̊	ɣ_ə	0.296
ɡ̊	x	0.296
d	ð	0.287
ˈø	ˈeː	0.282
ˈʏ	ˈaː	0.273
ˈɔ	ˈa	0.266
ˈɑ	ˈa	0.264
ˈɑ	ˈɔː	0.248
ˈei̯	ˈi	0.246
ˈi	ˈeː	0.239
ʦ	tː	0.236
ʦ	r_t	0.236
k	ɡː	0.223
ˈa	ˈe_j	0.219
ˈʏ	r	0.183
ˈɘ̟	ˈe	0.177
ɛ	-	0.167
ə	-	0.163
ˈu	ˈaː	0.16
ɡ	j	0.16
ˈa	ˈaː	0.159
ˈu	ˈo	0.152
v	-	0.149
ɡ	ɣ	0.148
ˈɑ	-	0.143
ˈai̯	ˈi	0.136
z	z	0.123
a	j_ə	0.115
n	-	0.114
ˈɘ̟	ˈu	0.113
ˈʏ	ˈo	0.096
w	-	0.091
ˈɘ̟	-	0.088
a	a	0.077
n	nː	0.076
x	kː	0.061
s	z	0.061
m	mː	0.058
ˈɘ̟	i	0.056
t	dː	0.052
