Icelandic	Icelandic	probability
θ	d	1.0
ˈʏː	-	1.0
ˈɛː_r̥	ɑ	1.0
ˈɛi̯	ˈeː	1.0
ˈɛ_ɡ̊ː	ˈɔɪ̯	1.0
ˈɔu̯	-	1.0
ˈɔ_r	ˈaː	1.0
ˈœː	-	1.0
ˈœ_r	ɑ	1.0
ˈuː	ˈaʊ̯	1.0
ˈu	ˈʊ	1.0
ˈou̯	-	1.0
ˈiː	ˈaɪ̯	1.0
ˈi	ˈɪ	1.0
ˈeːi̯	-	1.0
ˈaːu̯	-	1.0
ˈai̯	-	1.0
ʰt͡n̥	s_ɑ	1.0
ʰp	-	1.0
ʰk	ŋ_k	1.0
ʰc	k	1.0
ʏ_#>	#>	1.0
ɲ	ŋ	1.0
ɣ	ɡ̊	1.0
ɡ̊ː	k	1.0
ɡ̊_ʏ_r̥_#>	#>	1.0
ɡ̊_a_#>	#>	1.0
ɟ̊ː	-	1.0
ɟ̊_a	ə	1.0
ɟ̊	ɡ	1.0
ɛ	-	1.0
ɑu̯	ɪ	1.0
ð_ɪ	d_ɑ	1.0
ç	h	1.0
x	ç	1.0
v_ʏ	b̥	1.0
t͡n̥	n	1.0
t͡l̥	l	1.0
tʰ	ʦ	1.0
s_k_ʏ_r̥_#>	ʃ_#>	1.0
s_k	ʃ	1.0
s_c	ʃ	1.0
r̥_#>	#>	1.0
r_ɪ	ɑ	1.0
r_a	ɑ	1.0
pʰ	b	1.0
nː	n	1.0
n_d̥	n	1.0
n_#>	#>	1.0
m	m	1.0
l̥	l	1.0
l	l	1.0
kʰ_v	ʋ	1.0
k_ʏ	ç	1.0
j_ˈuː	ˈiː	1.0
j_ˈoːu̯	ˈiː	1.0
h	h	1.0
d̥_ʏ	d̥	1.0
d̥	d̥	1.0
c	-	1.0
b̥	b	1.0
aːu̯	eː	1.0
a_r̥	ɑ	1.0
a_#>	#>	1.0
a	ə	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_r̥	<#_ɾ	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_d̥	<#_d	1.0
<#	<#_ʋ	1.0
ʏ_r̥_#>	#>	0.952
f	f	0.9
r	ɾ	0.88
n	n	0.786
p	f	0.778
v	ʋ	0.75
ˈɪ	ˈɪ	0.733
ŋ	ŋ	0.727
ʰt	t	0.714
ˈɛːi̯	ˈeː	0.7
ɪ	-	0.688
ˈaːi̯	-	0.667
ʏ	ɑ	0.667
ɡ̊	-	0.667
ð	d̥	0.654
ˈaː	ˈa	0.636
ˈɔː	ˈoː	0.6
ˈɔ	ˈaː	0.6
ˈɑu̯	ˈa	0.6
ɡ̊_ʏ	ɪ	0.6
n̥	ə	0.6
t	s	0.593
s	s	0.578
ˈɑːu̯	ˈoː	0.571
t͡n̥_#>	#>	0.571
ˈoːu̯	ˈuː	0.538
ˈa	ˈa	0.529
ˈɪː	ˈɪ	0.5
ˈœːy̯	ˈɔː	0.5
ˈœːy̯	ˈoː	0.5
ˈœ	ˈa	0.5
ˈœ	-	0.5
ˈau̯	ˈɛ	0.5
ˈau̯	-	0.5
k	x	0.5
ˈʏ	ˈʊ	0.429
ˈɑːu̯	-	0.429
t͡n̥_#>	n_#>	0.429
r̥	ɑ	0.429
s	ʃ	0.422
ˈɛ	ˈɛ	0.412
ˈɔː	ˈʊ	0.4
ˈɔ	-	0.4
ˈɑu̯	ˈa_x	0.4
ɡ̊_ʏ	ɑ	0.4
n̥	-	0.4
#>	ə_#>	0.4
ˈaː	ˈɔː	0.364
ˈɛː	ˈɛ	0.333
ˈɛː	ˈiː	0.333
ˈɛː	-	0.333
ˈaːi̯	ˈiː	0.333
ʏ	-	0.333
ɡ̊	ɣ	0.333
ˈɛːi̯	-	0.3
t	t	0.296
ˈʏ	ˈɔ	0.286
ˈʏ	-	0.286
ʰt	-	0.286
r̥	ç	0.286
ŋ	-	0.273
j	-	0.273
ˈɪ	-	0.267
ˈɪː	ˈɛ	0.25
ˈɪː	-	0.25
k	ç	0.25
k	k	0.25
ˈa	ˈɔː	0.235
ˈoːu̯	ˈʊ	0.231
ˈoːu̯	-	0.231
ð	d	0.231
j	ˈeː	0.227
p	-	0.222
n	-	0.214
#>	s_#>	0.2
ɪ	ɑ	0.188
j	ˈɪ	0.182
ˈɛ	ˈɛː	0.176
ˈɛ	ˈaɪ̯	0.176
v	-	0.143
r̥	ɾ	0.143
r̥	-	0.143
j	ˈɛ	0.136
#>	ç_#>	0.133
#>	f_#>	0.133
#>	d̥_#>	0.133
ɪ	d_ɑ	0.125
r	ɑ	0.12
ˈɛ	ˈa	0.118
ˈɛ	-	0.118
ˈa	ˈɛ	0.118
ˈa	-	0.118
ð	-	0.115
t	-	0.111
v	f	0.107
f	f_ˈɔ	0.1
j	ˈɛː	0.091
j	n	0.091
