Slovenian	Polish	probability
ʦ	ʦ	1.0
ʒ	ʐ	1.0
ʃ	ʂ	1.0
ɡ_ɔ	ɡ_ˈɔ	1.0
ɡ	ɡ	1.0
ɛ̀ː	ˈɛ	1.0
ɛ	ɛ	1.0
ə́	j_ˈɛ	1.0
ə̀	ˈa	1.0
ɔ̀ː	ˈɔ	1.0
ɔ	ɔ	1.0
x	x	1.0
úː	ˈu	1.0
s_#>	s_#>	1.0
p	p	1.0
òː	ˈɔ	1.0
o	ˈɔ	1.0
n_#>	ɲ_#>	1.0
m_#>	m_#>	1.0
m	m	1.0
j	j	1.0
ìː	ˈi	1.0
e	ˈɛ	1.0
b	b	1.0
áː	ˈɔ	1.0
á	ˈa	1.0
a	a	1.0
<#_t	<#_ʨ	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
#>	ɨ_#>	1.0
k	k	0.857
i	-	0.778
n	n	0.769
d	d	0.765
r	r	0.739
ʋ	v	0.65
t	t	0.607
z	z	0.6
s	ɕ	0.6
àː	ˈa	0.6
l	w	0.579
ʧ	ʦ	0.5
ʧ	ʈ͡ʂ	0.5
ə	ɛ	0.5
ə	-	0.5
w	w	0.5
óː	ˈɔ	0.438
l	l	0.421
z	ʑ	0.4
s	s	0.4
èː	ˈɛ	0.4
àː	ˈɔ	0.4
óː	ɔ	0.375
ʋ	v_j	0.35
t	ʨ	0.321
w	l	0.3
èː	ˈa	0.3
èː	j_ˈa	0.3
r	ʐ	0.261
éː	ˈɛ	0.25
éː	ˈa	0.25
éː	ɛ	0.25
d	ʥ	0.235
n	ɲ	0.231
i	ɨ	0.222
w	w_ɨ	0.2
óː	ˈu	0.188
k	k_i	0.143
éː	ɛ_ɲ	0.125
éː	j_ˈɛ	0.125
t	ɲ_ʨ	0.071
