Logudorese	Logudorese	probability
ˈi_l	ˈi_l	1.0
ɾ_ɛ_#>	#>	1.0
ɾ_ɛ	ɾ_ə	1.0
ɾ_t	ɾ_t	1.0
ɲ	ɲː	1.0
ɣ_ɛ	ʃ_ə	1.0
ɡ	-	1.0
ɛ̆	-	1.0
ɛ_ɾ	ə_ɾ	1.0
ɖː	lː	1.0
ɔ̆	ə	1.0
ŋ_ɡ	ɲː	1.0
z	-	1.0
ŭ	-	1.0
s_k	ʃː	1.0
p_ɾ	k_j	1.0
p	p	1.0
o	-	1.0
n_ʣ	ɲː	1.0
n_ɛ	ə	1.0
m_i	mː	1.0
m_b	ŋ_k	1.0
l_u	ə	1.0
l	l	1.0
k_ˈi	ʃ_ˈi	1.0
k_ˈe	ʃ_ˈɛ	1.0
k_a	kː_ə	1.0
j_z	j	1.0
i_s	ʃ	1.0
f_ɾ	ʃ	1.0
b_ˈɔ	v_ˈu	1.0
b_ˈe	j_ˈe	1.0
ă	-	1.0
a_ð	a_t	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_j	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
#>	ə_#>	1.0
f	f	0.95
ˈa	ˈa	0.944
n	n	0.915
ˈu	ˈu	0.912
u	ə	0.9
k	k	0.882
s	s	0.88
ˈe	j_ˈɛ	0.867
m	m	0.821
ð	t	0.812
a	ə	0.789
d	d	0.786
ɛ_#>	#>	0.778
ˈi	ˈi	0.757
ɛ	ə	0.74
ɾ	ɾ	0.619
b	v	0.613
r	ɾ_n	0.6
e	ə	0.556
ʣ	ʎː	0.545
t	t	0.545
β	p	0.5
β	-	0.5
ˈɛ	ˈɛ	0.5
ˈɔ	ˈɔ	0.5
ˈo	w_ˈɔ	0.5
ʦ	ʦ	0.5
ʦ	-	0.5
j	kː_j	0.5
j	-	0.5
nː	nː	0.429
ɔ	u	0.4
ɔ	-	0.4
r	rː	0.4
i	i	0.368
t	tː	0.364
ˈɔ	ˈo	0.312
ˈɛ	ˈe	0.292
ɣ	k	0.286
nː	n	0.286
nː	-	0.286
ˈo	w	0.278
ʣ	ʤ	0.273
i	-	0.263
ɾ	r	0.238
ɛ_#>	ˈi_#>	0.222
e	i	0.222
e	-	0.222
d	-	0.214
i	ɾ	0.211
ˈɛ	ˈi	0.208
ɔ	ə	0.2
ɣ	ˈɔ_k	0.19
ɣ	ʃ	0.19
ɣ	-	0.19
ˈi	ˈe	0.189
ð	-	0.188
ʣ	-	0.182
i	ə	0.158
a	a	0.141
ˈe	ˈe	0.133
b	ɡ	0.129
ˈɔ	ˈu	0.125
s	sː	0.12
k	ʃ	0.118
ˈo	ˈu	0.111
ˈo	-	0.111
m	mː	0.107
ɛ	-	0.1
b	b_w	0.097
b	b	0.097
ɣ	ʤː	0.095
ˈu	ˈo	0.088
n	-	0.085
m	ŋ	0.071
b	ʤ	0.065
ˈɔ	-	0.062
t	ʦː	0.061
ɛ	v_ə	0.06
ɛ	i	0.06
ˈa	-	0.056
u	u	0.056
ˈi	-	0.054
