Québécois French	Québécois French	probability
ʦ	t	1.0
ʣ	d	1.0
ʏ	ˈuː	1.0
ʊ	ˈʊ	1.0
ʁ_æɛ̯	r_ˈaː	1.0
ɲ_#>	i_ãː_#>	1.0
ɲ	ãː	1.0
ɛɪ̯	ˈɛ_s	1.0
ɛ_ʁ	r_ɛ	1.0
ɛ_f	kʰ	1.0
ɛ_#>	#>	1.0
ɑɔ̯	ˈɔ	1.0
ɑ	-	1.0
œ̃ʏ̯̃	ˈuː_n	1.0
œ_n	ɛ_n	1.0
y	ˈuː	1.0
w_ɛ	ˈeː	1.0
v_w	w	1.0
s_a	s_ˈa	1.0
p	p	1.0
o	ˈɔ_s	1.0
k_ʁ	k_r	1.0
j_ɛ	ˈae̯	1.0
j_æɛ̯	ˈɛ_t	1.0
f	f	1.0
e_p	s_p	1.0
b	b	1.0
aœ̯	ˈoː	1.0
a_m	m_ɪ_n	1.0
<#_ʁ	<#_r	1.0
<#_ɑɔ̯	<#	1.0
<#_œ	<#_ˈɔ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
m	m	0.966
<#_l	<#_ɫ	0.857
ʁ	r	0.788
ɪ	ˈiː	0.769
t	t	0.75
ɡ	ɡ	0.727
v	w	0.724
ʃ	k	0.708
l	ɫ	0.674
z	-	0.6
k	kʷ	0.6
n	n_ãː	0.588
d	d	0.571
ɥ	ˈuː	0.556
oʊ̯	ˈɛ_lʲː	0.5
ʒ	ɡ	0.476
e	ˈaː_r	0.464
ɥ	ˈɔ	0.444
ɒ̃ʊ̯̃	ˈoː_n	0.429
øʏ̯	ʊ_s	0.429
d	n_ɛ	0.429
a	ˈa	0.421
a	a	0.421
ɔ	ˈɔ	0.417
ɔ	ɔ	0.417
œ	ɛ	0.417
z	k_ˈiː	0.4
oʊ̯	ˈa_ɫ	0.375
#>	ʊ̃ː_#>	0.372
u	ˈʊ	0.368
ã	ˈɛ_n	0.316
i	ˈiː	0.31
n	n	0.294
øʏ̯	ˈɔ_k	0.286
øʏ̯	ˈoː_d	0.286
s	k	0.286
ɡ	k	0.273
œ	-	0.25
j	ʊ_ɫ	0.25
j	lʲ_i	0.25
ʒ	j	0.238
w	ˈeː	0.238
æɛ̯	ˈaː	0.229
ɒ̃ʊ̯̃	ˈɔ_n	0.214
ɒ̃ʊ̯̃	n	0.214
e	s	0.214
#>	ãː_#>	0.201
k	kː	0.2
k	k	0.2
j	ˈɛ	0.2
#>	ɛ̃ː_#>	0.197
ʒ	d	0.19
ɛ	ˈɪ	0.188
æɛ̯	ˈa	0.171
ʃ	k_ˈa	0.167
ɔ	oː	0.167
œ	ˈɔ	0.167
œ	oː	0.167
ẽɪ̯̃	ˈaː_n	0.167
#>	ɛ_#>	0.159
u	ʊ	0.158
u	-	0.158
ã	n	0.158
a	aː	0.158
ɛ	ˈɛ	0.156
ɪ	k	0.154
t	tː	0.15
j	ɫ	0.15
ɒ̃ʊ̯̃	ˈoː	0.143
æɛ̯	ˈɛ	0.143
w	ˈʊ	0.143
w	ˈɪ	0.143
s	s	0.143
e	-	0.143
<#_l	<#	0.143
l	lʲː_ãː	0.14
ʃ	kː	0.125
ɛ	ɪ	0.125
ɛ	ɛ̃ː	0.125
ɛ	-	0.125
oʊ̯	ˈau̯	0.125
ẽɪ̯̃	ˈiː_n	0.125
ẽɪ̯̃	ˈa_n	0.125
ẽɪ̯̃	ŋ	0.125
ẽɪ̯̃	n_ʊ̃ː	0.125
n	n_a	0.118
æɛ̯	a	0.114
s	t_i	0.107
s	sː	0.107
e	ˈaː	0.107
ʁ	ɛ_r	0.106
u	ˈoː_t	0.105
u	ˈoː	0.105
u	ɔ	0.105
ã	ˈɪ	0.105
ã	ˈɛ	0.105
ã	ˈa_ŋ	0.105
ã	ˈa	0.105
ã	a_n	0.105
v	p_ɛ	0.103
v	p	0.103
i	ˈɛ_k	0.103
i	ˈɛ	0.103
i	ˈiː_k	0.103
i	k_t	0.103
t	k_ɛ	0.1
j	ˈɔ_k	0.1
ʒ	-	0.095
w	ˈʊ_k	0.095
w	ɪ	0.095
w	ɛ_d	0.095
w	w	0.095
w	k	0.095
ɛ	ɛ	0.094
l	lʲː	0.093
l	lʲ	0.093
æɛ̯	ˈa_k	0.086
ẽɪ̯̃	ʊ̃ː	0.083
ẽɪ̯̃	ŋ_k	0.083
ẽɪ̯̃	n_i	0.083
ẽɪ̯̃	n	0.083
ɪ	ˈyː	0.077
s	s_ˈa	0.071
s	lʲ_i	0.071
s	kʷ	0.071
s	k_i	0.071
s	-	0.071
e	ˈaː_t	0.071
v	b	0.069
i	w	0.069
i	k	0.069
i	i_ʊ̃ː	0.069
ɛ	ˈeː	0.062
ɛ	ɡ	0.062
ɛ	s	0.062
æɛ̯	ˈɪ_k	0.057
æɛ̯	ˈa_t	0.057
æɛ̯	a_t	0.057
æɛ̯	-	0.057
