Ripuarian	Danish	probability
b	b̥	0.992
d	ʦʰ	0.4
d	d̥	0.299
d	-	0.265
e	n	1.0
f	f	0.512
f	-	0.272
f	b̥	0.127
h	h	0.898
h	-	0.102
j	ɡ̊	0.855
j	-	0.145
k	-	0.354
k	kʰ	0.307
k	ɡ̊	0.204
k	k	0.129
l	l	0.747
l	lˀ	0.189
l	-	0.06
m	m	0.752
m	mˀ	0.161
m	-	0.088
n	n	0.669
n	-	0.227
n	nˀ	0.093
p	p	0.535
p	ə_ð̞ˠ	0.374
p	b̥	0.09
s	ð̞ˠ	0.496
s	s	0.406
s	-	0.071
t	ð̞ˠ	0.492
t	-	0.302
t	t	0.205
v	ʋ	0.481
v	w	0.308
v	-	0.211
x	t	0.386
x	j	0.332
x	-	0.206
x	w	0.077
z	s	1.0
ŋ	-	0.252
ŋ	nˀ	0.246
ŋ	ŋˀ	0.211
ŋ	n	0.185
ŋ	ŋ	0.107
ɐ	ɐ	0.563
ɐ	-	0.237
ɐ	ɐˀ	0.113
ɐ	lˀ	0.069
ɕ	-	0.314
ɕ	j	0.263
ɕ	t	0.178
ɕ	k	0.091
ɕ	w	0.087
ɕ	s	0.056
ə	ə	0.599
ə	-	0.249
ə	w	0.057
ɣ	-	0.619
ɣ	w	0.381
ɪ	-	0.704
ɪ	lˀ	0.296
ʀ	ʁ	0.835
ʀ	-	0.088
ʀ	ˈœˀ	0.06
ʃ	s	0.965
ʋ	ʋ	0.765
ʋ	-	0.101
ʋ	ˈo	0.079
ʋ	ˈuː	0.054
ʦ	ʦʰ	0.649
ʦ	t	0.17
ʦ	-	0.095
ʦ	d̥	0.085
ˈa	ˈɑ	0.22
ˈa	ˈa	0.22
ˈa	ˈʌ	0.101
ˈa	ˈɛ	0.088
ˈa	ˈe	0.085
ˈa	ˈyː	0.085
ˈa	ˈɛː	0.085
ˈa	ˈɔˀ	0.057
ˈaʊ̯	ˈoˀ	0.227
ˈaʊ̯	ˈuˀ	0.175
ˈaʊ̯	w	0.165
ˈaʊ̯	ˈuː	0.154
ˈaʊ̯	ˈøː	0.154
ˈaʊ̯	ˈoː	0.11
ˈaː	ˈɑˀ	0.195
ˈaː	ˈa	0.184
ˈaː	ˈɑː	0.14
ˈaː	ˈeˀ	0.079
ˈaː	ˈæˀ	0.079
ˈaː	ˈɛˀ	0.079
ˈaː	ˈoː	0.067
ˈaː	ˈɛ	0.06
ˈaː	ˈiː	0.057
ˈaː	ˈɛː	0.057
ˈe	ˈe	0.63
ˈe	ˈiˀ	0.098
ˈe	ˈiː	0.08
ˈe	ˈyː	0.08
ˈe	ˈɛ	0.059
ˈe	ˈy	0.053
ˈeɪ̯	ˈɛˀ	0.493
ˈeɪ̯	ˈeˀ	0.27
ˈeɪ̯	ˈiˀ	0.238
ˈeː	ˈeˀ	0.343
ˈeː	ˈyː	0.205
ˈeː	ˈyˀ	0.137
ˈeː	ˈeː	0.07
ˈeː	ˈiˀ	0.07
ˈiː	ˈiˀ	0.334
ˈiː	ˈiː	0.323
ˈiː	ˈi	0.163
ˈiː	ˈɔˀ	0.133
ˈo	ˈɔ	0.5
ˈo	ˈu	0.41
ˈo	ˈɔː	0.071
ˈoʊ̯	ˈuˀ	0.683
ˈoʊ̯	ˈʌˀ	0.317
ˈoː	ˈoˀ	0.175
ˈoː	ˈʌ	0.153
ˈoː	ˈɔˀ	0.138
ˈoː	ɐˀ	0.121
ˈoː	ˈœ	0.085
ˈoː	ˈœˀ	0.085
ˈu	ˈʌ	1.0
ˈuː	ˈuˀ	0.496
ˈuː	ˈœˀ	0.29
ˈuː	ˈuː	0.119
ˈyː	ˈi	0.334
ˈyː	ˈøː	0.236
ˈyː	ˈuː	0.134
ˈyː	ɐ	0.092
ˈyː	ˈuˀ	0.092
ˈyː	ˈoˀ	0.052
ˈøː	ˈœˀ	0.39
ˈøː	ˈœ	0.279
ˈøː	ˈøː	0.132
ˈøː	ˈɔˀ	0.121
ˈøː	ˈɑ	0.053
ˈœ	ˈœ	0.297
ˈœ	ˈø	0.272
ˈœ	ˈu	0.168
ˈœ	ˈɛ	0.099
ˈœ	ˈɑ	0.097
ˈœ	ˈy	0.067
ˈɔ	ˈu	0.382
ˈɔ	ˈɔ	0.177
ˈɔ	ˈɔː	0.114
ˈɔ	ˈɔˀ	0.09
ˈɔ	ˈɛ	0.079
ˈɔ	ˈœ	0.055
ˈɔʏ̯	ˈyˀ	1.0
ˈɛ	ˈɛ	0.349
ˈɛ	ˈeˀ	0.198
ˈɛ	ˈiˀ	0.104
ˈɛ	ˈɛˀ	0.091
ˈɛ	ˈœ	0.085
ˈɛ	ˈæ	0.065
ˈɛː	ˈæ	0.193
ˈɛː	jˀ	0.19
ˈɛː	j	0.181
ˈɛː	ˈɑˀ	0.163
ˈɛː	ˈa	0.084
ˈɛː	ə	0.053
ˈɛː	ˈɛ	0.053
ˈɪ	ˈe	0.573
ˈɪ	ˈɑ	0.143
ˈɪ	ˈiˀ	0.106
ˈɪ	ˈø	0.106
ˈʊ	ˈɔ	0.413
ˈʊ	ˈʌ	0.413
ˈʊ	-	0.175
ˈʏ	ˈʌ	0.269
ˈʏ	ˈœ	0.269
ˈʏ	ˈiˀ	0.264
ˈʏ	ˈoː	0.14
ˈʏ	ˈy	0.059
