North Frisian	Luxembourgish	probability
b	b	0.882
b	-	0.065
b	f	0.055
d	d	0.565
d	t	0.319
d	s	0.05
d	n	0.039
d	-	0.036
dʲ	t	0.616
dʲ	d	0.375
f	f	1.0
h	h	1.0
i	ə_ɕ	0.386
i	ə	0.303
i	-	0.174
i	e	0.082
j	-	0.744
j	j	0.074
j	l	0.07
j	ʑ	0.057
j	ɐ	0.054
k	kʰ	0.295
k	ɕ	0.22
k	k	0.21
k	χ	0.179
k	-	0.081
l	l	0.97
l	-	0.03
lʲ	l	0.944
lʲ	ɐ	0.043
m	m	1.0
n	n	0.723
n	-	0.105
n	n_t	0.076
n	ŋ	0.067
nʲ	n	0.585
nʲ	n_t	0.409
p	f	0.787
p	p	0.166
r	ʀ	0.415
r	-	0.344
r	ɐ	0.238
s	ʃ	0.394
s	s	0.269
s	z	0.259
s	n_t	0.036
t	t	0.395
t	ʦ	0.274
t	d	0.152
t	s	0.134
t	-	0.029
tʲ	s	0.662
tʲ	d	0.335
v	v	0.517
v	w	0.239
v	f	0.123
v	-	0.111
w	ˈe	0.699
w	-	0.145
x	ɕ	0.814
x	ʃ	0.107
x	χ	0.054
z	s	0.61
z	z	0.163
z	ʀ	0.092
z	t	0.04
ŋ	ŋ	0.769
ŋ	-	0.095
ŋ	ɕ	0.074
ŋ	k	0.057
ə	ə	0.524
ə	-	0.245
ə	ɐ	0.23
ɡ	ɡ	1.0
ʃ	ʃ	0.849
ʃ	kʰ	0.083
ʃ	z	0.067
ˈa	ˈə	0.364
ˈa	ˈɛː	0.18
ˈa	ˈaː	0.153
ˈa	-	0.133
ˈa	ˈiː	0.07
ˈai̯	ˈeː	0.349
ˈai̯	ˈe	0.196
ˈai̯	ˈɑɪ̯	0.196
ˈai̯	ˈɑ	0.067
ˈaː	ˈə	0.489
ˈeː	ˈaː	0.171
ˈeː	ˈoː	0.171
ˈeː	ˈə	0.149
ˈeː	ˈɛː	0.098
ˈeː	ˈu	0.098
ˈi	ˈæːɪ̯	0.503
ˈi	ˈɑ	0.109
ˈi	ˈə	0.088
ˈi	ˈæɪ̯	0.077
ˈi	ˈɛ	0.058
ˈiː	ˈəɪ̯	0.5
ˈiː	ˈeː	0.195
ˈiː	ˈɑɪ̯	0.083
ˈiː	ˈi	0.076
ˈiː	ˈaː	0.046
ˈuː	ˈaː	0.424
ˈuː	ˈəʊ̯	0.173
ˈuː	ˈɑ	0.099
ˈuː	ˈæːʊ̯	0.078
ˈuː	ˈuː	0.075
ˈyː	ˈæːʊ̯	0.301
ˈyː	ˈəʊ̯	0.222
ˈyː	ˈɑɪ̯	0.1
ˈyː	ˈəɪ̯	0.066
ˈyː	ˈɔ	0.055
ˈøː	ˈɑɪ̯	0.398
ˈøː	ˈu	0.229
ˈøː	ˈiː	0.099
ˈøː	ˈæːʊ̯	0.095
ˈøː	ˈiə̯	0.064
ˈœ	ˈɑ	0.338
ˈœ	ˈu	0.202
ˈœ	ˈʊ	0.13
ˈœ	ˈiː	0.086
ˈœ	ˈaː	0.065
ˈɒ	ˈɑ	0.243
ˈɒ	ˈuə̯	0.243
ˈɒ	ˈaː	0.212
ˈɒ	ˈiː	0.101
ˈɒ	ˈɛ	0.075
ˈɒː	ˈaː	0.67
ˈɒː	ˈuə̯	0.108
ˈɒː	ˈɑ	0.104
ˈɒː	ˈeː	0.073
ˈɔ	ˈaː	0.451
ˈɔ	ˈo	0.354
ˈɔ	ˈuː	0.101
ˈɔi̯	ˈeː	0.489
ˈɔu̯	ˈəɪ̯	0.193
ˈɔu̯	ˈʊ	0.193
ˈɔu̯	ˈi	0.135
ˈɔu̯	ˈaː	0.117
ˈɔu̯	ˈəʊ̯	0.117
ˈɔː	ˈiː	0.173
ˈɔː	ˈə	0.131
ˈɔː	ˈuː	0.114
ˈɔː	ˈuə̯	0.114
ˈɔː	ˈu	0.114
ˈɛ	ˈəɪ̯	0.488
ˈɛ	ˈɑ	0.322
ˈɛ	ˈiː	0.11
ˈɛi̯	ˈəɪ̯	0.291
ˈɛi̯	ˈoː	0.199
ˈɛi̯	ˈe	0.114
ˈɛi̯	ˈi	0.114
ˈɛi̯	ˈeː	0.114
ˈɛː	ˈiə̯	0.397
ˈɛː	ˈoː	0.366
ˈɛː	ˈeː	0.143
ˈɛː	ˈɛ	0.072
ˈʊ	ˈɑ	0.239
ˈʊ	ˈo	0.218
ˈʊ	ˈaː	0.119
ˈʊ	ˈe	0.119
ˈʊ	v_ˈo	0.119
ˈʏ	ˈæːɪ̯	0.45
ˈʏ	ˈə	0.22
ˈʏ	ˈo	0.123
