Nynorsk Norwegian	American English	probability
b	b	1.0
f	f	1.0
h	h	1.0
jː	-	1.0
kʰ	kʰ	1.0
mː	m	1.0
p	p	1.0
pʰ	pʰ	1.0
s	s	1.0
v	-	1.0
ŋː	ŋ	1.0
ɑ	-	1.0
ə	ə	1.0
ɡː	ʤ	1.0
ʰkː	ŋ_k	1.0
ˈæɪ̯	ˈoʊ̯	1.0
ˈæː	ˈɛ	1.0
ˈœ	ˈɛ	1.0
ˈœʏ̯	ˈi	1.0
ˈʊ	ˈɔ	1.0
nː	n	0.431
ɡ	ɡ	0.401
ʋ	v	0.101
ʰtː	t	0.381
ˈæʉ̯	ˈi	0.211
ˈɑ	θ_#>	0.061
ˈɑ	ˈæ	0.291
ˈɑː	ˈeɪ̯	0.61
ˈɪ	ˈaɪ̯	0.351
ˈʉː	ˈaɪ̯	0.171
d	d	0.962
l	ɫ	0.952
n	-	0.082
ɾ	ɚ	0.242
ʂ	s	0.372
ʋ	f	0.22
ˈoː	j	0.122
ˈuː	ˈɝ	0.12
ˈuː	ˈʊ	0.122
ˈyː	ˈaɪ̯	0.512
ˈɔ	ˈɔ	0.302
k	ʧ	0.083
lː	ɫ	0.253
ç	k	0.573
ˈuː	ˈi	0.073
ˈuː	ˈʌ	0.293
ˈuː	ˈu	0.393
ˈøː	ˈi	0.583
ˈɑ	ˈeɪ̯	0.093
e	i	0.14
j	ɡ	0.084
m	m	0.944
t	ʔ	0.494
tʰ	tʰ	0.364
ɾ	ɹ	0.594
ˈeː	ˈɪ	0.204
ˈiː	ˈʌɪ̯	0.164
ˈiː	ˈi	0.214
ˈoː	ˈi	0.224
ˈyː	ˈi	0.354
ˈæʉ̯	ˈaɪ̯	0.144
ˈʉː	ˈɑ	0.084
ˈʏ	ˈɪ	0.774
nː	n_d	0.295
ˈiː	ˈɪ	0.265
ˈyː	ˈu	0.135
ˈæʉ̯	ˈɛ_d	0.645
ˈɑ	ˈɔ	0.055
ˈɛ	ˈʌɪ̯	0.055
ˈʉ	ˈaʊ̯	0.305
ˈʉ	ˈʌ	0.595
e	-	0.86
j	-	0.916
m	-	0.056
nː	-	0.226
tʰ	θ	0.636
ˈeː	ˈi	0.796
ˈoː	ˈoʊ̯	0.176
ˈoː	ˈʌ	0.256
ˈʉ	w_ˈʊ	0.066
ˈʏ	w_ˈɪ	0.226
k	k	0.917
lː	ɫ_d	0.747
t	t	0.307
ɾ	ð_ɚ	0.077
ɾ	-	0.087
ˈøː	ˈɛ	0.417
ˈɑ	d_#>	0.207
ˈɑ	ˈɑ	0.227
ˈɛ	ˈɪ	0.067
ˈʉː	ˈaʊ̯	0.7
n	n	0.918
ç	θ	0.138
ʂ	ʃ	0.628
ʋ	w	0.638
ˈiː	ˈaɪ̯	0.358
ˈoː	ˈɛ	0.178
ˈɔ	ˈʌ	0.698
ˈɛ	ˈɛ	0.878
t	-	0.199
ç	ʧ	0.289
ɡ	-	0.559
ʰtː	ʔ	0.619
ˈɑː	ˈæ	0.39
ˈɪ	ˈɪ	0.649
