Lengadocian	Lengadocian	probability
ˈɛ_ʀ	ˈɛː_r	1.0
ˈɔ_k	ɡ	1.0
ˈu_t	ˈy_t	1.0
ˈu_s	w	1.0
ˈu_#>	ˈu_ŋ_#>	1.0
ˈi_#>	ˈiː_#>	1.0
ˈe_l	l_ˈeː	1.0
ˈa_w	ˈɔː	1.0
ˈa_t	ˈɛː	1.0
ˈa_l	ˈaː	1.0
ˈa_#>	ˈaː_#>	1.0
ʎ	ʤ	1.0
ʀ_#>	#>	1.0
ɲ	ɲ	1.0
ɥ_ˈɛ	ˈø	1.0
ɥ_ˈɔ	ˈøː	1.0
ɥ	ˈøː	1.0
ɣ	ɡ	1.0
ɡ_l	ʤ	1.0
ɔ_#>	#>	1.0
ŋ	ŋ	1.0
y	-	1.0
w_t	t	1.0
w_#>	#>	1.0
u_z	j	1.0
s_k	s_k	1.0
p_l	ʧ	1.0
p	p	1.0
nː	m_i	1.0
n_ɔ	ŋ_a	1.0
n_#>	ŋ_t_u_#>	1.0
mː	e_m	1.0
m_#>	m_e_#>	1.0
m	m	1.0
l_#>	#>	1.0
k_l	ʧ	1.0
j_ˈɛ	ˈeː	1.0
j_ɾ	ˈɛː	1.0
j_s	ʃ	1.0
f	f	1.0
d_ɾ	j	1.0
a_β	a_v	1.0
a_ð	ɥ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_z	1.0
<#_ʀ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f_l	<#_ʃ	1.0
ɔ	a	0.931
<#_b	<#_v	0.909
t	t	0.905
s	s	0.893
k	k	0.88
d	d	0.875
b	b	0.857
j	-	0.818
a	a	0.769
ʦ	ʒ_e	0.75
s_#>	#>	0.75
u	u	0.727
ˈe	ˈe	0.7
ʤ	ʤ	0.7
β	v	0.667
ɾ_ɔ	j_a	0.667
<#_a	<#_a	0.667
e_#>	u_#>	0.65
ɾ	r	0.632
ʀ	r	0.611
ð	-	0.6
i	i	0.6
ˈi	ˈi	0.593
#>	u_#>	0.554
ˈu	ˈu	0.552
e	e	0.537
ˈa	ˈa	0.533
n	ŋ	0.522
l	l	0.516
ʧ	t_u	0.455
ˈɛ	ˈe	0.452
z	z	0.429
ˈy	ˈy	0.421
w	v	0.417
w	-	0.417
ð	t	0.4
i	u	0.4
n	n	0.391
ˈɛ	ˈeː	0.355
e_#>	#>	0.35
ˈu	ˈuː	0.345
β	-	0.333
ˈɔ	ˈɔ	0.333
ɾ_ɔ	a	0.333
<#_a	<#	0.333
ˈa	ˈaː	0.317
ɾ	-	0.316
ˈɔ	ˈɔː	0.292
ˈɔ	ˈøː	0.292
z	ʒ	0.286
z	-	0.286
ʧ	t	0.273
ʧ	-	0.273
u	w	0.273
ˈy	ˈyː	0.263
ˈi	ˈiː	0.259
l	ʤ	0.258
ʦ	s	0.25
s_#>	i_#>	0.25
a	-	0.231
ʀ	r_n	0.222
#>	e_#>	0.217
ʤ	-	0.2
e	-	0.195
j	j	0.182
ʀ	u	0.167
w	v_u	0.167
ˈy	ˈu	0.158
ˈy	-	0.158
ˈi	-	0.148
b	-	0.143
#>	ŋ_#>	0.141
ˈɛ	ˈɛ	0.129
l	-	0.129
d	-	0.125
k	ɡ	0.12
ˈu	-	0.103
ˈe	ˈe_j	0.1
ʤ	sː	0.1
e	j	0.098
e	i	0.098
l	u	0.097
t	d_u	0.095
<#_b	<#_ʒ	0.091
n	ɲ	0.087
ˈɔ	-	0.083
e	ˈeː	0.073
s	-	0.071
ɔ	-	0.069
ˈe	ˈɛː	0.067
ˈe	ˈɛ	0.067
ˈe	-	0.067
ˈa	ˈɛː	0.067
ˈɛ	-	0.065
ɾ	j	0.053
