Sichuanese	Sichuanese	probability
⁵⁵	³³	1.0
ʨʰ_j	ʨʰ	1.0
ʨ	k	1.0
ɥ	-	1.0
ɚ	ʣ_i	1.0
ə_w	a_w	1.0
ŋ_²¹	⁵⁵	1.0
z	ʣ	1.0
y	h_u	1.0
x_w	ŋ̍	1.0
x_a	h_a	1.0
w_⁵⁵	⁴⁴	1.0
w_²¹	²⁴	1.0
w_a	ɯ	1.0
tʰ	tʰ	1.0
t	t	1.0
p	p	1.0
nʲ	n	1.0
kʰ	kʰ	1.0
k	k	1.0
i_n	ẽ	1.0
e	-	1.0
a_w	o	1.0
a_n	u_ŋ	1.0
a_j	a_j	1.0
<#_w	<#_m	1.0
<#	<#_ɡ	1.0
⁵³	⁵²	0.852
ʦʰ	ʦʰ	0.8
ŋ	ŋ	0.8
<#_n	<#_l	0.778
z̩	i	0.75
pʰ	p	0.75
w	w	0.727
x	h	0.667
o	a	0.643
s	s	0.625
ɕ	s	0.6
m	m	0.6
f	p	0.571
²¹	⁵⁵	0.569
j	j	0.533
ʨʰ	kʰ	0.5
ʨʰ	-	0.5
ʦ	ʦ	0.5
n	ŋ	0.5
i	i	0.5
ə	u	0.455
²¹³	¹¹	0.455
f	h_w	0.429
²¹³	²¹³	0.409
ɕ	-	0.4
m	b	0.4
s	ʦ	0.375
a	a	0.375
ə	-	0.364
ɛ	-	0.333
x	-	0.333
u	u	0.308
ʦ	t	0.3
w	-	0.273
j	ĩ	0.267
z̩	a_j	0.25
pʰ	pʰ	0.25
a	e	0.25
u	o_w	0.231
<#_n	<#	0.222
o	o	0.214
ʦʰ	t	0.2
ʦ	-	0.2
n	ã	0.2
j	-	0.2
ə	w	0.182
ɛ	w_a	0.167
ɛ	e_ʔ	0.167
ɛ	e_k̚	0.167
ɛ	a	0.167
n	m	0.167
i	o_j	0.167
i	e	0.167
i	-	0.167
u	o	0.154
u	e	0.154
u	a_k̚	0.154
ŋ	-	0.15
⁵³	³⁵	0.148
o	o_ʔ	0.143
²¹	²	0.137
²¹³	³⁵	0.136
n	-	0.133
a	-	0.125
²¹	k̚_²	0.118
a	ɯ	0.094
a	ũ	0.094
a	o	0.062
²¹	ʔ_⁴	0.059
