Macedonian	Russian	probability
f	j	1.0
j	j	1.0
l	lʲ	1.0
ʃ	ʂ	1.0
ʒ	ʐ	1.0
ʣ	z	1.0
ʦ	ʦ	1.0
ʧ	ʨ	1.0
ˈu	ˈu	1.0
n	nʲ	0.361
o	ə	0.751
ɛ	ˈe	0.161
ɡ	ɡ	0.681
ˈɛ	ɪ	0.41
d	dʲ	0.622
k	k	0.842
o	ˈo	0.102
ɛ	ɪ	0.382
ˈo	ˈo	0.742
k	-	0.063
m	mʲ	0.533
n	n_ɨ	0.223
t	t	0.523
ɛ	-	0.313
ˈa	ˈu	0.143
ˈr̩	ˈe_r	0.243
b	b	0.804
k	k_ə	0.094
s	<#_x	0.134
s	sʲ	0.34
z	zʲ	0.744
ɡ	ɡ_ˈo	0.264
ɫ	ɫ_ɨ	0.134
ˈɛ	ɐ	0.104
a	ə	0.375
a	ˈa	0.625
i	ˈɨ	0.265
n	n	0.405
p	p	0.35
p	pʲ	0.65
v	v	0.325
v	vʲ	0.675
ˈa	ə	0.165
ˈa	ˈa	0.285
ˈi	ˈɨ	0.455
ˈi	ˈi	0.545
b	bʲ	0.196
o	j	0.146
r	ɐ_r	0.126
r	rʲ	0.346
z	z	0.256
i	ɪ	0.217
i	ˈi	0.517
m	m	0.467
s	s	0.527
t	tʲ	0.477
d	d	0.378
r	r	0.528
ɫ	ɫ	0.718
ˈa	ˈo	0.408
ˈo	ɐ	0.258
ˈr̩	rʲ_ɪ	0.078
ɛ	ə	0.099
ɫ	lʲ	0.149
ˈr̩	ˈɵ_r	0.679
ˈɛ	ˈɛ	0.059
ˈɛ	ˈe	0.39
