Ligurian	Aromanian	probability
b	b	1.0
ʒ	ʦ	1.0
ʧ	-	1.0
ˈy	ˈu	1.0
ˈyː	ˈu	1.0
ˈø	ˈo	1.0
ˈøː	ˈo	1.0
ˈɛ	r_ˈi	1.0
i	-	0.101
j	r	0.821
l	-	0.271
m	m	0.811
r	-	0.071
ɡ	k	0.661
ɲ	m	0.411
ˈaː	ˈa_l	0.061
ˈaː	ˈa_r	0.451
ˈe	i	0.051
ˈu	-	0.081
ˈɔ	ˈo	0.751
e	i	0.582
i	ˈi	0.112
s	s	0.592
t	ʦ	0.062
ŋ	n	0.622
ʃ	f_l	0.362
ˈe	ˈe	0.212
ˈeː	ˈe_r	0.052
ˈuː	o̯ˈa	0.252
e	i_r	0.163
l	ʎ	0.143
t	p_t	0.353
v	v	0.253
ʤ	-	0.053
ˈa	ˈa	0.283
ˈa	ˈɨ	0.523
ˈeː	-	0.273
ˈi	ˈi	0.873
ˈɔː	ˈa	0.093
ˈɔː	o̯ˈa	0.113
d	-	0.054
f	f	0.634
k	k	0.944
ŋ	n_i	0.084
ɲ	n	0.294
ɲ	ɲ	0.294
ʤ	ʎ	0.164
ʤ	k_ʎ	0.44
a	i	0.105
d	ʣ	0.35
n	n	0.985
p	-	0.065
r	r	0.885
s	ʃ	0.055
s	-	0.065
t	t	0.585
u	-	0.275
w	t	0.315
z	ʤ	0.475
z	ʣ	0.525
ˈa	-	0.115
ˈiː	j	0.225
ˈuː	o̯ˈa_r	0.095
ˈɔː	ˈo	0.795
ˈɛː	ˈa	0.235
d	d	0.596
f	ç	0.366
k	ʦ	0.056
l	l	0.586
p	k	0.226
v	-	0.36
ŋ	-	0.176
ʤ	ʣ	0.166
ˈe	e̯ˈa	0.36
ˈiː	ˈi	0.436
ˈuː	ˈu	0.346
ɡ	ɡ	0.307
ˈe	ˈi	0.377
ˈeː	ˈe	0.337
ˈi	ˈu	0.127
ˈɛː	e̯ˈa	0.17
ˈɛː	ˈa_t	0.457
a	ə	0.718
e	ə	0.118
i	i	0.788
s	ʦ	0.248
u	ə	0.068
u	i	0.148
u	u	0.468
w	-	0.088
w	u	0.108
ʃ	ʃ_t	0.638
ʤ	ɡ_ʎ	0.058
ˈaː	ˈa	0.468
ˈuː	ˈu_p	0.308
ˈɛː	ˈe	0.138
a	-	0.079
e	-	0.059
j	-	0.179
m	ɲ	0.189
p	p	0.709
v	j	0.339
w	ˈo	0.489
ŋ	m	0.109
ʤ	ʤ	0.119
ˈa	ɨ	0.079
ˈeː	i	0.059
ˈeː	e̯ˈa	0.279
ˈiː	ˈi_r	0.339
ˈu	ˈu	0.919
ˈɔ	o̯ˈa	0.249
