Scots	Scots	probability
θ_#>	ə_#>	1.0
ˈɪ_ð	ˈuə̯	1.0
ˈɛː	ˈɛi̯	1.0
ˈɛ_l	ˈɛ_l	1.0
ˈɔɪ̯	v_ˈɛ	1.0
ˈɑː_f	ˈɪə̯_l	1.0
ˈøː	ˈuə̯_χ	1.0
ˈoː	ˈoə̯	1.0
ˈo_r	ˈoə̯	1.0
ˈo	ˈɔ	1.0
ˈeː_r	ˈɛː	1.0
ˈe_d_#>	ˈɪə̯_#>	1.0
ˈaːɪ̯	ˈiː	1.0
ˈaː	ˈɪ_k	1.0
ˈaɪ̯	ˈuː	1.0
ʧ	-	1.0
ʤ	-	1.0
ʍ	ʋ	1.0
ʃ	s_k	1.0
ɪ	ɪ_k	1.0
ə_r	r	1.0
ŋ	ŋ	1.0
ç	χ	1.0
tʰ	t	1.0
t	t	1.0
s_ˈɪ	s	1.0
s_l	s_l	1.0
r_t	t	1.0
pʰ	p	1.0
p	p	1.0
n_t	n_t	1.0
n_d	n	1.0
n	n	1.0
m	m	1.0
l	l	1.0
i	ə_χ	1.0
h_ˈɛ	h_ˈɪ	1.0
h	h	1.0
f	f	1.0
e	ɪ_ŋ	1.0
b	b	1.0
<#_θ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_kʰ	<#_k	1.0
<#_j	<#_j	1.0
<#	<#_ʦ	1.0
s	s	0.957
ə	ə	0.9
#>	ə_#>	0.878
ɡ	ɡ	0.846
r	r	0.837
k	k	0.684
w	ʋ	0.667
θ	d̥	0.6
d	d	0.6
ˈu	ˈuː	0.538
ˈʌu̯	ˈɔu̯	0.5
ˈʌu̯	-	0.5
ˈø	ˈuə̯	0.5
ˈø	-	0.5
ˈeː	-	0.5
ð	d	0.5
ð	-	0.5
z	s	0.5
z	-	0.5
x	χ	0.5
x	-	0.5
v	v	0.5
v	-	0.5
ˈu	-	0.462
ˈɑː	ˈɔː	0.455
ˈa	ˈa	0.429
ˈɪ	ˈɪ	0.41
θ	ʦ	0.4
ˈʌ	ˈɔ	0.385
ˈuː	ˈoː	0.375
ˈuː	-	0.375
ˈəi̯	ˈiː	0.357
ˈəi̯	-	0.357
ˈa	-	0.357
ˈe	-	0.353
d	d̥	0.343
w	v	0.333
ˈʌ	ˈu	0.308
ˈʌ	-	0.308
ˈəi̯	ˈi	0.286
ˈi	ˈiə̯	0.286
ˈiː	ˈɪə̯	0.278
ˈɑː	ˈa	0.273
ˈɑː	-	0.273
ˈɛ	ˈɛː	0.267
ˈɛ	-	0.267
ˈɪ	-	0.256
ˈuː	ˈɔ_l	0.25
ˈe	ˈɪə̯	0.235
ˈe	ˈiə̯	0.235
ˈa	ˈaː	0.214
k	k_ə	0.211
ˈɛ	ˈa	0.2
ˈeː	ˈɪə̯	0.188
ˈeː	ˈaː	0.188
ˈi	ˈɪə̯	0.179
ˈe	ˈaː	0.176
ˈiː	ˈɛ_j	0.167
ˈiː	ˈiə̯	0.167
ˈiː	-	0.167
ɡ	-	0.154
ˈi	ˈi	0.143
ˈɛ	ˈɪ	0.133
ˈɛ	ˈɛ	0.133
ˈeː	ˈɪə̯_n	0.125
ˈiː	ˈeː	0.111
ˈiː	j	0.111
ˈi	-	0.107
k	-	0.105
ˈɪ	ˈi	0.103
ə	d_ə	0.1
#>	χ_#>	0.082
ˈɪ	j_ˈɔ	0.077
ˈi	ˈiː	0.071
ˈi	ˈeː	0.071
ˈi	j_ˈɪ	0.071
r	ˈɛ_r	0.061
r	-	0.061
d	ə	0.057
ˈɪ	ˈɔ	0.051
ˈɪ	ˈiː	0.051
ˈɪ	ˈa	0.051
