Faroese	Scots	probability
a	-	0.844
a	ˈiː	0.059
a	əi̯	0.034
a	e	0.033
a	r	0.033
b̥	b	0.943
b̥	-	0.059
d̥	d	1.0
d̥_ʊ	d	1.0
f	f	0.819
f	-	0.106
f	f_r	0.07
h	h	1.0
j	-	0.464
j	ˈei̯	0.134
j	ˈe	0.111
j	ð	0.097
j	ˈɪ	0.097
j_ʊ	ˈe	1.0
k	k	0.678
k	-	0.151
k	ʧ	0.151
kʰ	kʰ	0.603
kʰ	-	0.312
kʰ	k	0.063
l	l	0.823
l	ɫ	0.089
l	-	0.074
l_ʊ	l	1.0
l̥	-	0.478
l̥	ˈʌʉ̯	0.326
l̥	l	0.187
m	m	0.877
m	-	0.069
m	v	0.057
m_ʊ	m	1.0
n	n	0.899
n	-	0.1
n_ʊ	n	1.0
nː	θ	0.517
nː	n	0.392
nː	ð	0.047
nː_a	n	1.0
n̥	r_n	0.428
n̥	r	0.223
n̥	n	0.194
p	p	1.0
r	ˈiː	0.492
s	s	0.956
s	z	0.036
s	t	0.031
s_k	ʃ	1.0
sː	s	1.0
t	t	0.672
t	-	0.309
t	d	0.034
tʰ	tʰ	0.51
tʰ	θ	0.331
tʰ	ð	0.085
tʰ	d	0.068
tː	d	0.242
v	-	0.428
v	w	0.396
v	v	0.063
v	x	0.042
v	f	0.04
v_ʊ	f	1.0
w	-	0.668
w	ð	0.262
w	m	0.063
ŋ	ŋ	0.798
ŋ	-	0.125
ŋ	n	0.069
ə	ə	0.242
ɛ	əi̯	1.0
ɡ̊	-	0.563
ɡ̊	ɡ	0.401
ɡ̊	ç	0.04
ɡ̊_l	l	1.0
ɪ	ə	0.651
ɪ	-	0.27
ɪ	ɪ	0.062
ɲ	ŋ	0.492
ɹ	-	0.644
ɹ	r	0.355
ɹ_a	r	0.561
ɹ_a	ə	0.179
ɹ_ʊ	r	1.0
ɹː	-	0.492
ʃ	s	0.558
ʃ	ʃ	0.331
ʃ	m	0.065
ʈ	t	0.492
ʊ	-	0.889
ʊ	ə	0.069
ʊ_ɹ	r	1.0
ʊ̯ˈiː	ˈəi̯	0.242
ʎ	l	0.492
ʤ̊	-	0.701
ʤ̊	d	0.123
ʤ̊	n	0.081
ʤ̊	ɡ	0.063
ʧ	k	0.492
ʧʰ	θ	0.594
ʧʰ	k	0.182
ʧʰ	ʧ	0.111
ʧː	n	1.0
ʰk	k	0.242
ʰkː	k	1.0
ʰp	p	1.0
ʰt	t	1.0
ʰtː	x	1.0
ˈa	ˈɑː	0.276
ˈa	ˈɑ	0.225
ˈa	ˈɛ	0.208
ˈa	ˈe	0.107
ˈa	ˈɪ	0.066
ˈai̯	ˈe	0.733
ˈai̯	ˈɑ	0.265
ˈaːi̯	ˈe	1.0
ˈeə̯	ˈɛ	0.242
ˈeː	ˈiː	0.223
ˈeː	ˈei̯	0.223
ˈeː	ˈe	0.137
ˈeː	ˈi	0.137
ˈeː	ˈəi̯	0.098
ˈiː	ˈɪ	0.702
ˈiː	ˈeː	0.093
ˈiː	ˈʌʉ̯	0.089
ˈiː	-	0.044
ˈoː	ˈɔ	0.361
ˈoː	w	0.361
ˈoː	ˈiː	0.204
ˈuː	ˈʌ	0.315
ˈuː	ˈɛ	0.315
ˈuː	j	0.193
ˈuː	ˈɔ	0.072
ˈøː	ˈiː	0.407
ˈøː	ˈɛ	0.203
ˈøː	-	0.132
ˈøː	ˈɪ	0.089
ˈøː	ˈɔ	0.086
ˈœ	-	0.272
ˈœ	ˈɛ	0.186
ˈœ	ˈɔ	0.107
ˈœ	ˈø	0.107
ˈœ	ˈiː	0.107
ˈɔ	ˈɔ	0.325
ˈɔ	ˈɪ	0.235
ˈɔ	ˈɑː	0.152
ˈɔ	ˈʌ	0.087
ˈɔ	ˈø	0.087
ˈɔːi̯	ˈei̯	0.644
ˈɔːi̯	ˈiː	0.24
ˈɔːu̯	ˈø	0.409
ˈɔːu̯	ˈɪ	0.262
ˈɔːu̯	-	0.095
ˈɔːu̯	ˈɛ	0.095
ˈɔːu̯	ˈei̯	0.074
ˈɔ̯aː	ˈø	0.216
ˈɔ̯aː	ˈe	0.147
ˈɔ̯aː	ˈiː	0.143
ˈɔ̯aː	ˈeː	0.143
ˈɔ̯aː	ˈɑː	0.1
ˈɛ	ˈɛ	0.298
ˈɛ	ˈɑ	0.253
ˈɛ	ˈiː	0.145
ˈɛ	ˈe	0.108
ˈɛ	ŋ	0.102
ˈɛːa̯	ˈiː	0.244
ˈɛːa̯	ˈe	0.204
ˈɛːa̯	ˈɑː	0.128
ˈɛːa̯	ˈeː	0.128
ˈɛːa̯	ˈɪ	0.093
ˈɛːi̯	ˈei̯	0.464
ˈɛːi̯	-	0.324
ˈɛːi̯	ˈɑː	0.078
ˈɛːi̯	ˈi	0.076
ˈɪ	ˈɪ	0.667
ˈɪ	ˈei̯	0.071
ˈɪ	ˈɔ	0.07
ˈɪ	ˈi	0.07
ˈɪ	ˈəi̯	0.069
ˈɪ_ɡ̊	ˈʉ	1.0
ˈʉːu̯	ˈʉ	0.922
ˈʉːu̯	ˈaːɪ̯	0.06
ˈʊ	ˈʉ	0.369
ˈʊ	-	0.223
ˈʊ	ˈʌ	0.099
ˈʊ	ˈəi̯	0.081
ˈʊ	ˈɪ	0.081
ˈʊ_ɡ̊	ˈʉ	1.0
ˈʊ̯iː	ˈəi̯	0.446
ˈʊ̯iː	ˈe	0.133
ˈʊ̯iː	ˈei̯	0.116
ˈʊ̯iː	ˈiː	0.101
ˈʊ̯iː	ɹ	0.076
