Faroese	Scots	probability
a	-	0.57
a	ˈiː	0.288
a	ə	0.112
b̥	b	0.98
d̥	d	0.845
d̥	-	0.155
f	f	0.828
f	-	0.172
h	h	1.0
j	-	0.513
j	ˈeː	0.129
j	j	0.103
j	ð	0.077
j	ˈɪ	0.071
j	ˈɛ	0.054
k	k	0.605
k	-	0.364
kʰ	kʰ	0.694
kʰ	ʍ	0.183
kʰ	k	0.123
l	l	0.933
l	-	0.067
l̥	l	0.456
l̥	-	0.359
l̥	d	0.103
l̥	ˈʌu̯	0.082
m	m	0.938
mː	m	1.0
n	n	0.948
n	-	0.052
nː	n	0.569
nː	θ	0.252
nː	ð	0.179
n̥	n	0.772
n̥	r	0.228
p	p	1.0
r	r	0.817
r	-	0.183
s	s	0.854
s	ʃ	0.099
sː	s	1.0
t	t	0.613
t	r	0.204
t	-	0.166
tʰ	θ	0.419
tʰ	tʰ	0.388
tʰ	j	0.112
tː	d	1.0
v	w	0.423
v	-	0.403
v	v	0.078
w	ð	0.551
w	-	0.392
w	m	0.057
ŋ	ŋ	0.536
ŋ	-	0.351
ŋ	n	0.113
ɑ	-	1.0
ɛ	e	1.0
ɡ̊	-	0.677
ɡ̊	ɡ	0.216
ɡ̊ː	ɡ	0.64
ɡ̊ː	ʤ	0.36
ɪ	ə	0.988
ɲ	ŋ	1.0
ɹ	r	0.51
ɹ	-	0.49
ɹː	-	1.0
ʃ	ʃ	0.689
ʃ	s	0.242
ʃ	-	0.069
ʈ	t	1.0
ʊ	-	0.876
ʊ	ə	0.084
ʎ	ˈo	1.0
ʤ̊	d	0.47
ʤ̊	-	0.265
ʤ̊	l	0.265
ʤ̊ː	-	0.631
ʤ̊ː	ɡ	0.305
ʤ̊ː	j	0.05
ʧ	k	1.0
ʧʰ	θ	0.414
ʧʰ	k	0.3
ʧʰ	ʧ	0.266
ʧː	n	1.0
ʰk	k	1.0
ʰkː	ŋ_k	0.923
ʰkː	k	0.077
ʰp	p	1.0
ʰpː	p	1.0
ʰt	t	1.0
ʰtː	t	0.451
ʰtː	ç	0.281
ʰtː	x	0.268
ʰʧ	k	1.0
ˈa	ˈɑː	0.309
ˈa	ˈa	0.244
ˈa	ˈeː	0.201
ˈa	-	0.084
ˈa	ˈɪ	0.071
ˈai̯	ˈe	0.939
ˈai̯	ˈɛ	0.061
ˈaːi̯	ˈe	0.963
ˈeə̯	ˈɛ	1.0
ˈeː	ˈiː	0.221
ˈeː	ˈɛ	0.203
ˈeː	ˈəi̯	0.159
ˈeː	ˈe	0.121
ˈeː	ˈa	0.105
ˈeː	ˈɪ	0.092
ˈeː	ˈaː	0.069
ˈiː	ˈɪ	0.484
ˈiː	-	0.217
ˈiː	ˈi	0.132
ˈiː	ˈo	0.097
ˈiː	ˈʌu̯	0.069
ˈoː	ˈʌ	0.619
ˈoː	ˈo	0.237
ˈoː	w	0.104
ˈuː	ˈɪ	0.512
ˈuː	ˈiː	0.246
ˈuː	ˈo	0.151
ˈuː	ˈɛ	0.092
ˈøː	ˈɪ	0.329
ˈøː	ˈɛ	0.289
ˈøː	ˈi	0.255
ˈøː	ˈʌ	0.075
ˈøː	ˈoː	0.052
ˈœ	-	0.333
ˈœ	ˈi	0.209
ˈœ	ˈa	0.166
ˈœ	ˈɔɪ̯	0.095
ˈœ	ˈɛ	0.075
ˈœ	ˈo	0.069
ˈœ	ˈø	0.053
ˈɔ	ˈɪ	0.227
ˈɔ	ˈɑː	0.197
ˈɔ	ˈɛ	0.162
ˈɔ	ˈoː	0.109
ˈɔ	ˈo	0.084
ˈɔ	ˈi	0.082
ˈɔ	ˈø	0.076
ˈɔːi̯	ˈiː	0.961
ˈɔːu̯	ˈɪ	0.447
ˈɔːu̯	ˈø	0.419
ˈɔːu̯	ˈiː	0.075
ˈɔːu̯	ˈi	0.059
ˈɔ̯aː	ˈeː	0.253
ˈɔ̯aː	ˈø	0.225
ˈɔ̯aː	j	0.133
ˈɔ̯aː	ˈiː	0.126
ˈɔ̯aː	ˈi	0.107
ˈɔ̯aː	ˈʌ	0.093
ˈɛ	ˈeː	0.267
ˈɛ	ˈɛ	0.194
ˈɛ	ˈa	0.121
ˈɛ	ˈɪ	0.119
ˈɛ	ə	0.084
ˈɛ	ˈɛː	0.083
ˈɛ	-	0.059
ˈɛːa̯	ˈiː	0.321
ˈɛːa̯	ˈi	0.165
ˈɛːa̯	ˈe	0.147
ˈɛːa̯	ˈeː	0.119
ˈɛːa̯	ˈɑː	0.088
ˈɛːa̯	ˈɪ	0.07
ˈɛːa̯	ˈa	0.051
ˈɛːi̯	ˈi	0.467
ˈɛːi̯	-	0.228
ˈɛːi̯	ˈɑː	0.176
ˈɛːi̯	ˈe	0.083
ˈɪ	ˈɪ	0.644
ˈɪ	ˈuː	0.101
ˈɪ	ˈaːɪ̯	0.08
ˈɪ	ˈi	0.05
ˈʉːu̯	ˈu	0.403
ˈʉːu̯	ˈi	0.318
ˈʉːu̯	ˈuː	0.136
ˈʉːu̯	ˈo	0.095
ˈʊ	ˈʌ	0.454
ˈʊ	ˈu	0.179
ˈʊ	ˈɪ	0.166
ˈʊ	-	0.12
ˈʊ̯iː	ˈəi̯	0.518
ˈʊ̯iː	ˈiː	0.299
ˈʊ̯iː	ˈɪ	0.083
ˈʊ̯iː	ˈʌu̯	0.074
ˈʏ	ˈu	0.459
ˈʏ	ˈɪ	0.333
ˈʏ	-	0.208
